,BTC,ETH,XRP,BCH,BSV,LTC,ADA,EOS,BNB,XTZ,CRO,LINK,XLM,OKB,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.183104593473835,0,0,0,0,0.250259425411843,0.125071132285219,0,0.192008368573467,0.171406531493423,0,-0.167436922009803,0.43313456957319,0,0,-0.0141949887515949,0,0.607849243945504,0.260438988559507
ETH,0,0,0,0,0.193206917385576,0.678995479321068,0.131486951412578,0.0850661257860308,0,0,0,0.155481158364317,0,0,0,0,0.101070491494256,0,0,0.0187518267458746
XRP,0,0.277638401089494,0,0,0.0804963549456766,0,0,0.180527508591573,0,0,0.101368874980695,0,0,0,0,0,-0.116539576371708,0,0,0
BCH,-0.0986995725137029,-0.45801606684246,0,0,0.141454902752445,0.532021445118414,-0.00719619608011124,0.173835319616026,0.92511052455606,0,0,0.175815901808616,0,0,0,0,0,0,0,0.120386931812958
BSV,0,0.0615970913596487,0,0.560633862300257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329678882315385
LTC,0.0860412965627347,0.41145686039256,0,0.116400889511628,0.365634318840284,0,0.0622204632665378,0,0.0405423093565843,0.143036630749414,0.202058054442328,-0.0409852019429085,-0.177236512604378,-0.328449589045632,0.0341487470883055,0,-0.124670681893741,0,0,-0.0479550286351343
ADA,0,0.694285728625518,0,0,0,0,0,0,0,0.0413310441037057,0,0,0.372689347532007,0.442312307411915,0,0,0,0,0,-0.10071444415552
EOS,0.373200539404214,0.286612886900856,0.253490228429293,0.151744326819824,0,0.0159853046720301,-0.0610470626119556,0,0,0,0.0427363983952168,0,-0.0991115757473959,0,0,0,0,0,0,-0.124279587631106
BNB,0.0907336319297675,0,0,0.221482966509696,0,0,0.0939783424321055,0.235235923993359,0,0.11593654458278,0,0,0,0.0843992211061388,0,0,0,0,0,0.00799413586231936
XTZ,0.320510289614899,0.0931005903619378,0,0,-0.232616318499089,0,-0.157273062546498,0,0.430738815793989,0,0,0.000622592917874122,0.399571207160531,0.0818729461681788,0,0,0,0,0,-0.0389541817012372
CRO,0.00170060587687658,0,0,0,0,0.741034843368065,-0.42086407874645,0.65758234354295,0,0,0,0.423655414528773,0,0,0,0,0,0,-0.874607673749011,0
LINK,0,0,0,0.0769336574725819,0,0,0.0775505840696402,0.116007831484622,0,0.124306970317559,0.00649637065241019,0,0.40245934207919,0,0,0,0,0,0,0
XLM,0,0,0,0,0.447326004500843,0,0.0620362846094346,-0.173130956810785,0,0,0,0.81266375398654,0,0,0,0,-0.077570107401926,0,0,0
OKB,0.171671656000293,0,0,0,0,0,0.00286368414349406,0.0113491022811037,0.582570935790375,0.0585144472137235,0,0,0,0,0,0,0.0448065986002074,0,0,-0.064644423150465
LEO,-0.107161540783545,0,0,-0.505644544834922,0.25004744373699,0,0.0122867108837657,-6.93889390390723e-18,0.113407625755102,0.232918797402086,-0.0653373073503939,0.0305989055369577,0,0.12765419406477,0,-0.549290897342685,0,0,0,0.00949862285814026
BV010082.Index,0,0.032472906730512,0,0,0,0,0,0,0,0,-0.0430823996987513,0,0.0461129326566416,-5.46548087934282e-05,-0.139343271406912,0,-0.0373679147246523,0,0,-0.0221744474467659
CVIX.Index,-0.18734857689896,0.608418111834552,-0.584954041794835,0,0,-1.35926049271655,0.258442509368369,1.4586407351131,-1.09633802939392,0.487156122522097,0,0,-5.42101086242752e-20,-0.14788531435158,0,0,0,0.634934738042885,-1.32191355188042,0
DXY.Curncy,0,0,0,0,0.0759046276097465,0,-0.00993549299847386,0.0288080644066507,0,-4.33680868994202e-19,-0.000321161737773952,0,-0.0445343291084591,-0.0781433733787083,0,0,0,0,0,-0.0264961016984369
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,1.953028088479e-06,0,0,0,0,0,0,-0.118692479614306
VIX.Index,0.397469268658983,0,0.884025100454015,0,0,0,0,-0.939712115712018,1.30599790297773,-0.49504466800432,0.023105771980788,-0.280991951644625,-0.229767957091956,-0.38102685956522,-0.914117651016118,-0.425477257289182,-2.77555756156289e-17,-1.67694442041613,-1.60699013963561,0
