,BTC,ETH,XRP,LINK,BCH,ADA,BSV,LTC,EOS,BNB,CRO,XTZ,XLM,TRX,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.116998470320194,0,-0.00884079469645016,0.179706317118861,0,0.0920567046885264,0,0,0,0.43008082341076,1.73472347597681e-18,-0.0778465731014795,0,0,0,0,0,0,-0.00927364637576442
ETH,0.493863178458347,0,0.1742397414881,0.0425663437080859,-0.216877161899895,0,0,0,-0.0799290626849196,0.239500224973478,0,0.0959590958051486,0,0,0.301699096919628,0,0,0,0,0
XRP,0,0.259596784344997,0,-0.0134822620580258,0.325016684597779,0,0.0761682854345241,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,-0.101152853080961,0,0,0,0,0,0,0,0,0,0,0,0.912610753236316,-0.179677618987743,-0.156776106224362,0,0,0,0,0
BCH,0,0,0,0,0,0,0.302430243393058,0.582402360740587,0,0,0.0303433209970508,0,0,0.0215880452553304,0,0,0,0,0,0
ADA,0,0.236995065226987,-0.200187874932286,0.0599748738889676,0.297097597803655,0,0.285158743922626,-0.210305350832857,0,0,-0.513647684934665,0.0463023926066762,0.473113370667861,0.050488593713513,0,0,-0.152718559943936,0,0,0.0532681286414855
BSV,0.412899387389577,0.0618011011818379,0.0533135260901947,0,0.587231148427148,0.109030082183712,0,0.0406599023035772,0,0,0,0,0,0,0.0983821902722105,0,0.0472662129694578,0,0,0.16809320494883
LTC,0,0.222133263879271,0,0.021597480577388,0.263773222559046,0,0.0914186425090066,0,0.382026776805517,0.0982640308963675,0,0,0,0,-0.143314564044043,0,0,0,0,0
EOS,0,0,0,0,0.391754665929053,0,0,0.145481911478682,0,0,0,0.0426420472622566,0.110186387102554,0.185172184077781,0.155384478186042,0,0,0,0,0
BNB,0,0.108930067846781,0,0.0321330827844046,-0.352412221985985,0,0,0.565745902850297,-0.116795742785876,0,0,0.112435282276426,0.141489755180587,0,0.212236375421209,0,0,0,0,-0.209885238836531
CRO,0.858877581273786,0.165579892215603,0,0,0,-0.0854695097687029,0,-0.135975467796213,0.217178896833308,0,0,-0.088886121114611,0,-0.208793808550636,0,0,-0.309019850939903,0,0,-0.197155060306923
XTZ,0.204361981901521,-0.634794988300849,0,0.523038707656008,0,-0.0688650688755639,0.381029115225841,0,-0.756804092900901,0,0,0,1.02698107116043,0,0.506817354198239,0,0,0,0,0
XLM,-0.390861466083843,0,0.154435151015682,0,0,0.195997974311207,0,0,0.252512882012295,0.262626715570444,0,0.032773365351789,0,0.00883382574925584,0,0,0,0,0,0
TRX,0,0,0,-0.076743463260603,0,0,-6.93889390390723e-18,0,0.265790633165564,0.346145114488525,0,0.248342298958689,0,0,0.138315220944983,0,0,0,0,0
OKB,-1.38777878078145e-17,0.255079439156079,0,-0.0263216429005427,0.167260873506007,0.163830561541214,0.0255303778908463,0,0.0980790381194893,0,0.187572014658573,0.00992170348862167,0,0,0,0,0,0,0,0
BV010082.Index,0.0628789398466127,0,-0.119295984827725,0.00926468784194262,0,0,0,0,0,-0.0373195185040575,0.00116650660315857,0,-0.0693861961652661,0,0,0,2.16840434497101e-19,0,0,0
CVIX.Index,0.311192120013785,0,-0.124192991257126,0.144086851033162,0,0,0,0,-0.128143339198399,0,0,-0.303130128593477,0.253140964701874,0,0,0,0,0,0,-0.0999663044055037
DXY.Curncy,-0.046932877947134,0,0.0253007169504674,0.00749363512516652,0,0.0168849819878537,0,0,0,-0.0221209441181712,0,0.00276869285226027,0,0,0,0,-0.00299281064958134,0,0,0.0100994348144813
SPX.Index,0,0,0.0155419789777464,4.33680868994202e-19,-0.0101160515920322,-0.0311071081452479,0.00774601647572295,0,0,-2.16840434497101e-19,0,0.0225201372364834,-0.0274814073627626,-0.0135455595831374,0.0313351338727885,0,0,0,0,-0.10974214304709
VIX.Index,-0.665209121618482,0,-0.0112573002165174,-0.12795709044443,-0.0393134695963049,0.0433427564428808,0.437740546788518,0,0,-0.115195357062304,0,0.0593436855235744,0,-0.0445228426969106,0.233813514981528,0,-0.0811100569076984,0,-1.71066590377551,0
