,BTC,ETH,XRP,DOT,LINK,BNB,BCH,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.137379307073333,0,0,0.0210293650677192,0,0,0,0.071746587096246,0.249186988781404,0.0357476555850572,0.00190519962646877,-0.0316758394017728,0,0,0,0,0,0,-0.0338220712423777
ETH,0,0,0,0.153368294444857,-2.77555756156289e-17,0,0,0,0.586876309769514,0,0.0964916609730256,0.0725676073217682,0.262373560667758,0.11738829277334,0,0,0,0,0,0
XRP,0,0.237345278581291,0,0,0,0,0,0,0,0,0.167982065632374,0.190599402747953,0,0.0568619090726527,0,0,0,0,0,0
DOT,0,0.187835933966802,0,0,0.560282083437571,0,-0.643469237059269,0,-0.130336844908648,-3.46944695195361e-18,0,0,0.225325582905752,0,0.750211833429127,0,0,0,0,0
LINK,0,0.271775994934107,0,0.174550542026072,0,0.0792691269289341,0,0,0,0,0.361151843667817,0,0,0.185290199673807,-0.175865024049395,0,0,0,0,-0.225875778066177
BNB,0,0,-2.10101934665869,-0.341201390783311,0.82349617519648,0,0,1.41216286068466,0,-0.0108681484991577,-0.175350514159502,0.26326395258599,0.348486249041385,0,1.32186411805834,0,0,0,0,0.106496027762544
BCH,0,0,0,0,0,0.083786739307978,0,0,0.251977264231721,0.255507996851439,0.118490595971532,0.278007295403275,0,0.095384696261579,0,0,0,0,0,0.0290994862375407
CRO,0,0.0781240164069295,0,0,-0.0741707686540617,0.0956447803497229,0.0621508577776295,0,0.240955275893987,0,0.0360450762013893,0,0,0,0,0,0,0,0,-0.154153341516755
LTC,0,0.0884461642539072,0,0,0.0518918337952439,0,0.507147332617692,0.353266878820992,0,0,0.0573477414944107,0,-0.0432400894082965,0,-0.0890534664741663,0,0,0,0,-0.0409722090378854
BSV,0,0,0,0,0,0,0.87964327614909,0,0,0,0,0.0191305032944628,0,0,0,0,0,0,0,0
ADA,0,-0.53022964714279,1.05305639547485,-0.0247085355859072,0.315540924509247,-0.0999012638266368,-0.264351165177074,0.519686524853602,0.179049206909419,-0.241288224873571,0,0,-0.0331786965623355,0.823472569226568,-0.170310338571709,0,0,0,0,0.257785624883797
EOS,0,0.0627014527132915,0,-0.0534739542318667,0,0,0.915700631804661,0,0,0,0.0263654820119346,0,0,0,0,0,0,0,0,0
TRX,0,0.245431068961321,0,0.121370029659228,0.263441967285681,0.154704945947587,-1.00016769137056,0,0,0,0.612077740692151,-0.301375589809232,0,0,-0.38365880143845,0,2.30315944370957,0,0,0.534531950516433
XTZ,0,0.106828312282589,0.302460395618555,-0.0699592716008145,0.156102794964565,0,0,0,0,0,0.197591588138633,0.0780393329342901,0,0,0.201412080315118,0,0,0,0,-0.157913543691139
OKB,0,0,0,0.349371820169518,-0.442455039321207,0.0320587691072795,0,-0.229770942908576,0,0.355285673442952,0,-0.13760908022248,-0.0738749037604192,0.721260526291961,0,0,-0.339132602457161,0,0,0.026301718875749
BV010082.Index,0,0,0,0,0,0.00563801233041254,0,0,0,0.0150751052241574,0,0,-0.00708111359642393,0,0,0,0,0,0,0
CVIX.Index,-0.0536188635663348,0,0,0.0405031322814088,-0.0940046070227385,0.0434035378124439,-0.0939786093625871,0,-0.118952622299087,0.366350053440572,0,0,0.083889653328878,0,0,0,0,0,-0.647329155427211,-0.12865722612053
DXY.Curncy,0,0,0,-0.00926427339392118,0,0.0156472141863422,0,-0.0195448056012956,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0.040087593054126,-0.0890888352958093,0.0456543013023816,-0.0617497085764571,0.0665165203257097,-0.141893627547722,0.309416896370553,0,0,0.0944317658647233,-0.06631873731908,0,0,-0.794179511694102,0,0,-0.16162799801484
VIX.Index,0,0,0,-0.256398376896698,0.271365262225607,-0.163123258544841,0,-1.03106390768758,0,0,0,0,0.378310764621673,-0.528455674631226,0.531320821133144,0,-0.119506589033266,0,-0.864887471517845,0
