,BTC,ETH,XRP,BCH,LINK,BNB,DOT,LTC,ADA,BSV,EOS,XMR,WBTC,TRX,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0108293579278705,0.0226813050896818,0,-0.0321681005827182,-0.0038593417509516,6.7762635780344e-21,0.00512529394286744,0,0.0190315170387708,0.0224704515199075,0.958626236612591,0,0,0,0,0,0,-0.00436683310759149
ETH,0.127186191157613,0,0,0,0.114224123366208,0,0,0,0.400391758269596,0,0,0,0,0,0,0,0,0,0,-0.104737901634053
XRP,0.101547141745347,0,0,0,0,0,4.33680868994202e-19,0.109698043998279,0.0968191156800079,0,0.0745380903195457,0.0491296714234903,0,0,0.211493858547795,0,0.0134312017480149,0,0,0.0078010819036186
BCH,0,0,0,0,0.472253028982898,0,-0.20372805490438,0.109987139208299,-0.0779925226637161,0.0143899535864186,0.792370972705247,-0.208693618008924,0.156675587103739,0,-0.173533393131509,0,0,0,0,0.103118005832883
LINK,0,0.502534620916272,0,0.609960084533303,0,0.588422662473162,0,0.267622564849702,1.38777878078145e-17,-0.279922652782401,-0.307292732509472,0.338585841085749,-0.321392081863245,0,0.319472343210196,0,0,0,0,-0.0654765073571135
BNB,0,-0.306652010785296,0,0,0.435093598526848,0,0.44788325906452,-0.238996777239185,8.67361737988404e-19,-0.124760788745168,0.890217012579506,-0.27114395731464,0.0926961223960859,-0.312819135980737,0.00570323433348604,0,0.186953196954947,0,0.651332069988741,0
DOT,0,0,0,-0.384305705974019,0,0.506138366973524,0,0.509008741225368,0.439389809763742,0.123852436003737,-0.0084183953570415,0.157391619515346,0,0,-0.296276253156464,0,-0.0726740727071347,0,0,0
LTC,0.407395227344141,0,0.162247940384741,0.183237024658476,0.0381377247341358,0,0.113571955365061,0,0,0.382535306239998,0,0,0,0,0,0,0,0,0,-0.0442606282879973
ADA,-0.3334662455052,0.798176528566342,0,0,0,0,0.179386515772918,0,0,-0.0645713757145055,0,0,0,0.129476259649165,0.367995630985757,0,-0.0743551307394531,0,0,0
BSV,0,0,0,0.0217499208826195,0.195085513818984,0,0.031259749662105,0.0771577375200944,0,0,0.582912851854862,0,0,0,0.0399294881921818,0,0.124671270496469,0,0,-0.0409279898190676
EOS,0.0540377152663773,-3.46944695195361e-18,0.197608684648073,0.150324571333714,0,0.426922613528788,-0.250278645372571,0.0104639867724434,0,0.118396537371903,0,0,0,0.429208344532473,3.46944695195361e-18,0,0,0,0,0
XMR,0.765564440258837,0,0,-1.07594922958636,0.921238711229565,-0.328359615220726,0,0,0,0.0454852608100017,0,0,0,0.097662232984002,0,0,0,0,0,0.213103079363151
WBTC,1.0514363366351,0,0,0,0,0.0381961148755621,0.0288244617003035,-0.0462874996087288,0,0,-0.0171411988910668,-0.0648710135880724,0,0,0.0135549017465679,0,-0.0321135807887872,0,0,0.0137421627970338
TRX,0,0,0,0,0.0118216599104739,0.129036908487339,0.0347318860296641,0,0.0809017011856632,-6.93889390390723e-18,0.448857968797951,0,0.0944631420132888,0,0,0,0.0241938962291088,0,0,0
XLM,0,0,0,0,0.190851075860726,0,0,0,0.194953616083293,0,0,0.0578871912052312,0.272096064356821,0,0,0,0,0,0,0.00575431979889777
BV010082.Index,0,0,0.0560283687684709,-0.0407512656367489,0,0,-0.0417130026540415,-0.0203004915548493,0,0,0,0.10242174319256,0,0,0.0159606740367584,0,0.127764889535376,0,0.0562225833279063,-0.0075046544877125
CVIX.Index,0,0,1.49768196685346,-0.101626112245335,0,0,-0.214633774420418,0.150928860346681,0,0.221584357947349,0,-0.209158509320051,-0.196515394290057,0.0649092969104696,-0.644388954027507,0,0,0,0,0.284220993438564
DXY.Curncy,-0.060762477026558,0,-0.0566840959435737,0,0.0320310834260214,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0106462156193501,0,0,0,0,0.0204864268921478
SPX.Index,0.0286639474623357,0,0,-0.0522286458092881,-0.0324904078092278,0.140100573119364,-0.032066639922498,0,-0.179648117287756,0,0,0.0551183420242426,0,0.203032278865263,0,0,-0.0441987684056909,0,0,-0.159407987366642
VIX.Index,0,-1.3792877989119,0,0,0,0,0,0,0,0,0,0.459183870775132,0.346252532038738,0,0.24114938731894,0,0.733109938418362,0,-2.77288854845266,0
