,BTC,ETH,DOT,XRP,ADA,LTC,LINK,BCH,BNB,XLM,WBTC,BSV,XMR,EOS,AAVE,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00567325202065763,0.0195761861451946,-0.00350466664949856,0,0,-0.0242236555109004,0,0,0.96558294415391,0,0.01335257703725,0,-0.0123870673471784,0,0,0,0,0
ETH,0.146384846422266,0,0.0254282497520131,0,0.177705293530837,0.355176284490295,0.00417327490089737,0.350718094540357,0,0,0,-0.154414034033686,0,0,0,0,0,0,0,0
DOT,0,0.362438233021878,0,0,0.491861064335629,0,0,0.194155457116652,0,-0.283345609509703,0.386366045540625,0,0.221990766091801,0,0,0,0,0,0,0
XRP,0,0.0225430050439402,-0.0406278891999587,0,-0.56274339283473,0.789744988831622,-0.0298961734126193,0,0,0.665370128262556,-0.724350799943079,0.332489361106674,-0.370677603621234,-0.652420693245699,0.0802740860735943,0,-2.77555756156289e-17,0,0,-0.412042048167577
ADA,0,0.237493882566782,0.0426808358365782,-0.285118875928583,0,0,-0.274099303557346,-0.370038412582508,0.988017514731771,0.340307966549842,-0.608220468628805,-8.67361737988404e-19,0.273753122171497,0.966655138679737,0,0,0,0,0,-0.109372867445689
LTC,0,0.738216694386027,0,-1.73472347597681e-18,-0.00608654884604861,0,0.147665848228354,0.00514786493704508,0,-0.00926673691314687,0.0527616955500945,0,0.075134111537101,0,0,0,0,0,0,-0.267610768848541
LINK,0,0,0.0161538539795519,0,0,0,0,0.350856398344318,0,0.168648259076625,0,0,0,0.390538786186804,0,0,0,0,0,0
BCH,0,0.648595690960712,0.0169583048086376,-0.042130386276535,-0.0146533450677419,0,0.118115745431016,0,0,-0.0178917330685873,5.39489563736451e-05,0.445472353421431,0,0,-0.121659568819008,0,0,0,0,-0.194490974422983
BNB,0,0.0482765420154573,0.0547929365500326,0,0.277365647659597,0.112994330384143,0.0393638989057917,0.0446476763494813,0,-0.114481633380527,0,0,0,0,0.074568272461572,0,0,0,0,-0.0632698851181338
XLM,0,0.101447527573866,0,0.192834737277064,0.481170051662899,0,0.179676525246697,0,-0.352535239756495,0,0,0,0,0,0.015765796877052,0,0,0,0,0.263542080881083
WBTC,0.959822964748719,0,0.000276760233714678,-0.0300224220890554,0,-1.73472347597681e-18,0,0.0303271415198982,0,0,0,0,-0.0227583554900099,0,-0.00678086352690893,0,0,0,0,-0.0692190817671093
BSV,0,0,0.0541698831802647,0,0,0,0,0.134661207166006,0,1.38777878078145e-17,0.13927455006331,0,0,0.455921942615224,0,0,0,0,0,0
XMR,0.206528033570309,0,0,0,0.0309331701311207,0,0,0,0,0.0709992677774354,0,0.11736817562174,0,0,0.258836087160738,0,0,0,0,-0.354137729754798
EOS,0,0,0.0501144856320825,0.0336409952513004,0.0820336087921819,0,0.20110893697409,0,0,0.187883477263675,0.0598680790543634,0.302102516896697,-0.200895018551515,0,0,0,0,0,0,-0.0986746054777026
AAVE,0,0.392471513488992,0.193919578751913,0.131518029895818,0,0,0.108809582879772,-3.46944695195361e-18,-0.0465381979804693,-0.152390210185935,-1.18860956021706,-0.0919997396069658,0.243622866426321,0.306368346917751,0,0,0,0,0,-0.453407413361965
BV010082.Index,0,-0.025314997855723,-0.000302707360362547,0.00833072395624796,0,0,0.00205797124361492,0.0408679019228295,0.0181281744527824,0.00863711427485099,-0.0033741553759309,-0.0214669993039328,0,0.0021450838133918,-0.0208703525297099,0,0,0,0,0
CVIX.Index,0,0,-0.0284555018581628,-0.0321817667946326,0,0,0,0.04649540668022,0.0444578799096886,-0.0184789886633906,0,-0.0145017349919756,0,0,0,0,0,0,0,-0.0114902940383134
DXY.Curncy,0,-0.0228146587247435,0.00341792210479765,0.0418090677648644,0.00744592911936143,0,0.00348138323386834,0.0154006215108665,-0.0113838342706288,-0.0298373239941607,0,-0.0376847534776602,0.0307026363344507,0.0811377022509514,-0.00985854109847403,0,0,0,0,0.0455529117446899
SPX.Index,0,0,0,0,0.00411912624502856,0,-0.0090389105978629,0.00357912718595003,0,0.00505690490663616,0,0,0,0,-0.0162138152194103,0,0,0,0,-0.083825051548752
VIX.Index,0,0.200754700076595,0.116679288418235,-0.297109689541325,-0.333387187134674,0,0.147228355899537,0.00467049088050773,0,0.189890754928318,-0.685766466209606,0,-0.114925496345443,0,-0.178434218703056,0,0,0,0,0
