,BTC,ETH,DOT,XRP,ADA,LINK,LTC,BCH,BNB,XLM,UNI,WBTC,AAVE,BSV,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0173314598575744,5.42101086242752e-20,0.0284140680588076,0,0.00261312870449514,0,0,0,0.00471090978951039,0,0.943746538751365,-0.0180329013128648,-0.0169945832493726,0,0,0,0,0,0
ETH,0,0,0,0.181339562376099,0.250160069936715,0,0,0.176268215650095,0,0,0.155947768926327,0.303210220625282,0.136714390948434,-0.0506275879550952,0,0,0,0,0,0
DOT,0,0.056950151987535,0,0,0,0,0,0.203617865774674,0,0,0,0,0,0.067270391109564,0,0,0,0,0,0
XRP,0.0837503241607795,-3.46944695195361e-18,-0.0102658713767452,0,0.053700381130585,-0.034722803689911,0,0.0758664835178771,0,0.189464177380776,0,0,0.0967900990492736,0.0246447442584557,0,0,0,0,0,-0.361934206410426
ADA,0,0,0.0324621169173038,0,0,0.155769116578796,0,0,0,0.456631885112855,0.0196456055955395,0,0.182976173938423,0.116393515941479,0,0,0,0,0,0
LINK,0,0,0,0,0.0731112499433078,0,0,0,0,0.319162157750823,0.0737302186865742,0,0.0531759034636589,0.114952077588492,0,0,0,0,0,0
LTC,0.256874741294203,0.370423098936583,0.00153657622223938,0,0,0.0204275838656609,0,0.0810316675343787,0.119054995973827,0.0255008821353587,-0.0249417063586262,0,0,0,0,0,0,0,0,0
BCH,0,0.398896947488229,0.0513982970934602,0.124800877202647,-0.089844078693274,0.0477471936663833,0,0,0.0483818196328642,0.0471906488805223,0,0,-0.0452932788810903,0.6008066585366,0,0,0.491416039886508,0,0,0.152549392493362
BNB,0,0,0.0699546566680515,0,0.0316374003673261,0.0521231544694363,0.115736740636723,0,0,6.93889390390723e-18,0.158444995620348,0,0,0.0653573457748884,0,0,0,0,0,0
XLM,0,0,-6.93889390390723e-18,0,0.374283459808885,0.178346428378105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNI,0,0.0172698861640526,0.0189290783815009,6.93889390390723e-18,0,0,0,-0.160262990198793,0.293883132943983,0,0,0,0.70125472900496,0,0.397475396654187,0,0,0,0,0
WBTC,0.984905514545453,0,0,0,0,0,0,0.000663438386325002,0,0,0.00690364272590075,0,0.00824481280929616,0.0106684932046913,0,0,0,0,0,0
AAVE,0,-0.209792750954565,-0.131851192293228,0.33551536152172,0.605606798655927,0.117205122749404,0,0.493343951472035,-0.907204292310564,-0.181075127068668,1.10918275198892,0,0,0,-0.917632763777927,0,0,0,0,0
BSV,0,-0.145591047927752,0.0632816089567283,0,0,0,0,0.660591596884914,0,-0.193979498357603,0,0,-0.129038071433848,0,0.892535347419957,0,0,0,0,-0.205443323009746
EOS,0,0,0.0255190628847064,0.0942556515410909,0,0.182312033220607,0.0202324632332033,-0.42392977037352,-0.118985741714483,0.238672155397916,0.209163106627382,0,-0.046589792237476,0.55303801322125,0,0,0,0,0,0
BV010082.Index,0,0,0.0033652438158086,0,0,0,0,0,0,0.0228124094154524,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,-0.013180049513061,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,-0.0192163140569701,0,0.00906955000481808,0,0.00626808776475182,0,0.00184307272295763,0,0,-0.0157051953217145,0.0290708193569184,0.0162183477212995,0,-0.00101322856218151,0,0,0,0,0
SPX.Index,0,0.0139963163154773,0,0.0262301838632432,0.00454760802688681,-0.0063269675352284,0,0,0,0,-0.0142544097823847,0,-0.00827807630417464,0,0,0,0,0,0,-0.0609839272266593
VIX.Index,0,0.201482438941484,-0.0726949580165356,-0.189266615028893,0,0.0298052988282634,-0.21010450881492,0.0525429928340954,0,0.0752666445450322,-0.0573714947099039,0,0.0306601595238567,-0.00528770336106919,0,0,0.607752398079607,0,-3.06102478567736,0
