,BTC,ETH,ADA,BNB,DOT,XRP,LTC,LINK,XLM,BCH,UNI,DOGE,WBTC,XEM,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.00425841059231779,0,0.00058310662081533,-0.00707640080322507,0.998572446256028,0.019777969962765,-0.015422824005906,0,0,0,0,-0.0294803973443649
ETH,0.27868453264504,0,0.0319726865385945,0.0577984613917806,0.208887134577338,0.0370925980568403,0,0,0,0.169268297287533,0.0112893488537169,0,0,0,0.0153725330301216,0,0,0,0,-0.0833590992497339
ADA,0,0,0,6.93889390390723e-18,0,0,0.125090703662644,0,0,0,0.479947257077823,0.127812749790451,0,0.136490495819738,-0.0248722927680231,0,0,0,0,0.31693739084601
BNB,-2.77555756156289e-17,0.82130924817616,0,0,0,0.516978457446208,0,0,-0.356508598303889,-0.0874710188054669,-0.378158797393661,0.125515636537967,0.438883135916045,-0.254033947674194,0.512264803254326,0,0,0,0,0.166439961838994
DOT,0.106244629218915,0,0,0,0,0,0,0,0.105662394544872,0,0.395222215440428,-0.0278984092065561,0,0,0.0396527892986681,0,0,0,0,-0.0527367849772953
XRP,0,0,-0.116669426972289,0.14372294109537,-0.199726999072174,0,0.0101365718379397,0,0.642190405309826,0.107198703591668,0.151023800852145,-0.0907737756563124,0,0.0996217453848386,0,0,0,0,0,0
LTC,0,0,0,0.0299544922092606,0.307187900239443,0.0762309877499491,0,0,0.19886603684127,0.18378898543999,0,0,0,0,0.0281257131390509,0,0,0,0,0
LINK,0,0,-0.112547370019544,0,0.302470173962343,-0.113858463898978,0.26257942537587,0,0.121578143917388,0.572727672844164,3.46944695195361e-18,0.0446413902048182,-0.433924794472294,0.219405504149379,-0.0233640467938168,0,0,0,0,-0.169360212947447
XLM,0,0,0.123518234282387,0,0,0,0.427307047145567,0,0,0.0307275754944702,0,0.165634844226007,0,0.103247078488811,0.0697568209799887,0,0,0,0,0
BCH,0,0,0,0.0194628420650037,0,0,0.268170560676949,0.649401804128544,0.116139419885072,0,0,0,0,-0.100036877045668,8.67361737988404e-19,0,0,0,0,0.186061315064049
UNI,0,0.505217222918187,0.0619154972929506,-0.121306536881176,0.0951022119605438,0.182987914697923,0,0,0,0,0,0.00630294777299218,0,0,0,0,0,0,0,-0.0209509966270138
DOGE,0,0,0.315282086957431,-0.0492169998381259,0,0.145900851266937,-0.24310353671847,0,0.155191214459621,0,0,0,0,0,0,0,0,0,0,-0.16276110152307
WBTC,0.947384716423791,0,0,0.00517867060744983,0,0,0,1.38777878078145e-17,0,0.0240644656099394,0,0.00162900978160612,0,0,0,0,0,0,0,0
XEM,0.366040445217512,0,0.368080276477651,0,0,0,0,0,0.165115073521831,0,0,0.378091661178916,0,0,0.269148250819603,0,0,0,0,0.200716973353372
OKB,-0.334896879429992,0,-0.078752569901166,0.747135868690618,0,-0.177710117250187,0,0.315262286294923,0,0,0.110308914190189,-0.12719765534095,0,0.193164775826088,0,0,0.492391843838146,0,0,-0.02489854561361
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,-0.283837336201744,-8.67361737988404e-19,-0.00529930066987885,-0.0578560212955509,0,-0.101401107532342,0.0613917276566619,0.109415630436011,0,0.0297185478317376,-0.0394972734256401,0,0.00375254306241802,0.0176784539694496,0,0,0,0,0
DXY.Curncy,0,0,0.0143966477415052,-0.0102441780886936,0.0116264695237555,-0.00259135383482648,0,-0.004737539116475,0.0158791189799861,0,-0.0164005724992572,0,0.00296482826941719,-0.013976189653318,0,0,0.00569851966521758,0,0,-0.00636419671918637
SPX.Index,0,0.00549170593032242,-0.00199389175694459,-0.00487569088733834,0,0,0.0312605232602513,-0.0361236051820079,0,0,0,0.0034411661621115,0.00742525375532579,-0.00123293432348387,0,0,-0.0661850452227851,0,0,-0.0873281771736074
VIX.Index,0,0,0,-0.0399488732958075,0,0,0,0,-0.248925137379038,0,0,0,0,0.176046714247868,0,0,0,0,0,0
