,BTC,ETH,BNB,XRP,DOGE,ADA,DOT,LTC,BCH,UNI,VET,LINK,XLM,THETA,FIL,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.174326376548558,0.122723420534343,0,-0.0167685216803548,0,0.0460442425405798,0,0,0,0,0,0.0802260011691018,0.125661710187187,0.0583107168073757,0,0,0,0,0
ETH,0.550805132870038,0,0,0,0,0,0,0,0,0.0589994983132603,0,0.326676452981174,3.46944695195361e-18,-0.0779840845639422,0.0187752374057046,0,0,0,0,-0.160007404072913
BNB,0,0,0,0,-0.0464528007368502,0,-0.28534272200302,0,0,0.645785773385726,0,-0.0554496525918443,0.364813217112891,0,0.0722122641533541,0,0,0,0,0
XRP,0,0,0,0,-0.133439434466864,0,-0.206205484390241,0,0.171688576729575,0,0,0,1.43480613129831,0,-0.0447190858483231,0,0,0,0,0.782194130590209
DOGE,0,0,0,-0.615354365969978,0,0,-0.54795051018533,0,1.93973219652369,0.539243702602819,0.496514165889643,0,0,0,0.136881938817628,0,0,0,0,0
ADA,0,0,0.0555483987303178,0.15913056118684,0,0,-0.0990551163215415,-0.0998312622106129,-0.104808114982866,0.166603753594841,0,0.325337845776559,0,0.280613965626974,0.0443842685345888,0,-0.281559570251963,0,0,-0.0780365451934167
DOT,0,0.645737943113872,-0.082853892936262,-0.156884725977845,-0.0412870423850697,0,0,0,0,0.120936777882098,-1.38777878078145e-17,0,0.527666517084975,0.212143477521734,0.099349079550596,0,0,0,0,0
LTC,0,0.330104799209905,0.109884332002487,0.208643121570042,0.0737556709275716,0,0,0,0.226995040572989,-0.0779503222655583,0,0,0,0.215570477544825,0.0879991230009693,0,0.236115499859559,0,0,-0.0420031552538133
BCH,-0.0984565136367942,0,-0.182381585494998,0.167924717191224,0.143987761214266,0,-0.44045761080695,3.46944695195361e-18,0,0.052457501471283,-8.67361737988404e-19,0.442245838034233,0.281260434678971,0.232171330796846,0.249936082899605,0,-0.680031967163459,0,0,-0.245268596013299
UNI,0,0.0727119007685894,0.527275517200353,0.0809940602076255,0.0666784787924341,-0.113425087820451,0.481715682016641,0,0,0,0,0,-0.228618276590817,0.0655302906958784,-0.200781640093985,0,0,0,0,0
VET,0,0,-0.167370950222269,0.108131226972298,0.0480712150931916,0,0,0.942773428310448,0.397473728331584,-0.152509317750212,0,0,-0.278863010712117,0,-0.150998408097937,0,0,0,0,0
LINK,0,0.895299206251245,0,0,-0.0147258723299807,0,0,0,0.184529138756212,0.0396685868214023,0,0,0.131199526492225,0,0,0,0,0,0,0
XLM,0.164671969137248,0,0,0.393456233567172,0.0478011044378785,0,0.455820624881616,0,0.0642439757999662,0,0.0407745547568366,-0.193397183039615,0,-0.207074717452621,-0.0719031869813589,0,-0.338953047466233,0,0,-0.479873307542095
THETA,0,-0.104385620318828,0.218703752380553,0,-0.0654201253575423,0.849529345012624,0.529844213275982,0.071771354721234,0.655941932770504,0,0.216911766531956,-0.584876929830059,-0.58742329659808,0,-0.0959767116110818,0,0.461844193926277,0,0,0.0552381908373466
FIL,0,0,0.335581068183467,-0.0565590718662945,0.154888611623853,0,0.529037693142487,0,0,-0.184253858573029,0,-0.347029050940999,0,0.19481621796163,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,-0.0489238796328862,0,0.0102658357009256,0,-0.0783318704104051,0.174721915801507,-0.0667516947503729,-0.157023134741332,-0.107452649824606,0,-0.000490716881708553,0.0679785906565466,-0.00951739559735595,0,0,0,0,0.111735227849246
DXY.Curncy,-0.0304697056046569,0,-0.0138175759932746,-0.0310668439129563,-0.0121873334827729,0.0533024529768113,0,0,0.0213364202440433,0.0291722571102396,0.00955868593961034,-0.0166355001242693,0.0211955457077681,-0.0100284514390697,0.0059828585230743,0,0.121983672393926,0,0,0
SPX.Index,0,-0.0104235092383204,-0.0136785411815187,0,0,0,0,-0.0315878747641424,0,0,0,0,0.0413514072896414,0.0193386739404821,-0.00878606860116404,0,0,0,0,-0.0143020160913576
VIX.Index,-0.539207023726252,0,-0.07375360570605,0.16393769831456,0,0,0,-0.127968444709327,0,0.208967025363143,0.112170612434874,0.0518770749794651,0,-0.00904732447426953,0,0,0,0,0,0
