,BTC,ETH,XRP,BCH,BSV,LTC,ADA,LINK,BNB,CRO,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.165439179842763,0,0.0539459831211066,0.0438045602770326,0,0,1.0842021724855e-19,0,0,0.0687420211584701,0.0191573033079886,0,0,0,0,0,0,0,0
ETH,0,0,0.218967585162533,0,0,0.241388978582062,0,0.156380666276643,0,0,0,0.0365401852951668,0,0,0,0,0,0,0,0
XRP,0,0.185642267993672,0,0.216919040109773,0,0.0661452267678716,0.127108035048924,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.117247879635891,0.35217487101136,0,0.0184910496894749,0,0,0.0979954680706975,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.135792634332782,0,0.300725968186531,0,-8.67361737988404e-19,0,0,0.186158899446956,0,0,0.127347404500622,0,0,0,0,0,0
LTC,0,0,0,0.0912367561078815,0.270235921745,0,0,0.0805639836840508,0,0,0.231843149030569,0.00751433180998987,0,0,0,0,0,0,0,0
ADA,0,0.283443437572426,0,0,0,0.0866790468238,0,0.128384286749422,0,0,0.032461250452408,0.0629041564181945,0.052476875136387,0,0,0,0,0,0,0
LINK,0,0.34460306377168,0,0,0,0,0.180831497673999,0,0,0,0,0.42279377148263,0,0,0,0,0,0,0,0
BNB,0,0.263890365251053,0,0,0,0.144092556338956,0,0.0263666159281273,0,0,0,0.0885926540655683,0,0,0,0,0,0,0,0
CRO,0,0,0,0.00870458084418631,0,0.302161158108833,0,0,0.0469881878776194,0,0,0,0,0,0,0,0.0174317647437122,0,0,0
EOS,0,0,0,0.46862698592968,0,0.196225733204143,0,0,0,0,0,0.0894446496268981,0,0,0,0,0,0,0,0
XTZ,0,0,0,0.0111218193513407,0,0,0.00995824789717386,0.258929067847073,0,0,0,0,0.420333576473393,0.15157779763561,0,0,0,0,0,0
XLM,0,0.0436668888533714,0,0,0,-8.67361737988404e-19,0.227948007371658,0.0510063424667517,0,0,0.108202307304374,0.12930566653285,0,0,0,0,0,0,0,0
XMR,0,0.0374452716627288,0,0.23200771438308,0.101613344193636,0,0.00428503330029356,0,0.221266960206112,0,0,0.121731209069141,0,0,0,0,0,0,0,0
TRX,0,0.356013908761695,0,0,0,0.149333040993135,0,0,0,0,0.0257466283900036,0.0742283778890172,0.231155161198953,0.184294070583059,0,0,-0.130002526266743,0,0,0
BV010082.INDEX,0.0397459476856911,0,0,0,0,0,0,0,0,0,-0.044654261329864,0.00656761940489227,-0.0175752437753424,0.00944801477197827,0,0,-0.0238631293908944,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,-0.00331916636309146,0.0376904439855913,0,0.0655753728588065,0,0,0,0,0,0,0,0,-0.0787232602849738
DXY.INDEX,0.00990002090621677,0,-0.00132529030157422,-0.0343522464843931,0,0.0099644798269281,0,-0.0127903494958018,0,0,0,0.00959874875310663,0.00350039662509096,0,0,0,0.00737754955308744,0,0,0.0066828879767798
SPX.INDEX,0,0,0,0,0,0,-0.00403061307141466,0,-0.00566954639594418,0,-0.0019788847495972,0,0,0,0.00480941279450685,0,-0.0140756733790392,0,0,-0.094580327635043
VIX.INDEX,0.0670934220473944,0,0,-0.142749726921419,0,0,-0.151964101636056,0.0165843406113554,0,0,0,0,-0.103669880102451,0.244894808468675,0.276474533408585,0,-0.0301354558443954,0,-2.13267480473826,0
