,BTC,XRP,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0173422976480096,0.111452588629223,0.0613719637451027,0.0621355885400693,0.011765450588021,0.0606189246172936,0.0499972329347633,0,0,0,0,0,0
XRP,0.287442919283492,0,0.0778833333662685,0.0391826173827126,0,0.13958440624565,0,0.00728703187941463,0,0,0.310085018971803,0,0,0
LTC,0.238076877283244,0,0,0.134498681639361,0.034799540481845,0,0.0107184154429893,0,0,0,0,0,0,0.0551457949576152
DOGE,0.492046066833932,0,0.0105955084701406,0,0,0.430579170205384,0.07668210251298,0.0134649137440833,0,0,0,0,0,0
DASH,0,0,0,0,0,0.12942272173903,0,0,0,0,0,0,0,0
XLM,0.315119891011737,0.141535695133979,0,0.137847449104805,0.0983168250739287,0,0,0,0.0299708917830376,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116053354012352
XEM,0,0,0.184473435112964,0.399671235036002,0,0,0,0,0.108226855742959,0,0,0,0,0
DGB,0,0,0.149304109707504,0.0869399560957026,0,-0.0454472154803814,0.0564086508137428,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0226583863920352,0.0163321275237757,0.0482088508078053,-0.00878977037772143,0,0,0.176406187219309,0,0,0
CVIX.Index,0,-0.0285011079144257,-0.0838628364398566,0.0560352960678198,0.0272681527864624,0,-0.0236547599884494,0,0,0.292392132577738,0,0.132659958891951,0,0.0232592620699525
DXY.Curncy,0,0,-0.0283938533173717,0.0239054878339932,0.00854902545096386,0.000676182125580178,-0.0145077217222727,-0.00902977726870129,-0.0124565909293817,0,0.143550190550867,0,0,-0.0215252789536594
SPX.Index,0,0,0,0.00728756311255794,0,0,-0.0028474283064473,0,0,0,0,0,0,-0.0776544001101887
VIX.Index,0,0,-0.200134813371134,0.065510636103096,0,0,-0.0946569359777295,0.115303715249371,-1.73472347597681e-18,0,0,0,-4.5772872982842,0
