,BTC,ETH,XRP,LTC,DASH,DOGE,XMR,XEM,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0176215352598375,0,0.630734553834236,0,-0.0314294555188568,0.0109910837583212,0,0.00367023367864035,0.00995010293196185,0,0,0,0,0
ETH,-0.16226850590584,0,0,-0.369532077851111,0,0,0.132304376355165,0,-0.428291304839773,0,0,0,0,0,0.420027590048341
XRP,0,0,0,0,0,0.0804507686992029,0.00911962810349653,0,0,0,0,0,0,0,0
LTC,0.470241548082324,-0.00249743701781466,0,0,0,0.0130915190621288,0,0,0.0231150704654738,0,0,0,0,0,0
DASH,0,0.0138256520527148,0.294942912752845,0,0,0,0,0,-0.275359321449666,-0.0234154423995069,0.0365236285033735,0,0,0,0.163154119900406
DOGE,0,0.0181309146426305,0,0.333579369682328,0,0,-0.0298838826535342,0.0110747547167079,0.0727296379524959,0.0453335861507104,0,0,0,0,0.248215991639507
XMR,0,0.200367927288387,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0,0,0.153672238983265,0,0,0,0,0
XLM,0,0,0.159754178847287,0,-0.0185868571764321,0.216874226221261,0,0.0952664381454581,0,0.0712451441610692,0,0,0,0,0.177431781394212
DGB,0,0,0,0,0,0,0,0.135677743757985,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0343431550246942,0,0,0,0,0
CVIX.Index,0,0,0,0,0.02929189095712,0.0737581089744605,0.0114088281643038,0,0.0244131935066134,0,0,0,0,0,0.2274550796365
DXY.Curncy,0,-0.0042528314617982,-0.024770115891661,0,0,-0.00992531970515003,0,0,0,0.00191113520440697,0.086682495076696,0,0,0,0
SPX.Index,0,-0.00240214835554923,0,0,0,0,0,0.000666408167313527,0,-0.00548883223011037,0,0,0,0,-0.125543886050572
VIX.Index,0,0.0164889913786961,0,0,0.0327806775758391,0.101871245875871,-0.0671796287357416,-0.0598617404202643,0.191767866516545,-0.000858584827154558,0,0.149672451453021,0,-1.63295922314437,0
