,BTC,ETH,XRP,LTC,DASH,DOGE,XEM,XLM,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0577060411253528,0.0475870021185458,0.160758253003419,0,0,0,0.0426548515789201,0,0.00365667376365259,0,0,0,0,-0.00557290273343258
ETH,0,0,0,0,0,0,0,0,0.093845031639628,0,0,0,0,0,0
XRP,0.662159736572233,0.0883995489770985,0,0,0.137732714932523,0.0681997025132267,-0.00172038243951074,0.218618734771702,0,-0.00609326615422164,0,0,0,0,-0.0571589431824744
LTC,0.721700206308801,-0.00692107246119818,0,0,0,0.0448103169675374,-0.0109277952843151,0,-0.00417249630779594,0,0,0,0,0,0
DASH,0,0.0323739501834248,0,-0.113436002475968,0,0,0.0569787692882954,0,0.124639402595368,-0.0956666291799458,0,0.0231160974166226,0,0,0.0975207044774169
DOGE,0,0.0205296720373751,-2.16840434497101e-19,0.346807634080439,0,0,0,0.0929179879484292,-0.0641356004067991,0.0379047140857465,0.23716949220798,0,0,0,0.0730690582258397
XEM,0,0.0477658722990081,0,0,0,0,0,0,0,0.172056833273008,0,0,0,0,0
XLM,0,0,0.163853117170749,0,0,0.0231038821645198,0,0,0,0.0362466324527242,0,0,0,0,0
XMR,0,0.409048984853708,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0.332709346061273,-0.551366934638645,0,-0.246825332928797,0.351162949358987,0.369233649388416,0.787470083609882,0.110487730810498,0,-0.589822522845679,-0.223076803358353,0,0,-0.106968966375679
BV010082.Index,0,0.0442875076075811,0,0,0,0,0,0,0,-0.0653481744761322,0,0,0,0,-0.136398021697814
CVIX.Index,0,0.0316293746069497,0,0,0,0,-0.0267375555905133,0,0,-0.0321366693525732,0,0,0,0,0.162538695130053
DXY.Curncy,0,0.0100003031101057,0,0.0278192662729091,0,0.00690710314206386,0,0,0,0.00458567629028879,0.0366018010411599,0.0691764165996686,0,0,0
SPX.Index,0,0,0,0,0,0,0.016906479871513,0,-0.000274371949082813,-0.0116535952569973,0,0,0,0,-0.0930006790905047
VIX.Index,0,0.0696828774041055,0,0,0.0869000433868466,0.270118173950666,-0.0806587257328591,0.123376573693628,-0.0413088655410106,-0.0480536492345124,0,0.327752904250138,0,-3.90773360277779,0
