,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.289219181649288,0.094869389419648,0,0.201316642945063,0,0,0.0220963100050988,0,0,0,0,0,0,0,0
ETH,0,0,0.25272643446002,0,0.0879725430364054,0,0.180087913592133,0,0,0.0812938426242666,0,0.178265526269372,0.122082279773493,0,0,0,0,0
XRP,0,0.0954070353455212,0,0,-0.00588469499286174,0,0.0697534019085008,0.0296076229473585,0,0.0258864375566105,0.0585673041087869,0.0204368721485754,0.00416902244878953,0,0,0,0,0
LTC,0.46080366888878,0,0,0,0.039600579773393,0.0281442060164659,0,0,0,0.0388085802195969,0.0310341597753104,0,0,0,0,0,0,0
XMR,0.532472848281803,0,0,0,0,0,0.26342332042249,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.158219162783976,0,0.189122927525492,0,0,0,0,0.107924072446042,0.089424088822417,0,0,0,0,0.225698760817323
DASH,0.663463510622801,0.121182169330781,0,-0.0173381266925144,0.0797164651177309,0.162498649569319,0,0.174042978571654,0,-0.0588890807782114,0.0672979009636318,-0.0964784859909801,-0.0964865615059465,0,0,0,0,0
XEM,0,0,0,0,-0.167380129764615,0.0251927889044755,0.268549699939743,0,0,0.178699312630893,-0.0505942068598921,-0.062094864138486,-0.0934913096948684,0,0,0,0,0
DOGE,0.23208658501544,0,0,0,-0.0378092553523906,0.0729282827681129,0,0.0449005673478443,0,0,0.000206812620116762,0.0309048135288866,0,0,0,0,0,-0.00637320181762303
ZEC,0,0.35646729418585,0,0.415225079932533,0,0,0.00761762385333936,0,0,0,-0.0954481903264055,0,0,0,0,0,0,0
XLM,0,0.153518840625752,0,0,0,0.133804713873754,0.0342157139630452,0,0,0.020266368183793,0,0.0502119701213563,0,0,0,0,0,0
NEO,0,0,0.279884104752316,0,0,0,0.0388699940370589,0,0.264285278902957,-0.08157023055871,-0.00471746631699656,0,0.203436193010431,-0.709452654862599,0,0,0,-0.0749565251327087
DGB,0,0,0,0,0.114490467825336,0.17384872012072,0,0,0,0,0,0.108936991077623,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0508722730896338,0,0.0333865612627405,0,0,-0.00663827674588368,0,0,0,0,0,0,0,0
CVIX.Index,0,0.0567716471498843,0,0,0.0758281350684576,0.042125733924774,0.00339348366644828,0,0,-0.0412377335189722,-0.04071611531973,0.00643338059261971,0,0,0,0,0,0.0649182060923643
DXY.Curncy,0,0,-0.00274264664548281,0.00526106056637112,0,0.00044363105452542,0.01629353780132,0,0.0255237346319359,-0.000279982605872107,-0.0103258341344273,0,0,0.0785130354711129,0,0,0,0
SPX.Index,0,0,0,0,0.000745020774627504,-0.0023260498785015,0.00968121277332361,0,0,0,-0.00484193118337845,0.00668697432852945,0.000515498071615924,0,0,0,0,-0.058502320645551
VIX.Index,0,0,0,0,0,0.0761018591523914,0,-0.0800762916301494,0,0,-0.116618514140787,0,0,0,0,0,0,0
