,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.237459690513542,0.13169390701069,0,0.213361693002167,0,0.00783493898564046,0,0,0,0,0,0,0,0,0
ETH,0,0,0.128799419620975,0,0.0927403084492526,0,0.258852584223394,0.00404382678530438,0.0164851970445682,0,0,0.184925819726538,0.194933582373639,0,0,0,0,0
XRP,0.0627108628111696,0,0,0,0,0,0.0909755708201942,0.0404180686710826,0,0,0.0322960164057132,0.0279057807750154,0,0,0,0,0,0
LTC,0.460792560165374,0,0,0,0.0395979455115367,0.0281421228077584,0,0,0.0388111621505744,0,0.0310336721662882,0,0,0,0,0,0,0
XMR,0.414600482502748,0,0,0.15606362012749,0,0,0.257309810674158,0,0.0302001125944186,0,0,0,-0.0289075208608435,0,0,0,0,0
ETC,0,0.104187436894958,0,0,0.191875493787296,0,0.202388468531991,0.0607787402065944,0,0,0,0.12461209451513,0.0993750111454731,0,0,0,0,0.277056206932163
DASH,0.517356401495956,0.0649003881974874,0,0,0.101194115408109,0.175585444906594,0,0.134176157938624,0,0,0.103505266266512,0,0,0,0,0,0,0
XEM,0,0,0,0.0150611795283108,-0.129439853189133,0,0.250021019658257,0,0.202194788223013,0,0,0,-0.0753895375463429,0,0,0,0,0
ZEC,0.240299857821203,0.204584327013422,0,0.458715172544387,0,-0.0714422028184781,0,0.0414457252994175,0,0,-0.0721974869969485,0,0.0833276979592022,0,0,0,0,0
DOGE,0.217837095035685,0,0,0,0,0.0573417700126942,0,0.00401900870225083,0,0,0.000711652889919034,0.0819384952351741,0,0,0,0,0,-0.0341365776847751
XLM,0,0.0612527465411991,0,0,0,0.15712439360713,0,0,0.0724785123965307,0,0,0.0533182153275816,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0.112546566068703,0.175233581392048,0,0,0,0,0,0.112436661329993,0,0,0,0,0,0
BV010082.Index,0,-0.0951796567232798,0,0,0.0716762468753317,-0.0196865892417369,0.00219397702792963,0,-0.0284365460500145,0.116353991227824,0.0480466817965717,0,0.00995362870542727,0,-0.0855935904234231,0,0,0
CVIX.Index,0,0.0617169820199806,0,0,0.0722731803385843,0.0390489367567168,0.00955357821780439,0,-0.0448764373998168,0,-0.0414705484399145,0.00803570599956702,0,0,0,0,0,0.0686180543963577
DXY.Curncy,0,0,-0.0300740915236423,0.00827138767733186,0.00233174296761738,0,0.0178781853801332,0,0.00152945289078619,0,-0.00862368326286388,0,0,0.0217403857557516,0.0646672891989787,0,0,-0.0216792091100977
SPX.Index,0,0,0,0,0.000763186872501073,-0.00863024202671445,0.011415595506304,0,0,0,-0.00211005097812176,0.00654430166916028,0,0,0,0,0,-0.0465484515229752
VIX.Index,0,-0.0501961203053066,0.258394505849079,0.106335157027511,0,0.203792595370817,0,-0.147953958392958,0,0,-0.203835514338802,-0.0244621870925341,0,0,0.359427027805908,0,0,0
