,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0665731599796312,0.107456192394723,0.0879259975291023,0.0915928635193461,-0.0378303532641382,0,0,0,0.0585749816479166,0,0,0,0,0
ETH,0,0,-0.0260048599320256,0,0.10569786157699,0.372487851020161,0.0200547902950552,0.0113417066800378,0,0,0.0930664257862781,0,0.0862147307817889,0,0,0,0,0
XRP,0,0,0,0,-0.0253209216956155,0,0,0,0,0,0.469511674196533,-0.0983627885556646,-0.0855144413519981,0,0,0,0,0
LTC,0,-3.46944695195361e-18,0,0,0,0.0844476323384604,0.0340003240857513,-0.015908016897904,0,0.0494339071908137,0,0,0,0,0,0,0,0
DASH,0,0,-0.104154436236478,0,0,0,0,0.0329056852165623,0.147368942938587,-0.124813940714342,0,0,0,0,0,0,0,0
XMR,0,0.36616753485894,-0.00302656226530136,0,0,0,0,0.0491167211047151,0.123109466847591,-0.0533367010116665,0,-0.0522707574155309,0,0,0,0,0,-0.0700021954005448
ETC,0,0.370773719607556,-0.00961934829217927,0.156612306685586,0.088953615865472,0,0,0,0.0615858879571201,0,0,0,0,0,0,0,0,0
XEM,0,0,3.46944695195361e-18,0,0,0.088957011865251,0,0,0.146766557446197,-0.160485494393,0,0.0305819798787132,0.203745732509509,0,0,0,0,0
ZEC,0,0,0,0,0.317855726275035,0,0.0180115323608655,0,0,0.200505937256826,0,0,0,0,0,0,0,0
DOGE,0.128206762931477,0.0616836246672676,0.136380737621248,0.122045951336199,0,0,0,-0.0030555354218654,0.149484891731405,0,0.204373934642874,0,0.102892980533599,0,0,0,0,0.00342959503417898
XLM,0,0.164184206754495,0.406078681290214,0.161680265109583,0,0,0,0,-0.128942994912982,0.0698313486422049,0,0,0.0434689002472822,0,0,0,0,0
NEO,0,0,-0.0270747772051918,0,0,0,0,0,0,0.118674332058679,0,0,0,0,0,0,0,0
DGB,0.187210732038031,0.0386131313418466,-0.143211955202174,-0.076784961105693,0.0464882460051938,0,0,0.096482458177467,0,0.0849540576992025,0.266742475583309,0,0,0,0,0,0,0
BV010082.Index,0.0231411256838106,0.0282676550342438,0,-0.00447132176166491,0,0,-0.0578171210425357,0,0,0,0,0,0.0292765951074071,0,0,0,0,0
CVIX.Index,0,0,0.000503573495612901,0.0344616310254865,0,0,0,-0.037265599952522,0,0,0,0,0.0665188753942194,0,0,0,0,0.0897672866611877
DXY.Curncy,0.00944327557490421,0,0,0.000491467655861892,-0.0019753408131789,0,0,0,-0.00150880734373372,0,0,-0.0132506603810949,0,0.0282001012351927,0.0156789511917552,0,0,0.0021737530550869
SPX.Index,0,1.35525271560688e-20,0.000690377221648808,0.00218403005573791,0,0,0,0,0,0,0,-0.00458985852963384,0,0,0,0,0,-0.0186124703893725
VIX.Index,0,0,0,-5.42101086242752e-20,-0.0600478784061381,-0.160410938991486,0,0,0,0,-0.0168702356531716,0,0,0,0.0878753734869033,0,0,0
