,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0816444621528123,0,0.030475996987128,0,0,0.111084381492132,0,0,0,0.0224657371283509,0,0.0345518923392664,0,0,0,0,0
ETH,0,0,-0.0436047932676506,0,0.0899385271019797,0,0.0134970255727828,0,0.0961282771217388,0,-0.0350946590024436,0.0961712296246434,8.67361737988404e-19,0,0.0446287153843021,0,0,0,0,0.094808651835785
XRP,0,0,0,0,0,0,0,0,0,0,0.433451663147413,0,0,0,0,0,0,0,0,0
LTC,0.0999097180676538,-0.109578009214861,-0.0246664181041545,0,0,0.0465334907548228,0,0,0.137825262742423,0,0,0.0524244809749854,-0.0251736768372984,0,0.180462033642843,0,0,0,0,0
ETC,0,0.175609831207927,-0.122672267858101,0,0,0.161847392375691,0.206953580160735,0,0,0,0,0,0,0,0.0860264183196202,0,0,0,0,0.0142825442587257
XEM,0.395865227800319,0,0.187697861407524,0,0,0,0,-0.0555199113913277,0.0563009651295833,0,0,0.346507126148014,-0.0585543114871254,0,0.0346219806579484,0,0,0,0,0
DASH,0,0,0,0,0.0784511702673161,0,0,0,0.268170920783643,0.11760515783954,0.0415557425767514,0,0,0,0.0507157999197477,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.109769951907834,0,0.0559644113107028,0.353132789518676,0,0,0,0.054858848086381,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.0431162101197176,0,0,0.045917562677743,0.0468575448129945,0,0.0289016387145974,0,0.0237380260320697,0.138583991094116,0,0,0.038429608098114,0,0,0,0,0
XLM,0,0,0.611457880083639,0,0,0.00340323571096187,0,0,0.223780446256984,0,0,0.0851897543582051,0.0222183697624296,0,0.0473070053820352,0,0,0,0,0
DOGE,0,0,0,0.0925440754420537,0,0.249419109656033,0,0,0.0533228644350837,0,0.0991301457966194,0,0,0,0.127803689920092,0,0,0,0,0
DGB,0,0,0.147681326463647,0,-0.012355977211447,-0.119258150476152,0,0,0.191266286036817,-0.203733863829156,0.219707781538993,0.322928041623633,0,0.168451090273625,0,0,0,0,0,-0.0460213273891825
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0.306817194922444,0,0.48779342551124,0.133536405063685,-0.0202137919352057,0,0,0,0.260106327481001,0,0,0.0812401929953668,0,0,0,0,0,0,0
BV010082.Index,0,0,0.00884257748134108,0,0,-0.00883181687081958,0,0.0113090803970217,0,0.0110201319855596,0.0144254657981145,0,0,0,0,0,0,0,0,-0.0617211131167448
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00275570517406411,0,0,0.00578101848734807,-0.0103357838415346,0,0,0,0,0.00211094630407141,0,-0.00647767455163021,0,0,0,0,0,0,0.00185012653917943
SPX.Index,0,0,0,-0.00135391818321043,0,-8.14297951863573e-06,0,0,0,0,0.000752463523081023,0,0.00140280117383648,0,-0.00138338455383869,0,0,0,0,-0.0320059493638956
VIX.Index,0,0,0.0693517378171052,-0.0800725965155162,0,0,0.152942066608503,0,-0.103100366716533,0,0.00832625916524697,0.0729277288424201,-0.0247988455439474,0.064615353674882,0,0,0,0,0,0
