,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,DASH,XEM,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.249614930148295,0.084621373082205,0,0.0765407268571924,0.00157015560117189,0,0,0,0,0.0946786520049617,0.0460998433448393,0,0,0,0,0
ETH,0,0,0,0,0.0456242030981448,0,0,0.0918861123124397,0,0.134636506832618,0,0.0821354537353828,0,0.179580913853899,0.0278733907812005,0,0,0,0,0
XRP,0,0,0,0,0,0,0.113031040971615,0,0.0640714360266201,0,0,0.194274172610296,0,0.155562873192172,0.0924855296962875,0,0,0,0,0
BCH,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.086016591685347,0,0.315543741532504,0.222296142609576,-4.33680868994202e-19,0,0,0,0,0
LTC,0.0385095175211527,0,0,0,0,0,0,0,0.0832823834186652,0.0019064038935687,0,0,0,0.220942115040333,0.0208082238883836,0,0,0,0,0
ADA,0,0,0.077013671264438,0,0,0,0.123701347986584,0.0100207356499071,0.0926006176753633,0.0485655732229011,0,0.135416582521105,0,0,0.0843502940296162,0,0,0,0,0
XLM,0,0,0.11591493275967,0,0,0.30064972855514,0,0.0908884038005456,0,0.0537187133977926,0,0.0997500224384979,0,0.0183875073169393,0,0,0,0,0,0
NEO,0,0.0631193855986997,0,0.114601060676998,0,0.0162635511647301,0.082813732390969,0,0,0,0,0.16081046994748,0.14809499651697,0.184860908623146,0,0,0,0,0,0
EOS,0,0,0,0.059891690741284,0.0556456727566377,0,0,0,0,0,0,0.122295294036066,0,0.332932197114496,0.0950604821954286,0,0,0,0,0
MIOTA,0,0,0,0,0.314081684718532,0,0,0,0.0866053672655076,0,0,0.176847149201728,0,0.250147243551029,0,0,0,0,0,0
DASH,0,0,0.00672320295740423,0.120130288092597,0,0,0,0,0.0561231242494435,0,0,0,0.177407798978779,0.123201067474224,0.110069377368032,0,0,0,0,0
XEM,0,0,0,0.0329965030142999,0,0.189695229751497,0.175921340668902,0.0145420110872076,0,0,0,0,0.0447692011744901,0.0477549268974237,0,0,0,0,0,0
XMR,0,0,0,0.192446586921839,0,0,0.0213030514822958,0.184533833043362,0,0,0.169545174995608,0,0,0.0716437790772334,0.0488830150083879,0,0,0,0,0
ETC,0,0,0.0671529474252229,0.154196473387903,0,0,0,0.105074447971487,0.117867259912407,0,0.0549850805603801,2.16840434497101e-19,0.144413371105185,0,0.0613449276703924,0,0,0,0,0
TRX,0,0,0.11466104210557,-1.73472347597681e-18,0,3.46944695195361e-18,0,0,0.187263786272055,0,0.443384199651914,0.100110889560509,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.00088232876156004,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334702774376103
CVIX.Index,0,0,0.00694514026814215,-0.0128332291007174,0,0.00944583350527104,0,0,0,0,0,0,0,0,-0.00674400907963221,0,0,0,0,0
DXY.Curncy,0,0,-0.000758869649318544,0,0,-0.00725697169753955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651232094826
VIX.Index,0,0,0,0.0594696485583349,0,-0.0784663125458281,0,0.012127126965372,0,0,0,-0.0325371761611375,0.0202744419405283,0.00529970406212161,-0.0411802703232224,-0.908667154569786,0,0,0,0
