,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00726937733018529,0,0.121009827652375,0,0,0,0.115212803318913,0.093211329186985,0.00537014510302011,0,0,0,0,0.0446226758040485,0,0,0,0,0
ETH,0,0,0.131377527260042,0.141767433646418,0,0.228264599578894,0,1.38777878078145e-17,0,0,0.089241794667989,0,0,0.0529813466882702,0,0,0,0,0,0
XRP,0,0.128001051777961,0,0.0314055870710508,0,0,0.0597429962994984,0.20108378442391,0.0935595023153368,0,0.0614727448473887,0.0733419543279525,0,0.0528564934121441,0,0,0,0,0,0
BCH,0,0,0,0,0,3.46944695195361e-18,0,0,0.104003455812805,0,0.121477638380403,0.156321303972735,0.312408865922427,0,0.00486155092070332,0,0,0,0,0
EOS,0,0,0,0.186934974674342,0,0,0.0254672516623294,0,0,0,0.209208978644321,0.107629720034638,0,0,0,0,0,0,0,0
LTC,0,0.232089990176987,0.0480702154940118,0.221190997526766,0,0,0.0899289120274089,0.0205655504489474,-3.46944695195361e-18,0,0.102769507483819,0,0,0,0,0,0,0,0,0
ADA,0,0,0.20425683362478,0,0,0,0,0.26830760024422,0,0,0.109342908169277,0,0,0.187037840889741,0,0,0,0,0,0
XLM,0,0,0,0.0437971765927848,0,0,0.145304634179147,0,0,0,0.218450981096167,0.136092689620012,0,0.155543379390268,0,0,0,0,0,0
MIOTA,0,0,0,0.0532499010424013,0,0,0.0554363478896838,0.0365413327844469,0,0.054389297048357,0.125850819815421,0.0978241389783068,0,0.0700019271236539,0.0158345698473662,0,0,0,0,0
TRX,0,0,0,0.211059142787269,0,0,0,0.374428497121851,0,0,0,0,0,0,0.113163642507521,0,0,0,0,0
NEO,0,0,0,0.017019703091019,0.0711345271520415,0,0,0.285270771834042,0.17595155695446,0,0,0,0.0478810702480072,0.0102820044964252,0.186125432404062,0,0,0,0,0
XMR,0,0,0.308489735566942,0.0836502005723542,0,0.0825027486087337,0,0.0472328440765655,0.0161219032354787,0.05784177623305,0,0,0.227585044458821,0,0.00719767010324017,0,0,0,0,0
DASH,0,0,0,0.133259918407635,0,0,0,0.264036276115604,0.0728184856320395,0.083950623487507,0.0321929300982034,0.020857536135411,0,0.00905611559916071,0,0,0,0,0,0
XEM,0,0.0777870508146063,0,0,0,0,0.0747496422432539,0.418935914476504,0.0747033565149568,0.0553126464832207,0.055953232571631,0,0,0,0,0,0,0,0,0
ETC,0,0,0.0237669387909823,0,0,0,0.0533784340333897,0.109902621923454,0.0670628576852826,0.0222454200352331,0.113966142511607,0.200980586794112,0.0217151968569889,0.0598171245178714,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.0118908455654087,0,0,0,0,0,0,0,0,0,-0.032702001940743
CVIX.Index,0,0,0,0,-0.0165936333632334,0,0,0,0.0217600099197704,-0.0139857439606207,0,0,0,0,0,0,0,0,0,0.0246473783426811
DXY.Curncy,0,0,0,0,0,0,0,0,0.00395948724926997,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-0.0038309540218998,-0.00304945648495532,0,0,0,0,0,0,0,0,0,-0.115614208738888
VIX.Index,0,0,0,0,-0.0495125178689281,0,0,0,0,0,0.159788173936436,0,0,0.00824578512009668,0.0750823002176029,0,0,0,-4.28456616241322,0
