,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0731162016107802,0,0.149094205679997,0.0294315684117138,0,0,0,0.073540278059061,0.0826614672440713,0,0.0221093953682425,0,0.00494612109221897,0,0,0,0,0,0
ETH,0,0,0,0.146563299755581,0.0785321593144662,0,0,0,0.166660080103153,0,0.143687896455812,0,0,0,0.0480093185846178,0,0,0,0,0
XRP,0,0,0,0.176555812092859,0.0179863974458555,0,0,0,0.0384310597046133,0,0.15110964693131,0,0,0,0.252128540023814,0,0,0,0,0
BCH,0,0,0,0,0.332499769570341,0,0,0,0.10566118751678,0.0851363015924645,0.0337836559351808,0,0,0.0494945552886828,0.105028213432479,0,0,0,0,0
EOS,0,0,0,0.28402889938911,0,0,0,0.337487529511841,0.0923346302831626,0.129641586950452,0.170886812530973,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.360309934416951,0.0754859150244233,0,0,0,0.0246146299835417,0,0,0,0,0,0.0506673405178371,0,0,0,0,0
XLM,0,0,0,0.149724524697627,0.0880510647494245,0,0,0.0518729596075765,0.0911446384357149,0,0,0,0,0,0.18612669428489,0,0,0,0,0
ADA,0,0,0,0.25228493148343,0.105262625215646,0,0,0,0.0930895696417177,0,0.13202308360948,0,0,0,0.0601803897238709,0,0,0,0,0
MIOTA,0,0,0,8.67361737988404e-19,0.340931460016104,0,0.15374803973847,0,0,0.202144589348056,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.173785536474455,0,0,0,0.0462823971748671,0.20495235719276,0,0.0253164595014703,0,0,0,0.307463453634037,0,0,0,0,0
TRX,0,0,0,0.0980596772754213,0.310574232063229,0,0.140815403156273,0,0,0,0,0.0807757254710175,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0652895474470506,0.112207256508463,0,0,0.184364065728665,0.0298958715129856,0.139871482028443,0.0396951242779694,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.186038286650131,0,0,0,0,0.0320953877039019,0,0,0,0,-1.38777878078145e-17,0.258210593523065,0,0,0,0,0
ETC,0,0,0,0.306802448604933,0,0,0,0,0.204524204252953,0,0.0438416606577607,0,0,0,0.153312819808326,0,0,0,0,0
XEM,0,0.236472601868838,0,0,0,0,0.154334714200082,0,3.46944695195361e-18,0.385919537238055,0.0422089218320129,0,0,0.0854686567559982,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106369303759129
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.0711665018306699,0,0,0,0,0,0,0.0147945793076142
DXY.Curncy,0,0,0,0,0.0168704483772886,0.000581401548759982,0,0,0,-0.0162285947021201,-4.33680868994202e-19,0,-0.00440120332531516,0.00885576059768222,0,-0.0207322069039913,0.0337724486513915,0,0,0
SPX.Index,0,0,0,0,0.00217621556782074,0,0,0,-0.00876648074591689,0,0,0,0,0,0,0,0,0,0,-0.0572036108124529
VIX.Index,0,0,0.326879943011465,-0.116506753289575,-0.427326027663291,0,-0.353209706057079,0,0.132854413925042,0,0.217954217027366,0,0,0.142213945179375,0,-0.923688443968319,0,0,0,0
