,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.178573270543324,0.000247139685137568,0,0,0,0.0867599809809702,0.0295471748868472,0.115118712677597,0,0,0,0.00667905784300471,0,0,0,0,0
ETH,0,0,0,0.107793629611981,0.0791668548441565,0,0,0,0.141769092035161,0.150656744316752,0,0.0119167733847325,0,0,0.0758163378465885,0,0,0,0,0
XRP,0,0,0,0.0693603847425453,0.0635874451080658,0,0,0.0631365309183178,0.15457566544545,0.144001672524659,0,0,0,0,0.0873953562399381,0,0,0,0,0
BCH,0,0,0,0,0.219072198227547,0,0,0.118168179049357,0.0575749200888355,0.301229265396992,0.0890247135170444,0,0,0.0144514873061338,0,0,0,0,0,0
EOS,0,0,0,0.219973162724885,0,0,0,0.122899499144715,0.145573257040849,0.00908596260303424,0.0090045686846953,0.0333907244199696,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.18205118729977,0,0,0.211181335358551,0.0722331484708812,0.171272786757797,0,0,0,0,0.0302494874230117,0,0,0,0,0
LTC,0,0,0,0.384255831422014,0.0341366167702118,0,0,0,0.0986866146883003,0.0211557585439778,0.0674516102379614,0,0,0.0507287383591588,0,0,0,0,0,0
ADA,0,0,0,0.219954640393554,0.0421520014486163,0.213720641202512,0,0,0.0210816902797781,0.0770370080947772,0,0,0,0,0.21190016071501,0,0,0,0,0
MIOTA,0,0,0,0,0.232026450118843,0,0,0.101620080677908,0,0.132346427094714,0,0.427096991614935,0,0,0,0,0,0,0,0
TRX,0,0,0,0.400525377980677,0.136862144739888,0.124847854278084,0,0,0,0,0,0.0239090030617437,0,0,0,0,0,0,0,0
XMR,0,0,0,0.308960529948123,0.121377422170412,0,0,0.0274812652418427,0,0,0,0.109606246182843,0,0,0,0,0,0,0,0
NEO,0,0.121680733353284,0,0,0,0,0,0,0.331042749636288,0.018360704944471,0.00507985874687377,0,0,0,0.257383716976487,0,0,0,0,0
DASH,0,0,0,0.113113086281706,0.0520754009467103,0,0,0,0.119456010682089,0,0,0,0,0.0905343662460392,0,0,0,0,0,0
ETC,0,0,0,0.366042178537822,0,0,0,0,0.148473996039915,0,0,0,0,0,0.116990563971395,0,0,0,0,0
XEM,0,0,0,0,0.155752483797785,0.225849159245079,0,0.104967910433511,0,0.0558737991016378,0,0.116086040647669,0,0.0651105671295174,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593143168276854
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406213437967576,0,0,0,0,0,0.0246719202864552
DXY.Curncy,0,0,0,0.00992054778040091,0,0,0,0.00595191551719724,-0.0153461573487147,0,0,-0.00407981284986835,-0.01180508212106,0.00327303216685043,0,0,0.0222175249832021,0,0,0
SPX.Index,0,0,0,0,0,0,0,0.00858643599487403,-0.0102042117801265,0,0,0,0,0,0,0,0,0,0,-0.0582241422881371
VIX.Index,0,0,0,-0.00684295748455955,-0.133880205253845,-0.0978308144588101,0,0,0.17965141384455,0,0,0,-0.11548125866754,0,0,-2.43667109545639,0.472340999831526,0,0,0
