,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,ETC,NEO,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.217440240669261,0,0,0,0,0,0.0569756681892216,0.131630133807635,0,0,0,0.0795398602838726,0,0,0,0,0
ETH,0,0,0,0,0.184427750980073,0,0,0,0.132586111608005,0.181277369771823,0,0.0346873278821564,0,0,0.0707310819975568,0,0,0,0,0
XRP,0,0,0,0,0.192601392698894,0,0,0,0.203058240434318,0.0641672123115699,1.0842021724855e-19,0.0250001034321094,0.0213548665952339,0,0.0633799436560761,0,0,0,0,0
BCH,0,0,0,0,0.282663735897539,0,0,0.0390458018175723,0.0352071873777508,0.281667282376856,0.0793320875284282,0,0,0,3.46944695195361e-18,0,0,0,0,0
EOS,0,0,0,0.446457337449722,0,0.0524979642521492,0,0.0795148948458056,0.149262325409223,0.0420901279291426,0,0,0.0271531465622755,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0971738153489238,0,0,0.0652639480643345,0.352266808199028,0,0.0171028127442708,0,0.00657052359503562,0,0.0605146956520417,0,0,0,0,0
LTC,0,0,0,0.481277863856234,0.0529402353348664,0,0,0,0.061653992328815,0,0.0258772037096152,0.0524398375302863,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0.110918538015827,0.227237499696886,0,0,0,0.154906360038097,0.0583790552526781,0.0287205189831092,0,0,0.204754966227008,0,0,0,0,0
MIOTA,0,0,0,0.125416997603191,0.358950548454983,0.0174737511942724,0,0,0,0.0669517418364387,0,0,0.275049497391216,0,0,0,0,0,0,0
TRX,0,0,0,0,0.335327171283226,0.0141089748693663,0,0.0375791855046943,0.160417252365858,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.312846630565177,0.115266846107131,0.0216769490843097,0,0,1.73472347597681e-18,0,0,0,0.100294161071177,0,0,0,0,0,0,0
ETC,0.0526484260757437,0.403748393166139,0,0,0,0,0,-3.46944695195361e-18,0.216316626953085,0.0248410639198129,0,0,0,0,0.0729104987936557,0,0,0,0,-0.0340782544400244
NEO,0,0,0,0,0,0,0,0,0.248075581285802,0.222415327368009,0.0408653159068568,0,0,0,0.234933090059209,0,0,0,0,0
DASH,0,0,0,0.02402723943498,0.0506882719073206,0,0,0.0188009607750677,0.101237374758711,0,0,0.0764761831813908,0.0893103754205149,0,0,0,0,0,0,0
XEM,0,0,0,0.0845954330140344,0.0654772417167605,0.127252484539698,0,0.328345767570064,0.0498594287300918,0,0,0.0426677032775628,0.0665877839583034,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0.0140593933206846,0,0,0,0.00894748879801565,0.0314489189909659,0,0,0,0,0,-0.116705699267121,0,0,-0.0106369985154538
CVIX.Index,0,0.0350705848619341,0,0,0,0,0,0,-0.0216323028995571,0.0636772272625915,0,-0.021058756249831,0.0356096988184344,-0.149976316872652,0,-0.356933435042389,0,0,0,0.0137149178142553
DXY.Curncy,0,-0.00173328227696034,-0.0308267958011806,0,0,0.0135429965673426,0,0.0177125409310816,-0.00628440557762719,0,0.0110368641948809,0.0143415211989349,-0.00366914066011752,-0.0223290620644827,0,0,0.0560769030519126,0,0,-0.00439934702331405
SPX.Index,0,0,0,0,0,0,0,0,-0.00440054306709435,0,0,0,0,0,0,0,0,0,0,-0.0577649950465823
VIX.Index,0.521978585205477,0,-0.0865761634056989,-3.46944695195361e-18,-0.261102654509012,-0.257099038782219,0,0,0,0.212437533443785,-0.207957171500553,0,0,0,0.0231158265865831,0,0.238996691772983,0,-3.76485094641595,0
