,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,XMR,ADA,TRX,DASH,MIOTA,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00684065234089155,0.0784320410747061,0,0,0,0.00595596944336368,0,0,0.0400917322487788,0,0.091225988568886,0,0,0,0,0,0,0
XRP,0,0,0.187878437696651,0.00106309081006371,0.188025976894058,0,0,-0.00568516345894269,0,0.0939452171683229,0,0,0,0.213297827905431,0,0,0,0,0,0
ETH,0,0,0,0.179929597473023,0.175663837482422,0,0,0,0.00196315765588601,0.15301198309932,0,0.0320541527111094,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.187321382470124,0.129519276483183,0.0300571103132807,0,0.743976219021435,8.67361737988404e-19,0,0.00406208040589129,0,0,0,0,0,0,0.0582698882220597
XLM,0,0.19090236706781,0,0.0718498849716329,0,0,0,-0.00810466309868646,0,0.306770865234675,0.197408642738961,0,0,0,0,0,0,0,0,0
EOS,0,0,0.167972911593347,0.0826745693073773,0.0420329886555274,0,0,0,0,0.151134587074432,0.0234242586965494,0,0.0959495132821446,0,0,0,0,0,0,0
LTC,0,0,0.212761341447609,0.120950973678315,0.0269735658640622,0,0,0,0,0,0.0849933917564428,0,0.176821013496718,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.0321019097995084,0.0766804688771099,0,0,0,0.00179904980067284,0,0.145726274196128,0,0,0.190431900564082,0,0,0,0,0,0,0
ADA,0,0,0.0538302931892326,0.159933818350571,0.21942360301666,0,0,0,0,0,0,0,0.255895852070887,0,0,0,0,0,0,0
TRX,0,0,0.0528200300075205,0.0813382174712586,0.049755909003672,0,0,0,0,0.244380755256205,0,0,0.154438358714105,0,0,0,0,0,0,0
DASH,0,0,0.255723918998667,0,0,0,0,0.0147905834977942,0,0.248575745972271,0.0346586470848891,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.155452215047479,0,0,0,0.0438196008900238,0.130927388775742,0.23333228612362,0.146946565511429,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0,-0.00328523943516087,0,0.168828863745986,0.163105344844191,0.0818548285654108,0.320123879784986,0,0,0,0,0,0,0
BNB,0.14172874802542,0,0.34938050562764,0.075104665361756,0,0,0,0.0107284313891578,0,0,0.090881402050727,0,0.0439462081632475,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.00422043255702772,0,0,0,0,0,0,0,0,0,0,0,-0.0232437183471621
CVIX.Index,0,0.0563562277095174,0,-0.013065322816877,0,0,0,0.0150800642065857,-0.0607256765784171,0,0,0.0243532751243931,0,0,0,0,0,0,0,0.067381652801307
DXY.Curncy,0,0,0,0.00103700806603951,0,0,0,0.00347323622630679,0,0,0,0,0,0.00507588671081078,0,0,0,0,0,0
SPX.Index,0,-0.0173735404972475,0,0.0157192267801593,0,0,0,-0.00184970173998306,0,0,0,0,0,0,0,0,0,0,0,-0.101587874226187
VIX.Index,0,-0.158142728179745,0,0.169046814663867,-0.154867421407557,0,0,0.0171354017049219,0,0,0,0.0354439239976024,0,0.0661857675934763,0,0,0.725719395525561,0,-5.54043924943622,0
