,BTC,XRP,ETH,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.123890335625838,0,0,0,0,0,0,0,0.0234427362253688,0.312224720634164,8.67361737988404e-19,0,0,0,0,0,0
XRP,0,0,0,0.0840054171295689,0.154883706372482,0.141980797989696,0,0,0,0.0500685667787245,0,0,0.0534206677574265,0.0125764067035931,0,0,0,0,0,0
ETH,0,0,0,0.165828741646921,0.120327429074037,0,0,0,0,0.0672526530861352,0.0895462118443142,0.0204505810197484,0,0.167412067300075,0,0,0,0,0,0
BCH,0,0,0.030724154934274,0,0.24683116957299,0.216730824305235,0,0,0.0535838289418273,0.336015149739119,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0198744988338497,0,0,0,0.183133798398786,0,0,0.459840403111357,0,0,0,0.149995121875517,0,0,0,0,0,0
XLM,0,0,0,0.207679957767965,0.197409440247952,0,0,0,0,0,0.0299034166530695,0.0839477318092499,8.67361737988404e-19,0.0479428582952953,0,0,0,0,0,0
LTC,0,0,0.176285784958872,0.0645779321056904,0.160983508168846,0,0,0,0.0154782413745088,-1.38777878078145e-17,0,0,0.0938181994712257,0.0783568411397098,0,0,0,0,0,0
TRX,0,0,0.204397363725399,0.0367947506748284,0,0,0.0872579407028582,0,0,0.380850273624854,0,0,0.0272583683909962,0,0,0,0,0,0,0
BSV,0,0,0,0.685529897444568,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0264611584954915
ADA,0,0,0,0.169787767711299,0.218831187708935,0,0,0.1949466963369,0,0,0.068516811921357,0,0.14528800370691,0,0,0,0,0,0,0
MIOTA,0,0,0.00945340835020831,0.180226511617967,0.0797484519292978,0,0,0,0.061667543796924,0.0435298628358322,0,0,0.298909252420447,0,0,0,0,0,0,0
BNB,0,0,0.0463320654909916,0.0244896997496123,0.18100457609248,0,0.104605255799246,0,0.00589070484922006,0.218083326781591,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.160014326832257,0.0641499077411121,0,0,0.0352621057157474,0,0,0.236360694696395,0,0,0,0.252874262949493,0,0,0,0,0,0
DASH,0,0,0.155156874674935,0,0.124905569138497,0,0,0,0.00840100987303548,0,0,0,0.425523546027288,0,0,0,0,0,0,0
XEM,0,0,0,0.101681750618277,0,0,0,0.0115229829842222,0,0.285412537894908,0,0,0.122472593455222,0.051406013545676,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.056769929911493,0,0,0.0243084147071058,0,-2.71050543121376e-20,0,0.0156815144430057,0.0414189862961649,0,0,0.0581885686383881,0,0,0,0,-0.0713579865740562
CVIX.Index,0,0,0.0919091860087166,0.0274773444732827,-0.0483054844115875,0,0,0,0.00674996637007345,0,0.0229503324682986,-0.0887005245044369,-0.0706270409966267,0.0310802786582871,0,0,0,0,0,0.0792118612048636
DXY.Curncy,0,0,0,0,0.000503372531663278,0,0,-0.0312064453961502,0.00407284690312868,0.00704235632417592,0,0,0,0.00546012619908673,0.00964216554862502,0.0119411037624665,0,0,0,-0.00572874308862088
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121248939027032
VIX.Index,0,0,0,0,0.0381655646448481,0,0,0.244098316239544,0,0,0.0853338451678867,0.00869427792197503,-0.395045630993993,0,0,-0.336789862978969,0,0,-3.22111885670121,0
