,BTC,ETH,XRP,EOS,LTC,BCH,XLM,TRX,BNB,ADA,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0500329463401847,0.0265075706082891,0.149945636541546,0,0,0,0.091060188276936,0,0.0736549533889326,0,0,0,0,0,0,0,0
ETH,0,0,0,0.340130222981765,0,0.218705073531154,0,0,0,0.0646339915452434,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0366462299543539,0,0.185765694599608,0,0,0,0.337485281710922,0,0,0,0.0158768105828533,0,0,0,0,0,0
EOS,0,0,0,0,0.00482516440738875,0.268563191126469,0,0,0,0.373127142855511,0,0.0654333114757065,0,0,0,0,0,0,0,0
LTC,0,0.106526560315655,0,0.104053745915304,0,0.225762679149612,0,0,0,0.249251920619942,0,0,0.10795268243737,0,0,0,0,0,0,0
BCH,0,0,0,0.27837903814411,0.113208720701298,0,0,0.0308726812436741,0,0,0.24022956156931,0,0,0,0,0,0,0,0,0
XLM,0,0.0879464383267094,0,0.0287347788650944,0,0.194228418857684,0,0,0,0.250185684480794,0,0,0,0,0,0,0,0,0,0
TRX,0,0.042433418512931,0,0.0447669667496024,0,0.318063885598339,0.0736181609651936,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0588574110775392,0,0.102005504601668,0.179797952487429,0,0,0,0,0.217164576522308,0,0,0,0,0,0,0,0,0,0
ADA,0,0.334682620809472,0,0.236655938570135,0.121851048889326,0.0446750259854559,0,0,0,0,0,0,0,0.0917981586664784,0,0,0,0,0,0
BSV,0,0,0,0,0,0.483042446243029,0,0,0,0.154552190861183,0,0.0103456626030811,0,0,0,0,0,0,0,0
XMR,0,0.199765051629702,0,0.173172501157366,0,0.0814956922986264,0,0,0,0.0349214670504594,0,0,0,0.0299998393133003,0.00157737215736599,0,0,0,0,0
MIOTA,0,0.107446697772177,0,0.283260719845625,0,0.144735767009489,0.0632990427167724,0,0,0.145621707313776,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0346015548116601,0,0.316378082365152,0,0.0259207035147108,0,0,0,0.255866882078921,0,0,0,0,0,0,0,0,0,0
MKR,0,0.278771606121099,0,0.24427769977511,0,0,0,0,0,0,0,0.23234053992833,0,0,0,0,0,0,0,-0.0556538874754821
BV010082.Index,0,0,0,0,-0.0609562233174858,0,0,0.041578668525486,0,0,0,0,0,0.0488702413872766,0.0160634716048866,0,-0.0427926297970825,0,0,-0.0341170137243379
CVIX.Index,0,0.100263547750752,0,-1.73472347597681e-18,0,-0.0751365199502129,0,-0.0350038786645171,-0.0178760608835274,0,0,-0.0417199122053149,0,0,0,0,0,0,0,-0.0545264346332094
DXY.Curncy,0,0,0,0,0,0,0,-0.0339560280392583,0.00703041206683516,0,0,0.00132242682222893,0.00898851065161537,0.0196168303979599,0,0.027528706202129,0,0,0,0.000802468362035561
SPX.Index,0,0,0,0,-0.00565969718430797,0,0,0,0.00450060632158744,0,0,0,0,0,0,0.105624809493651,-0.0155447205000414,0,0,-0.0883162992682692
VIX.Index,0,0,0.119965162230856,0,0,0,0,0.0180447201117956,0.13637534605643,0,-0.3046866066376,0,0.225942384165954,0,0.0164985203607396,0,-0.0139516429489944,0,-3.03238774462768,0
