,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0461387342373089,0.0447774662325336,-1.73472347597681e-18,0.146394127142853,0,0,0,0,0,0.196019284095527,0,0.0228799698081681,0,0,0,0,0,0
ETH,0,0,0.288866549849537,0,0,0.0494454864419411,0,0.0136575995880522,0,0.0587173311811429,0,0.15294101712928,0,-2.16840434497101e-19,0,0,0,0,0,0
XRP,0.035968072180736,0,0,0,0.276023061997089,0,0,0.00347870715491514,0,0.0733190391810053,0.0779110063832659,0.117772899266651,0,0.169665217212612,0,0,0,0,0,0
BCH,0.326894763378353,0,0,0,0.120191043533916,0.134540372285722,0,0.0513953332288372,0,0.114278789955655,0,0,0,0,0,0,0,0,0,0
EOS,0,0.233710549261013,0.0708230676123148,0.188658882154191,0,0.0944886993145601,0,0.0026763058552819,0.00122496917759185,0.0592105284078871,0.136329770128493,0,0,0,0,0,0,0,0,0
LTC,0,0,0.0774132210767739,0.261345951693557,0.0231663511241565,0,0,0.0254559569401223,0,0.191287834966934,0,0.135713320353993,0,0,0,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0.0606285999757522,0,0.055344914129901,0,0,0.219140261138363,0,0,0,-0.256487399857123,0,0,-0.0228750049795886
BSV,0,0,0,0.312848445135331,0,0,0,0,0,8.67361737988404e-19,0.211930177465082,0,0,0.226102628602521,0.0297321283708354,0,0,0,0,0
XLM,0,0.0658931323994229,0,0.0276824354208644,0.0194094103808273,0,0,0,0,0.161394205857492,0.0990326197927928,0.023537538900879,0,0.0809427237836531,0.028710363655106,0,0,0,0,0
ADA,0,0,0.0713888927112472,0.261689903783352,0,0.184983824776313,0,0,0,0,0.216004060903522,0,0,0,0,0,0,0,0,0
TRX,0,0,0.349424065247541,0,0,0,0.0511477474468332,0,1.38777878078145e-17,0.1266670051094,0,0.203876264758572,0,0,0.0242683089298152,0,0,0,0,0
XMR,0.101717436010685,0,0,0,0,0.0437479615582647,0,0.0149041992448487,0,0.0838503136759301,0.413904679767329,0,0,0,0.0198855873500217,0,0,0,0,0
DASH,0,0.163226353252466,0,0,0,0,0,0,0.0649928531564225,0.0642891875662459,0.0937457668655177,0.209282869830287,0,0.0115461093724789,0.00833392840143421,0,0,0,0,0
MIOTA,0,0,0.2740628454585,0,0,0,0.00265839967337533,0.0721725019159005,0.0671475975395298,0.00110496931639631,0,0.272293801758155,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0,0.269465172181744,0,0.2304772879619,0,0.131684761306559,0,0.165550644577037,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.0421120641114617,0,-0.0550049140752858,-0.120145963558538,0.144057373406587,0,0,0,0.0133572715894132,0,-0.125746140334791,0,0,-0.0926972825156662
CVIX.Index,0,0,0,0,0,0,0,-0.029134614088377,0,-0.0708007365633375,0,0,0,0,0,0,0,0,0,0.0721439103595544
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154518556476061,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,-0.00138886966283792,0,0,0,0,0,0,-0.00389671131452451,0,0,0,0,-0.0715068077141978
VIX.Index,0.162063809959685,-0.121649134371752,0.690259347234114,0,0,0,-0.0453107195474588,0.133134435201125,-0.646013043416766,-0.184909050409516,0.186945171851992,0,0,0,-0.0683006176078523,-0.967761324313769,0.238305184250896,0,0,0
