,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0603895384556651,0.0454963199195667,0.16511151667401,0,0,0,0,0,0.211995740547727,0,0.0268894197920363,-1.0842021724855e-19,0,0,0,0,0
ETH,0,0,0.0135859943753302,0.139290983965274,0,0.149206150962168,0,0,0,0.0721338492957583,0,0.0681082416335878,0,0.0991457055491241,0,0,0,0,0,0
XRP,0,0,0,0,0,0.133999946820544,0,0.0030910879246505,0,0.191451064115346,0.068597895851432,0.0878862272688996,0,0.152451757405007,0,0,0,0,0,0
LTC,0,0,0,0,0.0315820272351938,0.06977441852101,0,0.0290532067012534,0,0.221222607236542,0.0504725224109356,0.270939273861873,0,0,0,0,0,0,0,0
BCH,0.410747940718683,0,0,0.122266822576485,0,0.11681035230753,0,0.00962796738007363,-1.73472347597681e-18,0.190129666952194,0,0,0,0,0,0,0,0,0,0
EOS,0,0.34857252655511,0,0.137870283038652,0.250221135040098,0,0,0,1.73472347597681e-18,0,0.0633071965060601,0,0,0.0088987962162201,0,0,0,0,0,0
BNB,0,0,0,0,0.201339191480508,0,0,0,0,0.174760375638062,0,0,0,0.0304248423639415,0.0266233397853992,0,0,0,0,-0.0802136091121707
BSV,0,0,0,0,0.277936506955674,0,0,0,0,0,0.0852626870822057,0,0,0.19846719915693,0,0,0,0,0,0
XLM,0,0,0.20590233322143,0.151344797483068,0,0.0152872144774103,0,0,0,0.144579067819541,0.0418607803161207,0,0,0.0574629978586975,0.0439538807294884,0,0,0,0,0
ADA,0,0,0.395724060392707,0.0652927981157375,0.146889773275879,0.152929246563724,0,0,0.0485921719353401,0,0.0670234105734159,0,0,0,0,0,0,0,0,0
TRX,0,0,0,3.46944695195361e-18,0,0.412288355045745,0.0746091308491985,0,0,0.0471890408891147,0,0.158163574958002,0,0.0939907671461236,0.00693431197194482,0,0,0,0,0.0711480543525143
XMR,0,0,0,0.194101880081052,0,0,0,-1.0842021724855e-19,0,0.257579953036548,0.0414736482324975,0,0.0753881228354652,0,0.0178267112055914,0,0,0,0,0
DASH,0,0,0,0,0,0.039571062079959,0.0204105947188127,0,0,0.113898722114204,0.105436959810089,0,0,0.141236426916187,0.0587290579496066,0,0,0,0,0
MIOTA,0,0,0.153132806061431,0,0,0.252823985052677,0.0212759998356663,0.0706171158645709,0,0,0,0.191783260841634,0,0,0,0,0,0,0,0
ATOM,0,0,0,0,0,0,0.497152152478708,0,0.432749875079559,0,0,0.0908150238222666,0.0367188575680324,0,0,0,0,0,0,0
BV010082.Index,0.131813107953083,0,0,0,0,0,0,0,-0.0737988430579745,-0.0509859879917853,0,0,0,0,0.033560937654864,0,0,0,0,-0.0691659322224176
CVIX.Index,0,0,0,0,-0.0269348344059047,-0.031019123327159,0,-0.0306515487577977,0,-0.0923006851905991,0.0209209928083722,0,0,0,0.00797745056485821,0,0,0,0,0.0960630382421572
DXY.Curncy,0,0,0,0,0,0.00278961956633839,-0.000259876391036125,0,0,0,0,0,0,0,0.00287390597340453,0.0399250362613497,0,0,0,0.00450985398123797
SPX.Index,0,0,0,0,0,0,0,0,0,-0.000381894043629818,0,0,0,0,-0.00478545901094302,0.0251418547989567,0,0,0,-0.0711544162332055
VIX.Index,0.0353769722589304,-0.120196359590768,0.354322201872485,0,0,-0.109941635930923,-0.127720469621867,0.063673361858675,-0.375677297027503,0,0.142590414505667,0,0.103962836356577,0,0,-1.73472347597681e-18,0.0610602774737491,0,-2.93563617727105,0
