,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,TRX,ADA,XLM,XMR,LEO,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00442551353178432,0.107371570744018,0,-4.33680868994202e-19,0,-0.00074809937757212,0,0.0435704716984222,0,0.30454201224964,0,0,0.0623647916395016,0,0,0,0,0
ETH,0.0317240008144287,0,0.107897031857251,0.0949615031361878,0,0.0651226107851211,0,0,0.0411006879204173,0.210414852495496,0,0,0,0,0.0383558934138557,0,0,0,0,0
XRP,0,0,0,0,0,0.189240188483073,0,0.00168578956998729,0,0.171457026962557,0,0.08616950423243,0,0,0.168181028769413,0,0,0,0,0
BCH,0.295286264184704,0,0,0,0.0302228320410219,0.184378037613194,0,0,0,0,0,0,0,0,0.17834437328383,0,0,0,0,0
LTC,0,0,0,0,0,0.302304855693174,0,0.018115682937583,0,0,0,0.161683162088303,0,0,0.0407742184465396,0,0,0,0,0
EOS,0,0.257317625780685,0.257999333195866,0.292042873261295,0.0101198674328641,0,0,0,0,0,0,0,0,0,0.0401283752333976,0,0,0,0,0
BNB,-0.148291631753011,0,-0.314558186223949,1.38777878078145e-17,0.173152121575985,0,0,0,-0.0939679367292969,0.38573309881881,0.134835284234348,0.112959199547583,0,0.189375732443606,0,0,0,0,0,0
BSV,0.00869769063494655,0,0,0.270921460997299,0,0,0,0,0.264971078504393,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.226624336582779,0,0,0.170821517972347,0,0,0,0.277813070985676,0,0,0,0,0,0,0,0,0,0.0581338205372457
ADA,0,0,0.150677467117896,0,0.0553617542005849,0.0935463634041499,0,0,0.218677399736201,0,0.0550332919894496,0.0788118799016053,0,0,0.101651199688067,0,0,0,0,0
XLM,0,0,0.342265344405915,0,0,0,0,0,0,0.279617662584767,0,0,0,0,0.0477467014285419,0,0,0,0,0
XMR,0.0240233705332727,0,0,0,0.0518580721979733,0,0.0198895234767618,0,0.0572436476049868,0.340184541258618,0,0,0,0.0382413129336389,0,0,0,0,0,0
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0778362610941958,0,0.0446892808080771,0,0,0,0,0,0.0699927586516885,0,0.246028284867666,0,0,0.14943460680878,0,0,0,0,0
NEO,0,0,0.166496518421255,0.0310328770985466,0,0,0,0,0,0.509198023791588,0,0.0508630053367458,0,0.0837389249099168,0,0,0,0,0,0
BV010082.Index,-3.46944695195361e-18,-0.201104790606406,0,-0.140475275945247,-0.0793270484509709,0.0374179864296141,0.0897928832748536,0.0404061840892851,0,0.151959721414256,0,-0.0979682498103098,-0.123788012784054,0.311672557978705,-0.0538833314332188,0,0,0,0,-0.159880008507291
CVIX.Index,0,0,0,0,0,-0.0335461769835716,0,-0.0329850420255945,0,-0.0727338060469334,0,0,0,0,0,0,0,0,0,0.0881839738860904
DXY.Curncy,-0.00117716672856844,0,0.00658834987071207,-0.0138439386353115,0,0.0144601693838935,0,-0.000499860460596873,-0.0147832480218587,0,0,0,0,0,4.33680868994202e-19,0.0531334314744704,0,0,0,0.00900044169230793
SPX.Index,0,0,0,0,-0.00367281147925757,0,0,0,0,0,0,0,0,0,0,0.0192759890275496,0,0,0,-0.07064001039963
VIX.Index,0,-0.481124604177356,0.271403760757514,0,0,-0.21828560981775,0,0.082030700062486,0.326435193779867,0.0487566016889636,0,-0.340222148097758,-0.135714166884633,0.240364771217263,0.123565166910259,0,0.163155040857729,0,-0.793142342374668,0
