,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XLM,XMR,ADA,LEO,TRX,DASH,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0384048976227916,0.00306413461870715,0.124301804038432,0,0,0,0,0,0.27548295821194,0,0,8.67361737988404e-19,0.265148799293198,0,0,0,0,0,0
ETH,0.157175306289649,0,0,0.165949772570001,0,0,0.315169467316642,0.00350916765427085,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
XRP,0.122532562567436,0,0,0.157182458086294,0,0,0.0599370864500135,0,0,0,0.182295221349724,0,0.0610122874939136,0,0,0,0,0,0,0
BCH,0,0.501105510766453,0,0,0.0439940592386013,0,0.104641677336053,0,0,0,0.0234878824947938,0,0.0243784771315203,0,0,0,0,0,0,0
LTC,0,0,0,0.130532782214566,0,0,0.328967780553645,0,0,0,0.178209671348248,0,0,0,0.025774848297065,0,0,0,0,0
BNB,0,0.0733852833820493,0,0,0,0,0,0.0296202637511384,0,0.0841451745634946,0,0,0.223552400588185,0,0,0,0,0,0,0
EOS,0,0,0,0.310192999823519,0.175596999887335,0,0,0.0164911797625389,0,0.0632121007372483,0.140687790848709,0,0.194983499898168,0,0,0,0,0,0,-0.039254687015399
BSV,0,0,0,0.208312870999347,0,0,0.110277609709266,0,0,0,0,0,0.395113715154568,0,0,0,0,0,0,0
XLM,0,0.00959819017999289,0,0.17058202919716,0,0,0.0201627436102247,0,0,0.0248873613333052,0.301717647664528,0,0.067690708480791,0,0,0,0,0,0,0
XMR,0.16000520400599,0,0,0,0.019139737660691,0,0.133038647104909,0,0,0,0,0,0.0506707626645498,0.242762911874202,0,0,0,0,0,0
ADA,0,0,0,0.121257444976628,0.0898339085401792,0,0.102887927944075,0,0.0492214265333421,0,0,0,0.382415445159583,0,0,0,0,0,0,0
LEO,0,0,0,0.128990166114338,0,0,3.46944695195361e-18,0,0,0.102555162506053,0,0,0,0,0.10939793939279,0,0,0,0,-0.0707219843828215
TRX,0,0,0,0,0.219400119748716,0,0,0.139899088508157,0,0.261520403676808,0.271000904992162,0,0,0,0.042283121103455,0,0,0,0,0
DASH,0.0861524769725935,0.0778871058111697,0,0,0,0,0,0,0,0.103244785462553,0,0,0.131146976145728,0,0,0,0,0,0,0
ETC,0,0,0,0.379012464815772,0.246317627190801,0,0.0371526070603426,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130226844300803
BV010082.Index,0,0,0,0,0,0,0,0,0,-0.111181520383534,0,0.122964196639579,0,0,0.114145038643099,0,-0.30590217467967,0,0,-0.137196668412165
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226490280669289
DXY.Curncy,0,0,0,0.000501913842918464,0,0,0,0,0,0,-0.00202859878844652,0.00389673153779353,-0.000887198226825649,0,0,0.0513296812136623,-0.00942681898835133,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0832237447575838
VIX.Index,0,0,0,0.173187656927618,0,0,-0.132905015469299,0,0,0,0,-0.00534476604681831,0.0559589712073057,0,0,0,0,0,-6.48106347771123,0
