,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XLM,LEO,ADA,XMR,TRX,HT,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0307499457005215,0,0.259011443804834,0,0,0,0,0,0,0,0.228683128322085,0,0,0,0,0,0,0,0
ETH,0,0,0,0.201124485846625,0.0628839431549034,0.287850011764103,0,0,0,0,0,0.0432252701200555,0.113432026933479,0,0,0,0,0,0,0
XRP,0,0,0,0.0698621249244477,0,0.16627598479686,0,0.0170242635481468,0.0963971313376825,0,0,0.0688703024054679,0.145525455629444,0,0,0,0,0,0,0
BCH,0,0.290116264953967,0,0,0.20398230004724,0.098163020931969,0.0139474916834997,0.0767503090227408,0,0,0,0.00411143329057168,0.102845130455775,0,0,0,0,0,0,0
LTC,0,0.0542869305298948,0,0.260266737132082,0,0,0,0,0.0759405400901711,0,0.243089922581659,0,0.0902736083606795,0,0,0,0,0,0,0
EOS,0,0,0,0.0674471527537274,0,0,0,0.233259852794547,0,0,0.171468666801421,0,0.252221773286891,0,0,0,0,0,0,-0.00670031619245516
BNB,0,0,0,0.195802849924699,0.0385031610981788,0,0,0,0,0,0.0176631693140833,0.0895136648252877,0.244651681907219,0,0,0,0,0,0,0
BSV,0,0,0,0.568973134827363,0,0.092366900120457,0,0,0,0,0.0305519052665953,0.055490078066709,0,0,0,0,0,0,0,0
XLM,0,0,0,0.181884298659925,0.169985061691074,0.103661322865391,0,0,0,0,0,0,0.0433658728087256,0,0,0,0,0,0,0
LEO,0,0.0914622781182491,0,0,0,0.0244326951597082,0,0,0,0,0,0.122611017625083,0,0,0,0.190060555460207,0,0,0,-0.0146783471123252
ADA,0,0,0,0,0.118191445356206,0.0790764963395762,0,0,0.0583202588031628,0,0,0,0.462465200256992,0,0.0368466323429215,0,0,0,0,0
XMR,0.334546383352574,0,0,0.0216537620977305,0,0,0,0.222053857125004,0.0727531166050022,0,0,0,0.0344853958742182,0,0,0,0,0,0,0
TRX,0,0.0802836064335439,0,0.067231818653117,0,0.232952744506769,0.0377812883974667,0.0796319455844118,0,0,0.429465632520882,0,0,0,0,0,0,0,0,0
HT,0,0,0,0.0924564506981386,0,0.140239079382963,0.28198629433808,0.0830616280101109,0,0,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.111215788592653,0,0.250679410704438,0,0.444720241321813,0,0,0,0,-0.23243699161713,0,0,0,0
BV010082.Index,0,0,0,0,0.100918306535264,0,-0.131174368673577,0,0.0930425142454264,0.00672214528848469,0,0,0,0,0,0,-0.00905969542820408,0,0,-0.170696985037557
CVIX.Index,0.037105772435432,0.233294684566714,0,0,0,0,-0.297937762828226,0,1.73472347597681e-18,0.0398794424335306,0,0,0,0,0.0758163344157549,0,0,0,0,0.0309887369271193
DXY.Curncy,0.00841075508670874,0,0,0,0,0,-0.0108403508691489,0,0,0,0,0,0,0,0,0,0.00241811494746798,0,0,-0.0109126711700209
SPX.Index,0,0,0,0,0,0,0,0.00503707922821188,0,0,0,0,0,0,0,0.00497740542248965,0,0,0,-0.0847559067898252
VIX.Index,0,0,0,0,0.142487642609973,0,3.46944695195361e-18,0,0.0160385684599479,0,0,0,0.0283529851669733,0,0,-0.541465166898615,0,0,-3.60586631720787,0
