,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,LEO,XTZ,LINK,XLM,ADA,TRX,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.130409433233809,0.0245785972203487,0.154044553868716,0.0174844679421608,0,0,8.67361737988404e-19,0,0,0,0,0.0307529463916091,0,0,0,0,0
ETH,0,0,0,0.0342053482052369,0.0474576644752098,0,0.0889224951910902,0,0,0.00839295205021465,0,0,0.0598145347841111,0.335957543893256,0,0,0,0,0,0
XRP,0,0,0,0.185440123762727,0,0,0.0106964177243829,0,0,0,0,0,0,0.292288535956172,0,0,0,0,0,0
BCH,0,0,0,0,0.276143367463778,0,0,0,0,0,0,0,0,0.20336723149174,0,0,0,0,0,0
BSV,0,0,0,0.673586072709373,0,0,0.303649059701849,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.173454142337556,0,0.274146775806275,0.0428778152091212,0,0.0682049994744174,0,0,0,0.0558571019831638,0,0.164707372160212,0,0,0,0,0,0,0
EOS,0,0.0616087155719321,0,0.265845147119931,0.106577714465584,0.0276686803058951,0,0,0,0,0,0,0,0.244072146164457,0,0,0,0,0,0
BNB,0,0.147886324400149,0,0.140204812865996,0,0,0,0,0,0.0361441482382391,0.0548919614584589,0,0.090617317347749,0.209596406150553,0,0,0,0,0,0
LEO,0,0,0,0,0,-0.207258626172252,0,0.166272788556378,0,0,0.0251357970108776,-0.105140532419857,0.133576920117515,-0.0184328483487432,0,-0.00970522108306387,0.0336224057714098,0,0,0
XTZ,0,0.157068745530367,0,0,0,0,0,0.364123456270657,0,0,0.310717727811031,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0.0503120114991129,0,0,0,0,0.275704923571262,0,0,0,0.380353892459441,0,0,0,0,0,0
XLM,0,0.132242991370456,0,0.148840599074167,0,0,0,0,0,0.130322270201206,0,0,0,0.0571830719763454,0.137711822594384,0,0,0,0,0
ADA,0,0,0,0.0320021853338372,0,0.0569411931390039,0.158666224395162,0,0,0.0391240262054118,0.0361211636512725,0,0,0.245550460173155,0.13429904801091,0,0,0,0,0
TRX,0,0.0518090919158478,0,0.247582794097852,0,0,0.244017089178638,0,0,0.0727349201973497,0,0,0.158943454944009,0,0,0,0,0,0,0
XMR,0,0,0,0.141964141726309,0,0,0.0477168745447253,0.0307460338272739,0,0.0559908974086829,0,0,0.136424248216666,0.162314784031151,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.0461891688065822,0,0,0,0,0,-0.143604491124106,0,0,-0.150820394982409
CVIX.Index,0,0,0,0,0.0229744312232745,0,0,0,0,-0.0289321817166974,0,0,0,-0.061028533222984,0,0,0,0,0,0.0904222245465588
DXY.Curncy,0,0,0,0,0.000205892761135606,0,0,0,0,-0.00453506386789417,0,0,0,0,0,0.0186923922013417,-0.0282521168773829,0,0,-0.00943764748846337
SPX.Index,0,0,0,0,0.000328793433912154,0,0,0,0,0,0,0,0.0133516349660344,0,0,0,0,0,0,-0.124882738174982
VIX.Index,0,0,0,0,0.00546051644599072,0,0,0,0,0,0,0,0,0,0.0604096089833458,-0.0162580405742319,-0.0116612520039733,0,-3.38680667080158,0
