,BTC,ETH,XRP,BCH,ADA,BSV,LTC,LINK,CRO,BNB,EOS,XTZ,XLM,OKB,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.201155137741631,0,0.0728074051277345,0.0316041453846385,0.0185479445727679,0,0,0.0161776246222863,0,0,0,0,0,0,0,0,0,0,-0.0571875252691127
ETH,0,0,0,0,0.0628070711760164,0.198464132677046,0.170955281638723,0,0,0,0,0.0722123138255819,0,0,0,0,0,0,0,-0.0221575780475951
XRP,0,0,0,0,0.0837282225449468,0.0705320500238738,0,0.0256950232907146,0.021938262427369,0,0.181144617128895,0,0.0425831253489379,0,0,0,0,0,0,-0.0220732423448439
BCH,0,0.238752820130301,0,0,0.0389671593752477,0.27236663416675,0,0,0.0181056314139676,0,0,0.0143130991063455,0,0,0,0,0,0,0,-0.0406471154769925
ADA,0,0,0,0.482798078521347,0,0,0.337474564251805,0.0784932325397552,8.67361737988404e-19,0.076866041874308,0,0.0911834367160595,0.0116082385523963,0,0,0,0,0,0,0
BSV,0,0,0,0.188807137672338,0,0,0,0.074592445671859,0,0,0,2.16840434497101e-19,0,0,0.106284851120278,0,0,0,0,-0.0440580940949616
LTC,0,0.205940046669941,0,0.120039768165545,0.0757577275543169,0.11812051765612,0,0,0,0,0,0.00345427225124095,0,0,0,0,0,0,0,-0.0183375435001172
LINK,0,0,0,0,0.202375272680279,0.179259928837416,0,0,0,0,0,0.359886051042259,0,0,0,0,0,0,0,-0.0625450102066732
CRO,0,0,0,0,0,0,0,0,0,0,0.297356801423101,0.145405474635384,0.0788486854498968,0,0,0,0,0,0,-0.027558674458206
BNB,0,0,0,0.216300453317251,0.164187067025987,0.0825250348513403,0,0,0.0717651685438032,0,0,0.0286815374529013,0,0,0.0735642972716034,0,0,0,0,0
EOS,0,0.134375115472511,0,0.188017715688669,0.0250819925992121,0.12094608910831,0,0,0.0205494444779681,0,0,0,0,0,0,0,0,0,0,-0.0485219568389825
XTZ,0,0,0,0,0.0609672996131791,0,0,0.333356912176429,0.16364327585682,0.131922973229152,0,0,0.1260315093639,0,0,0,0,0,0,0
XLM,0,0,0,0.0452027647354332,0.278498302167016,0,0,0.0496996610145886,0,0,0,0.192400927432644,0,0,0,0,0,0,0,-0.0766403016362221
OKB,0.17337624354855,0.166538167545953,0,0.114515833822077,0.0419532086306793,3.46944695195361e-18,0,0,0.0553104731122727,0,0,0.0218084380724619,0,0,0,0,0,0,0,0
XMR,0,0.204698809375569,0,0.0272650164027362,0,0,0,0,0,0.245081870449894,0,0.0346218724992654,0.0679616819326443,0,0,0,0,0,0,-0.0645299853163686
BV010082.Index,0,0,0,0,0.0406033986681733,0,0,0.00695870192914831,0.00675311216691817,0,0,0,-0.0436062899494647,0,0,0,-0.0365086367346024,0,0,-0.0168308306182038
CVIX.Index,-6.93889390390723e-18,0,0,-0.0319043113474554,0,0,0,0.0786829375959149,0,0,0,0,-0.0706899848821055,-0.0894739052708582,0,0,0,0,0,-0.0731687685550587
DXY.Curncy,-0.017982795005217,0,0,0,0,0,0,0,0,0,0,-0.0298718740513935,0,0,-0.0022311822271819,0,0,0,0,0.00680547044975586
SPX.Index,0,0,0,0,-0.00957644615862054,0.0226854698095061,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152637801721605
VIX.Index,0,0,0,0,0,0.16574656988157,0,-0.0582199580540362,0,0,0,-0.224877745392309,0,-0.285004605610911,0,0,-0.150775719485,0,-2.59935281029968,0
