,BTC,ETH,XRP,BCH,BNB,LINK,DOT,LTC,ADA,BSV,CRO,EOS,XMR,TRX,OKB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0567404770857808,0,0.212272336621023,0.0155219995379524,0.0253858000061467,0,0.078108960810789,0,0,0,0,0.00211623109317106,0,0,0,0,0,0,0
ETH,0,0,0,0.152148193936889,0.139719271098766,0.101248901217623,0.0148952873817633,0,0.126269969133971,0,0,0,0.176916982117565,0.0682716031880477,0,0,0,0,0,0
XRP,0,0.145617180837324,0,0,0,0,0.00711808766257779,0.173269045005276,0.18112696017004,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.0853132043450927,0,0.286003175527758,0,0.167853658589779,0,0.0975368548189133,0.00395855219139677,0,0,0,0,0,0,0
BNB,0,0.178318492646054,0,0,0,0.101351483646282,0,0.0616828410257797,0.0584599074587253,0,0,0,0.0638252274288085,0,0,0,0,0,0,3.46944695195361e-18
LINK,0,0.328465880576918,0,0,0,0,0.160239541087088,0,0.595280656174102,0,0,0,0,0,0,0,0,0,0,-0.155550558011166
DOT,0,0.0836656959912471,0,0,0.226946442231511,0.292905301969609,0,0,0.0161738886356174,0,0,-0.379330400575008,0,0.197053450821689,0.209175539221519,0,0,0,0,0
LTC,0,0.0702571454834667,0,0,0,0.0199159736859345,0,0,0.117264685967461,0.0246194368505012,0,0.308866934140374,0.115242937206542,0,0,0,0,0,0,-0.0895492737279116
ADA,0,0.222219577032187,0,0,0,0.132340959040392,0,0.10046029260937,0,0.0121207216663031,0,0,0.208291838073459,0,0,0,0,0,0,0
BSV,0,0,0,0.402455191800589,0,0.00715955701228084,0,0.0930228407369782,0.000650686167876354,0,0,0.0798864459703608,0.135025468177095,0,0,0,0,0,0,0
CRO,0,0,0,0.151836965564173,0.0867337634226903,0.000686704185914174,0,0.17648412519199,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.346266698417187,0,0.0490994838800406,0,0.329266172554904,0.0282935580786874,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0610027506611094,0.109251816415194,0.110082442307152,0,0.359679331261929,0.0176854370798176,0.0928538874164924,0,0,0,0,0,0,0,0,0,0
TRX,0,0.609196276492664,0,0,0.0804272626723643,0,0.105297420499574,0.102187554316488,0,0,0,0,0.283466716037874,0,0,0,0,0,0,0.379231875573562
OKB,0,0,0,0,0.142611806999707,0.00404597465828614,0.0168426888095049,0.133692695844774,0,0.024706011199661,0,0.0962532710726811,0.0854197951346532,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.00491889027620233,0,-0.0042020525444267,0,0,0.012390898014903,0,0,0,0,0.00830697589428299,0,0,0,0,0
CVIX.Index,0,0.0208164771254212,0,0.0853020036120924,0,0.0577888003682935,-0.0168654888433693,0,-0.157599954247746,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0.01690671545493,0.00317295320051818,-0.00431636101714498,0.0154843503100637,0,0,0,0,-0.0204190534343551,-0.00857004293992676,-0.0075641265490091,0,0,0,-0.0290151449301675,0.012862656179613
SPX.Index,0,0,0,0,0,0.0192306642747016,0,0,0,0,0,-0.0185797506363019,0,-0.00995757191341208,0,0,0,0,0,-0.132658374240916
VIX.Index,0,0,0,-0.151737679838613,0,-0.199265666862092,0,0,-0.146024527311306,0,-0.26734749765882,0,0,0.213124616104297,-0.0235850266002012,0,0,0,-0.284751607659245,0
