,BTC,ETH,XRP,LINK,BCH,LTC,DOT,XLM,ADA,BNB,BSV,EOS,WBTC,TRX,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0342679763972668,0,0.0067554322034263,0,0,0,0,0,0,0.567359289131288,0,0.0237943091830395,0,0,0,0,0
ETH,0,0,0,0.0994980794173029,0,0.0963004359207051,0.0554710145285574,0,0.306480188815765,0,0,0,0,0,0.0325735570182222,0,0,0,0,0
XRP,0,0,0,0,0.0784909808139269,0.0857764847132087,0.0598421783938924,0.28979064560575,0,0,0.0734349394270192,0,0,0,0,0,0,0,0,0
LINK,0,0,-0.0724460634992059,0,0.127927257350289,0.221357162644368,0.365218923616601,0.0853612545791137,0.130825119576621,0,0,0,0,0,0.124007359283626,0,0,0,0,-0.139506949842428
BCH,0,0,0.193623553491934,0.0987659533811061,0,0.014494874403252,0,0,0.0643083171484069,0,0.509862591943448,0,0,0,0,0,0,0,0,0
LTC,0,0.0223368822584249,0,0.0293108825893779,0,0,0.0498151108180429,0,0,0,0.346917455510966,0,0,0,0,0,0,0,0,0
DOT,0,0.158683144264147,0.184667741326465,0.294058473934333,0,0.0733108328996735,0,-0.105575427596057,0,0,0.136961913741299,0,0,0,0,0,0,0,0,-0.128064131302692
XLM,0,0,0.58956830897536,0.165930013546727,0,0,0,0,0,0,0,0,0,0.0330736473298331,0,0,0,0,0,0
ADA,0,0,0,0.282496472020691,0.109311105095853,0,0.0124016842821479,0.155254904479341,0,0,0,0,0,0,0.128288422581818,0,0,0,0,0
BNB,0,0,0.0530679210831899,0.0603088233613008,0,0.0714953904579696,0.0429633379919103,0,0.135471369656422,0,0,0,0,0,0.142221333217839,0,0,0,0,0
BSV,0,0,0.173662738336231,0.0459096793433445,0.367623112196394,0.0864588417901484,0,0,0,0,0,0.0822156796661035,0,0,0.0324009844645089,0,0,0,0,-0.00717369806042488
EOS,0,0,0.158557800750176,0.00196940350544309,0.10184150115304,0.0249700609321164,0,0.0564156491489116,0,0.0227981914022537,0.275328825924583,0,0,0,0,0,0,0,0,0
WBTC,0.661809935741806,0,0,2.16840434497101e-19,0,0.0157477731689805,0.0207209612227598,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.144218800942276,0.091090822227434,0,0,0,0.0420518020593986,0,0,0.277767874459554,0,0,0,0.0452770065634207,0,0,0,0,0
XMR,0,0,0,0.245620532421948,0,0,0,0,0.0555779791454957,0.237367629075152,0.113985783353989,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,1.0842021724855e-19,0.0162011858245695,-0.0219944539088036,0,-0.0230211840594913,-0.0050677007089588,0.00622691627640241,0,0,0.0131733235204062,0,0,0.00828468630788136,0,0.0107710176481952,0,0,-0.0140033285193798
CVIX.Index,0,0,0,0,-0.0171617594617442,-0.0399547895086642,0,-0.0169357890624161,0,0,0,0,-0.0798015421485727,0,0,0,0,0,0,0.0294852652561464
DXY.Curncy,-0.0418038819639153,0,0.00376410985545543,0,0,0,0,-0.00280307895844256,0,0.0184964010979848,0,0,0,0,0,0,0,0,0,0.02463735434422
SPX.Index,0,-0.0433828496818,0.00907237507065296,0,0,0,0,0,0.014552425472257,0.0382704023595384,0,-0.0223729880835902,0,0,0.0265182368463772,0,0,0,0,-0.16282523846016
VIX.Index,0,-0.00263139422685222,0,-0.279122496950006,0.142688990730996,0,0,-0.0141194016839464,0,0,0,0,0,0,0,0,0,0,-1.87421277560793,0
