,BTC,ETH,LTC,XRP,DOT,BCH,ADA,BNB,LINK,WBTC,BSV,XLM,EOS,CEL,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0508195904882652,0,0,0,0,0,0,0.64682098780919,0,0.00514063096234619,0,0,0,0,0,0,0,0
ETH,0,0,0.198890195267783,0.0441742439388731,0.00756723946253812,0,0.148198589556781,0,0,0,0,0,0,0.021586971313269,0,0,0,0,0,0
LTC,0,0.431825441878513,0,0.0464341831000039,0,0.140537418240243,-1.73472347597681e-18,0,0,0.466919804877745,0,0,0,0,6.93889390390723e-18,0,0,0,0,0
XRP,0,0,0,0,-0.113620671412899,-0.431916646060056,0,0,0,0,0,0.1943029294121,1.66374926657377,0,-0.0810144231455647,0,0,0,0,0.0466527222925065
DOT,0,0.114676390121034,0.210561843623522,0.00268326525923689,0,0.0238097223019144,0.137792438260486,0,0.0765371189433789,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0.151263244713088,0.117201443757261,0,0,0.094001049002427,0,0,0,0.311623701744903,0,0.087604779323054,0,0,0,0,0,0,0
ADA,0,0.144015282350131,0.216193105335574,0,0.105158643143005,0,0,0,0,0,0,0.25469215212967,0,0,0.0612968617578299,0,0,0,0,0
BNB,0,0,0.110643604854279,0.0122701523240069,0,0.0446584148610466,0.0868779763907452,0,0,0,0,0.0874996931673792,0,0,0,0,0,0,0,0
LINK,0,0,0.255533615107954,0.00264119100274628,0.13267009132553,0,0,0,0,0,0,0.0804408901967267,0.243262529762239,0,0,0,0,0,0,0
WBTC,0.0463809580502702,0,0.166703552256817,0,0,0,0,0,0,0,0,0,0,0.00485685844435455,0,0,0,0,0,0
BSV,0,0,0.0592449136274017,0.0464475734558931,0,0.368772307933524,0,0,0,0,0,0,0.0444821968127062,0,0,0,0,0,0,0
XLM,0,0,0.0151209447030864,0.446249624052296,0,0,0.10662160666027,0,0.16734126647418,0,0,0,0,0.0653883943356924,0,0,0,0,0,0
EOS,0,0,0.0468132798920705,0.223825088687492,0.0120641492758261,0.280040585565503,-1.73472347597681e-18,0,0.0548453483059658,0,0,0,0,0,0,0,0,0,0,0
CEL,0,0.591554661842955,0.0156286841654483,-0.104294606362628,0,0,0,0,0.120849790079064,0,0,0,0,0,0,0,0,0,0,0
XMR,0.448631149471603,-0.194161756025424,0,0,0.02353586041965,0,0.229784134452405,0,0,0,0.211208188064088,0.0279766986758435,0,-0.0131543878692392,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.00816274501915303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,-0.0482523337823351,0.0478354838480438,0.0230663194146074,0,0,0,0,0,0,-0.135661451096736,0,0,0,0,0,0.186946454387199
DXY.Curncy,-0.026632167794257,0,0,0,-0.00254303739797158,0.0101645179712726,0,0,0.00623071401139004,0,0,-0.00281856375755349,0,0,0,0,0,0,0,0.010099929776006
SPX.Index,0,0,0,0.00141036745759353,0,0,0,0,0,0,0,0,0,0,0,0,0.0087977497070882,0,0,-0.0616887506728979
VIX.Index,0,0,-0.0552557766333016,0.0085600139587253,0,0.183723039463685,0.107279378091254,0,0,0,-0.177221712210655,-0.099352692174322,0,-0.0729719662144745,0,0,0.382411385875293,0,-0.202045555801868,0
