,BTC,ETH,BNB,ADA,DOT,XRP,LTC,LINK,BCH,XLM,UNI,DOGE,WBTC,OKB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0.00103079953247184,0.920324559973317,0,0,0,0,0,0,0
ETH,0,0,0.0218786269105938,0,0.0590470711148497,0,0.26281090596328,0.080461519503491,0.144884061099678,0.0216661037873633,0.0599923370026934,0.0103767225331219,0,0,0,0,0,0,0,-0.0037922791478745
BNB,0,0.0820413352992087,0,0,0,0,0,0.0147278485766826,0.0860873328936184,0,0.0185721774094313,0.0135520086942571,0,0.360367881947569,0,0,0,0,0,0
ADA,0,0.115506449295225,0.00196132453707273,0,0.0397954541760244,0,0,0,0,0.26578568132346,0.0562437025063053,0.0468660665305034,0,0,0.0433669529144105,0,0,0,0,0
DOT,0,0,0,0.122983090245958,0,0,0,0,0.138412801868639,0,0.0395689940575015,0,0,0,0.0244036215185247,0,0,0,0,-0.074178408312327
XRP,0,0,0.0365679535786994,0,0,0,0,0.0827659531298386,0,0.180749222426093,0,0,0,0.103119356919572,0.150912461796185,0,0,0,0,0
LTC,0,0.0477568568772574,0.0882782723527643,0.0935128384490178,0.023278202272737,0,0,0,0.205094549246361,0,0,0,0.131688374088595,0,0,0,0,0,0,0
LINK,0,0,0,0,0.0370299299404309,0,0,0,0.447754888998877,0.250004202960712,0.035872174406652,0.0196739538556942,0,0.00844298062281049,0.0704203979751788,0,0,0,0,0
BCH,0,0.265707141348668,-8.67361737988404e-19,0,0,0,0.471236443908927,0.0294612647920519,0,0,0,0.0148726409743155,0,0.0462795200386157,0,0,0,0,0,0
XLM,0,0.101147051058415,0.0306861777014089,0.183229138237717,0,0,0,0.2133379867378,0,0,0,0.00964038667693898,0,8.67361737988404e-19,0.183619343825482,0,0,0,0,0
UNI,0,0.383294725290681,0,0,0.177698770052088,0,0,0.280253608224321,0,-0.0550333287938537,0,-0.0361509171072025,0,0,0,0,0,0,0,0.081742348572769
DOGE,0,0,-0.107237633703276,0,0.191190086971891,0,0,0.245959679231656,0,0,0,0,0,0,0,0,0,0,0,-0.0100633618171509
WBTC,0.938526081917504,0,0,0.00413168876018519,0.00398627955801286,0,0.00653404871754181,0,0.0240953850822727,0,0,0.00187649315224397,0,0,0,0,0,0,0,0
OKB,0,0,0.601027626036281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282816002864291
XEM,0,0,0,0.0326046032681902,0.0507719264191962,0,0.103759203925774,1.73472347597681e-18,0,0.109105547283151,0.0810178782243136,0,0,0.150150824218347,0,0,0,0,0,0
BV010082.Index,0,0,-0.0156568577283381,0,0.000954379704069589,-0.00713557555998978,0,0,0.00962336657448118,0,-0.00565688624077005,-0.00304604308479835,0.0153854005723074,0.00810343144604348,0,0,0,0,0,0
CVIX.Index,0,0,-0.00417710019567542,0,-0.0207972537474048,-0.0566796444522884,0,0,0.0162354532221427,0,0.0133480558058046,0,0,0.0273771119130284,-0.0228946507361258,0,0,0,0,5.42101086242752e-20
DXY.Curncy,0,0,-0.0102917036713822,0,0,0.00267264832570656,0,0.0119590423831896,0,0,0,-0.00069590151829591,0.00826267585143226,0.00473748164628569,-0.00498752554750199,0,0,0,0,0.00657477089903016
SPX.Index,0,0,0,0,0,-0.0022467014986012,0,0,0.00258772070459101,0,0,-0.00300269657913414,0,0,0,0,0,0,0,-0.0704862713596566
VIX.Index,0,0,0,0,0,0,0,0,0,-0.0944185078670594,0,-0.0870177966617206,0,0,0,0,0,0,0,0
