,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0391908625968972,0.0780864914851273,0.40547180144806,0.0341782280026393,0.301097459403389,0.160598393167143,0.0204582870543247,0,0,0,0.97881386408731,0.0210387339696594
XRP,-0.354976664299992,0,0,-0.0061302717073062,0.0842184559160097,0.25575941029898,0.355489618109392,0.0703570910193148,0,0,0,0,-0.0323155608866666
LTC,-0.458635721118245,0,0,0.796506892477143,0,0.0567620868033978,0.225918053808701,0.105690641133261,0,0,0,0,-0.129456346952037
DOGE,0,0.379327587944078,0.0185971341999497,0,0,0.299915748598183,0.185309556393944,0,0,0.0959819162297788,0,0,0
XLM,0,0.977503559222748,0,0,0,0.216976633706881,0,0.0432237718510826,0,-0.2375018630642,0,0,0
DASH,0.725841657335424,0.351272784054074,0.189519763598736,-0.104378015708881,0.146124933108216,0,-0.095047793294873,0,0,0.016382980685528,0,0,0.0945213972695041
XMR,0.989636618392416,0.389847319737239,0.0745758485205979,0.22001942066002,-0.411697192875346,0,0,0,0,0.262171582545594,0,0,-0.257827695396041
DGB,1.91959860710388,0,0.797391509169933,0.780120537522162,0,-1.84960165573276,-0.73975729115736,0,0,0,0,0,0.432553959843038
BV010082.Index,0.00551456296057229,-0.0885445579397678,0.0139055351640912,-0.0669309871790294,0.0179634694715453,0.0554170045022071,1.73472347597681e-18,0.00251656502033095,0,-0.028829710180452,-0.535948484280915,0.574485741677344,-0.0258769067883349
CVIX.Index,0,0,0,-0.569514596442737,0.17075820722383,-0.204005918973796,0.690482410143413,0.122875686889771,0,0,0,0,0.0425167553350844
DXY.Curncy,0.0404705266790306,-0.0464285782133961,0.00953355372898967,0,0,0,0,0.0101818385640794,0,0.0217528777086872,0,0,0.015973199494214
SPX.Index,0.0443144697360316,0,0.00112336581243955,0.0232573491150808,-0.0326629657265089,-0.039947396132101,0,-0.00148527429868215,0,-0.0330519250373715,0,0,-0.0853467120856749
VIX.Index,0.280628232108499,0,1.73472347597681e-18,0.056737452959102,-0.317857609252682,0,-0.234071958574145,0.0531611164442966,0,-0.0990913087048392,0,-7.34470747082058,0
