,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.113295795997992,0.0935275588164203,0.91357477814968,0,0.0424989686161056,-0.186256688472531,0.224251880302688,-0.0393982276488221,-0.01859306138538,0,-0.263669368338292,0,-0.479064320737135,0.147186959979362
XRP,1.13724735078653,0,-0.0947196393215108,-0.877627324644548,0.138255925374469,-0.118085103953062,0.00652243284030161,-0.173694035975354,0.0419094402264503,0.0755140480434605,0,0,0,0,-0.202844225211982
ETH,0.632505436241726,0,0,0.446096216057836,-0.00891525891621225,-0.263508090806278,-0.466117007052075,0,-0.148732342371722,-0.0636460904170639,0,0,0,0,0
LTC,0.788641768416782,0,0.0495181399615094,0,0.0187342199313745,-0.0531700574512273,0.10730375310822,-0.106065531780057,0.0434047457190353,0.0102260863886594,0,0,0,0,0
DOGE,0,0.641897298432778,0.359860371643647,0,0,0,1.24455805653452,0.209722020827909,-0.123951875073464,-0.211381817135143,0,0,0,0,0.232140480107675
DASH,0.823842922922667,0,-0.670643246079994,0,0.114260048933549,0,-0.570301045058348,-0.403033177929445,-0.163385003150046,0.08759199803807,0,0,0,0,-0.60303289774441
XLM,-0.891834472331102,0.46669864485025,0,0.939009583773968,0.237943913833764,-0.00753532888804004,0,0.220241386084553,0.0288324391762016,-0.0612450715336113,-0.448016381417222,0.523409205745428,0,0,-0.0401676049269312
XMR,3.33668270226228,-1.41207674351396,-0.332764789871831,-2.69633052803916,0.281311114505309,-0.165653253157852,0,0,0.279864665024145,-0.0251272405544398,0,1.43002990989927,0,1.82498146369241,-0.374272965885834
XEM,-3.25204946335864,0,0.319781711811071,4.9407137685965,-0.454775015956417,0.296822931192589,0,0.0916497529183948,0,0.128040996652092,2.40914308474788,0,0,0,0
DGB,0,1.46641191032971,-0.368631541563937,-2.09205510927176,0.167512593871724,0.481885614850608,0,1.21462517210929,0.215691863715417,0,0,0,0,0,0
BV010082.Index,0.13191147768342,-0.0597970623197501,-0.00336453652643817,0,-8.67361737988404e-19,-0.0800089019853509,0.0275036104288728,-0.0519627357573956,0.0015023508535438,0.0269353597079853,0,-0.266271100731899,0,0,-0.0278959150893475
CVIX.Index,-0.109963460673229,0.128169699883922,0.108333124255483,0,-0.0654363205753538,0.0452844290612703,0.11620131519216,0.154725326121169,-0.0628137479089489,-0.0220549468913013,-0.158724928249935,0,0,0,0.267870228194431
DXY.Curncy,0.0206172595024578,-0.0274888098311161,0.00924996104848033,-0.0291099938954124,-0.000266854905686734,0.00414624611316886,0.0177704099262442,0.00504716388072008,0,0,0,-0.0200440750903272,0,0,-0.0173327334209493
SPX.Index,0,0.0738600334234874,0,0,-0.00131516111167693,-0.0344910826057867,0,0,-0.0143972626354783,0,0,0,0,0,-0.0811962317497203
VIX.Index,0.0786838379900599,-0.181591404015717,-0.103838557651551,0,0,0.309829301243111,0.308211530954666,0,-0.111541120538013,0.153575483685723,2.14442226743834,1.90882077458401,0,-3.57506438677394,0
