,BTC,ETH,XRP,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.136427702121199,0.245484627011416,0.328567660229083,0.0611550982690989,0.14438034709658,0.27779656511012,0.386275477995945,-0.066149416730437,-0.174347877465944,-0.359699067811805,-0.230140581938845,-1.74375381617734,-0.686410264273049,0.0155022515544081
ETH,2.04136130060383,0,-0.270636381996945,-0.315063797430833,-0.0732236663694397,0,-0.568852349901181,-2.03888947394816,0,0.194673366582122,-1.99762610658961,-0.414013334520727,0,0.975807384116859,-0.2706328349853
XRP,0,0.00513618251657585,0,0.157973016610964,0.0837088986329515,-1.38777878078145e-17,-0.113034905070288,0,-0.0671531612798276,0.156043014184642,-0.64021686702281,1.73472347597681e-18,0,0,-0.0596126439857928
LTC,1.02138810524315,-0.0472131803272647,0,0,-0.0118222573776335,0,0.432405957152915,-0.112797158088054,0,0,0,-0.399874768777482,0,-2.81334563305394,-0.236162780399885
XEM,4.4959812692095,-2.77555756156289e-17,0.509081483110905,-1.93015059568469,0,-1.8922415146445,0,0,0.985967113235045,0.271398642042399,0.892137610264167,0,0,0,0.0299013216071132
DASH,0.215304605518207,0.0815841856107313,0,-0.0969307218538751,-0.0479137018902479,0,0.0432629748617018,0.163687574285866,0.202466170668241,0,-0.873428757459963,0.0952293417613037,0,0,-0.179893259100715
DOGE,0.625320597264887,-0.122219786662179,0,0.218838372975257,-0.0360144984451055,0.210189657510202,0,-0.0281992397190878,0.0506894435873145,0,0,0,0,0,0.0987305483121906
XMR,1.49583101290934,-0.330301534485298,-0.261396276036488,-0.321251394542216,-0.0583584996212045,-8.67361737988404e-19,-0.395934823822961,0,-0.0480692123158451,0.119876660853376,-0.650453841844228,0,0,0,-0.137872388379276
XLM,0.315026647138416,0.0758100074774634,0,0.250017305042926,0.0962496937109275,0,0,0,0,-0.131554156718774,1.78847817174803,-0.227918891228665,0,0,0.355141933402586
DGB,-1.41227415217979,0.446301380652555,0.434812156876188,1.13308635469499,0.0727076800312226,0,0,0.174671848409852,0.0390023501599495,0,1.64324071316763,0.612724416108167,0,0,0.294354697388452
BV010082.Index,0,0.0524390694837609,0,-0.0204397237667228,0.0263785824129954,-0.30031306276344,-0.0858897724213792,0.0665200227715039,0.043507049795931,-0.0631381147093397,0,-0.035364978915676,-1.96091468519469,-0.608341563841782,-0.118483796971937
CVIX.Index,0,-0.0786073612595735,0,-0.278638771498963,0.0404092917802945,0.401484425991272,0,0.114485263884998,0,0,0,0,0,0,0.151937780496714
DXY.Curncy,-0.0380586723430406,0.00099710871827273,0.0532226810764522,-0.00473518784584256,0.00287923332278228,0.0374713500758298,-0.00207010164536124,0,0,0,0,0.0240339461747484,0,0,-1.0842021724855e-19
SPX.Index,0.0180142359065673,0.00588110796879272,0.0980181593361641,-0.0329291482161148,0,0.0448971461655178,-0.0277736017525328,0.00318005108839637,0.00978793768547445,-0.0497681773557737,-0.235748899758951,-0.101466165358915,-1.22482635251482,0,-0.0596802122315722
VIX.Index,2.77555756156289e-17,0.229028992696347,-0.493916575195797,-0.197183028445559,-0.153590605762457,-0.119211310629128,-0.755625287159685,0.804040241445975,0.590496235956397,-0.66182695697781,-2.22905489667125,-0.443001684648378,0,-8.30478818420687,0
