,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0950604563918992,0.102445180079735,0.823871106974866,0.00602576633537716,-0.0346490068843993,0.072052562174049,0.106797890421557,-0.0841507464391596,-0.152964873956309,0,-0.107358083847995,-0.181187717658957,0,-0.356242040905799,0
ETH,-0.436865102172717,0,-0.190741795783426,0,0,0.167528486711585,0.512310129382471,0.224367259375008,0.286279059063495,0.606767827977662,-0.0978026645386706,0,-0.182084700909008,1.72261903140054,0,0.147461153234562
XRP,0,-0.42637571868453,0,0,0,-0.0474142649809381,0.0808914828274687,-0.122795740646858,0,0.629439052805669,0,0,0,0,0,0.0587997034267033
LTC,0.714181718818657,0,-0.0489064982133419,0,0.00647777083984679,0.0618090851236747,-0.0519126585321041,-0.0388697224102785,-0.00140326185981135,0.073232036237807,0,0,0.196453501876429,0,0,-0.0118539081708308
XMR,0,0.44741564114395,0,0,0,0.0297900714717998,0,0,0,0,0,0,0,0,0,0
ETC,0,0.19640353982296,0.554683934936783,1.57468585060639,-0.0947226724814756,0,0.302351107198245,0.289448196051839,0.798385394423095,-0.783583873685096,-0.413724942536274,0.656660676428395,0,0,0,0.107003103453589
DASH,4.87805112139872,0,-0.499485481878353,-4.97426262441754,0.0908748188678016,0.25595706928372,0,-0.765153038086043,0,0.768978482619594,0.279147241111049,0.551505601833674,0.946303032746962,0,10.4858842383293,0.631486983492518
XEM,0.353082697107229,-0.149576052702004,0.0802849349412544,0,0.00285641858089965,0,0.109777800668009,0,0,0,0,0,-0.0323099649526321,0,0,-0.0890692132320195
DOGE,-1.37715479940891,0.559919191439552,0,0,0.0603676641107022,0,-0.108255016939087,0.295221453455289,0,0,0,-0.956523302949439,0,0,0,0.0136197062674874
XLM,0.162794326244538,0,0.573150126030099,0.66683154198921,-0.0815773052257359,-0.0332864290988347,0,0.570179630073426,-0.223174210202236,0,-0.18370369639568,0,0,0,0,0.102311072190567
DGB,-3.13590907340302,0.410259167705448,1.06150454122517,4.48654707621824,-0.142813088103577,-0.430757731432274,0.669299921555014,0.970608531583854,-0.364287199281063,-1.51816769464891,0,0,0.464439377843868,0,-21.9677154640705,-1.66511548844967
BV010082.Index,0,0,-0.0265660081528257,-0.295052352217318,0.0238870459337081,0.0796407130908191,-0.152335446676995,0,-0.363196256679484,-0.0249646013061305,0,0,0,1.23683560789496,0,0.0240765563952874
CVIX.Index,-0.408131035711566,0,0.0532321141970512,0,0.00199293696230467,0.0405319182825747,0,0.0866374212997022,-0.0692711052662622,0,0.158454972980969,-0.38245202271786,0,0,0,0.143975971978161
DXY.Curncy,0.127897914796331,0.0623951381834919,0.0131202118207926,0.00451785963670552,0.00323418992582341,-0.0261101083514963,0,-0.0945876901316008,0.0783422942008549,0,0.00992917281499713,0.323954655450832,0.0630061395518499,0,0,-0.0181777969246485
SPX.Index,-0.230533863706652,0.00626674347237673,0.0113792361650825,0.207447738943408,0,-0.0108248680580032,0.0264766397797408,0.0347266517687503,-0.0260277877201608,-0.0094797815005903,-0.0110699041782708,-0.0379277486473274,-0.0315435546060746,-0.112318877266865,0,-0.0677651671963381
VIX.Index,-1.28629685902944,0.482144873236741,0.13591576324765,0,0,0,0.0385717959111624,0.541958293196947,-0.320515562795701,-0.199965321624131,-0.144153938657222,-0.721132205284973,-0.0382405536623716,0,-10.9515586781219,0
