,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0962076131789653,0.182369893699828,-0.111971943335923,0,0.16873540995071,0.0303304352605707,0,-0.0182375323317348,0,0.0209577719146522,0,0,0,0,0,-0.287175115069872
XRP,0,0,-0.0194870553229631,-0.156990125105517,0.350967654814546,1.081923622747,0,0,0,0,-0.0296379317225244,0.296459304080155,0,0,0.293196610248045,0,0,0
ETH,0,0,0,0,0,0,0,-0.00811301650688257,0,0,0,0,0.0267854150810403,0,0,0,0,0
LTC,0.550011456186156,-0.0988981696798167,0,0,0,0,0.127111171531085,0.107373917812218,0,0,0.199299473514163,0.0111225077348823,0,0,0,0,0,0
XEM,0,0.425127286144351,0.170620873265231,0.250576343305907,0,-0.588278707292805,0.665266815700614,0.127175186334302,0,0,0,-0.091918251928565,-0.0687309688383136,0,-1.12586030534512,0,0,0
DASH,0,0.0906622487482768,0,0.170176108628154,0,0,0.0112196982568062,0.0436127501721783,0.305427607315145,0.12259363374545,-0.0102235990339891,-0.0144068918413399,0,0,0,0,0,0
ETC,0.174988097677453,-0.119329523574693,0,-0.0289972872682961,0.0427042353171907,0,0,-0.0342104088104896,0,0,-0.000949094742875685,0,0.3902603570286,0.462061272753536,-0.382021011882836,0,0,0.471773621874147
XLM,-1.69574870014439,0.262260588202022,-1.25727068951488,-0.702947334166313,0.624557068343784,1.46665374984738,0,0,2.62747782321873,-1.57749282252662,0.256216630424461,0.199226639198538,0.180667458376893,0,0,0,0,-1.15663767197455
XMR,0,-0.0329873819166352,0,0,-0.0339388703933376,0,0,0.0852887910902214,0,0,0,-0.025844632265908,0.147834406561147,0,0,0,0,0
ZEC,0,0.0101038812573169,0,-0.0906890620804724,0,0.656531560030953,0,-0.0664762860108735,-0.268924370254684,0,0.292415164602324,0.0288869531436661,0.0677581411613629,0.601392566425889,-0.168793595410629,0,0,0
DOGE,0,-0.182711396806954,0.405502842373347,0.177306781389534,-0.00257919802315784,0,0.192576603440332,0.244656353592632,0.627265830024536,0.806517400747532,0,0.0955757240188143,-0.122291328425376,-2.69852791059114,-0.312097310155312,0,0,0.742636763287335
DGB,0,0.267366288527554,-0.239064006523604,-0.324839096032601,-0.203939760640096,-0.476984811448773,0,0,-1.03594153173194,0,0.812649448167432,0,0.221009604972841,0,0,0,0,0
NEO,-0.798408017826677,0,0.412746097745518,0.192167743031382,-0.0158800582906316,0,-0.0259043167687669,-0.059798203191375,0.23856932571847,0.821986240001974,0,0.069418387677861,0,0,0,0,0,0
BV010082.Index,0,0.0270697692957713,-0.0717668654933109,0.0465992709797751,0,-0.147397791281372,0.154113877056431,0.0334837577761064,0,0.173139407979996,-0.0197147361935305,0.0110015303417424,0,0,-0.0516683147042707,0,0,0
CVIX.Index,0,0.142392180629562,0,0.0842719874828518,-0.579939543473718,0,-0.0260594007638336,0.0388030059366693,0.266166060779846,0,0,2.16840434497101e-19,0,0,0,0,0,0
DXY.Curncy,0,0.00454156425345537,0.016138594216181,-0.000450550686827063,-0.00770072545813508,-0.0169248722364786,0.00241730063642982,-0.00242326463187249,0,0.0161456916710996,0.00108468889173241,-0.00477306789696971,-0.00658252740009176,0.0907800924698238,0.0187410370084427,0,0,0.0186481310156527
SPX.Index,0.00873404450751567,-0.00506416576203838,0.00599687307318975,-0.00164268606698474,4.33680868994202e-19,0,0.00285443954580843,0.00196046845712812,0.00644063922162112,0,0.00330487846453512,0.00614886660198542,-0.00986076270164329,0.0606143946049026,-0.0215883233162117,0,0,0
VIX.Index,0.151840323599551,0.0458424779730146,-0.00716023446114436,-0.113623670572919,0,0.335892326695796,0.209744732145238,0.0663540184532868,-0.467510046863846,-0.240957316357673,0.0665807597275687,0,0.0313042267696512,0,0.0429680753653879,0,0,0
