,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DGB,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0263214134258249,0,-0.201567477468087,0.207810982313655,0.217470774128905,0.048266890286676,0.0042191058388457,0.0169051792653436,0,0.0710059310140265,0.0323148562588121,0,0,-0.298533461888924,0,0,0
ETH,0,0,-0.0854203000080152,0,0.0957724207478084,0,0.221845721369955,0,0,0,0.118977962192594,0.0719372269370226,0,0,0,0,0,0,0.0690868996185502
XRP,0,0,0,-0.0458195522769245,-0.229214605444488,0,0.577612325644897,-0.159694777332647,0.704275046532886,-0.154684841763957,0,0,0.107315636837474,-0.0838261657852215,0,0,0,0,-0.592505508731491
XEM,0.456769579628203,0,0.288008433170985,0,-0.105091675039358,0.079635130128256,0,0,0,-0.110835532375227,0.0416186074086228,0.422720144169705,0,0.0595676139505032,0,0,0,0,0
ETC,-0.771718887633705,0.476390272480844,-0.39259685429316,0,0,0.269826339093263,3.46944695195361e-18,0,0.412383930056469,-0.00835572465410825,0.254932155226238,0,0,0.0693707489025774,0,0,0,0,0.0401769158959224
LTC,0,0,0.349338715138915,0.310236276210575,0,0,0,0.781726398248596,-0.706524894723918,0.0608323145032966,-0.356178799807426,0.22583803661267,0.137594929971535,0.390027597617606,0,0,0,0,0.59349773787657
DASH,0.926708672211662,0.352248565781152,0.92127660373669,0.299074713128277,0.368547967400128,-0.547196149476576,0,0.648057719765845,-1.18215205798694,0.107294310608626,-0.211979936771668,0.10030833781588,0,0.0811696630512687,0,-0.931228770909572,0,0,0.412073975692014
XMR,0,0.322115452388727,-0.49840725619736,0,-0.338835081867801,0.921400983413522,0.550446088521125,0,0.567970632638831,-0.0573934322472218,0.125646983217179,-0.102270369688531,0,-0.230604819174093,0,0,0,0,-0.468304388657746
XLM,0.266102679748751,0,0.808728683303329,0,0.29421177503919,-0.245073058752484,-0.289970119230244,0.41002651376253,0,0,-0.265406376279891,0.316364820199067,0.0544099903733711,-0.0194689232099969,0,0,0,0,0.162057484997861
DGB,0,0.616276029364928,1.06362283087669,0,0.354740555244477,0,0.211305534714051,-0.106836421393143,0.0615515255153999,0,-0.39212254463862,0.454287480970262,-0.0539725202513387,-0.529192849635875,0,8.95283284390292,0,0,-3.00233769028882
ZEC,0,0.217877274862021,0,0,0,0.386536950665252,0,0.163563879859594,0.0174271932010702,-0.0441678524637756,0,0.0359940178892398,0.0556632915034863,0,0,0,0,0,0
DOGE,0,0,0,0.34331051876345,0,0,0,0,0,0.261950193296258,0.145880725093033,0,0.0350842560589939,0.170006972410226,0,0,0,0,0
BAT,0,0.186783718369001,0.574320582181396,0,0.20961197672267,0,0,0,-0.346531110425533,-0.140070044679073,-0.0978329446110497,0.156431961711744,0,-0.103934591228601,0,0,0,0,-0.551939438809319
NEO,0,-0.503722863283452,-0.643395214179517,0.69702862885473,0.548017067109359,1.02158060690838,0.885774998326505,-1.24917808017156,1.21787547349784,-0.330561645412014,0.30394244614201,-0.303390835814799,4.33680868994202e-19,0,4.35793165466574,0,0,0,-1.62984655307162
BV010082.Index,0,-0.000215594284203983,0,0.00424222681981888,0.00367370060128616,0,0,-5.42101086242752e-20,-0.00153727643748657,0,-0.00314404460376991,0,0.00135039164280741,0.0220426448735055,0,0,0,0,-0.0402177994428255
CVIX.Index,0,-0.0423241506577136,-0.021144721232701,0,0.0694164151149626,0.0831330510611563,-0.110700965625103,0,0,0.0139739254411154,0.0622119845299733,-0.0160920329847772,0.00145803883357194,-0.0147274323009414,0,0,0,0,0.288375244888448
DXY.Curncy,0.0180886260974927,0.0156927338197467,0,0.00660313696903065,0.00865849868675087,-0.000189141590470223,-0.00444950366255992,-0.000226825668414596,-0.00484389585607297,-0.00950327219725754,-0.0077535992873223,0,-0.000774182512501303,-0.00303374718077192,0,0,0,0,0
SPX.Index,0.011093816889824,-0.00770979181075463,0,0.000405525975751053,0.00362697440777042,0,0,0,-0.00847751045214725,0.00749620170749224,0,1.05879118406788e-22,0.00170361020825784,0.000211439646148965,0,0,0,0,-0.0142187124472368
VIX.Index,-0.218885668501227,0,0,-0.0921578902359104,-0.136638117464013,0.182324087367843,0.065982731238749,-0.189120296474391,0.350178841878641,-0.0651834645267311,0.140225480994673,0,-0.0102723067278798,0,-3.18397053387987,1.31022178063598,18.2958548181574,0,0
