,BTC,ETH,XRP,BCH,MIOTA,NEO,LTC,XEM,DASH,ETC,XMR,EOS,ZEC,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.416161553627806,0,0.0450263108009595,0.269162293311597,-0.078410675924142,0.638630880243173,0,0.72441489457939,0,-0.293092372330442,0,-0.244136424822,0,-0.308951985620251,0,0.30903696148801,0,0,0.0256500628083376
ETH,0,0,0.750094442963945,0.0223306886719383,0,0,0,-0.0527560986042751,0.452517047487965,0,0,0,0.139768147617149,0.0651562983007303,0,0,0,0,0,0.0446409103104089
XRP,0,0.522161794670308,0,0,0.133242189982604,-0.00886282180200466,0.0358235099208649,2.71050543121376e-20,0,0,0,0.03077523813757,0,0.058883935896534,0.082683784102588,0,0,0,0,-0.0532101588767362
BCH,0.861450578424103,0,0.598398938592104,0,0,-0.266258952196279,-2.04390132629436,0.590090592840285,0.687363744661166,0,-0.244730885577145,0.390118944583426,2.15298163262433,-0.0779595121194598,-2.0637512211386,0,0,0,0,0
MIOTA,-0.264028546434787,0,0,0.0212050084660688,0,-0.0477127374580942,0,-0.00436948578416511,0,0,0.463726024777125,0.259345976236897,0,0.344882022537817,0,0,0,0,0,0.268109936654229
NEO,0.0172888867785092,0.097436633021767,0,-0.0981904921538365,0.51596097623643,0,0,0.517262309304905,0,0.206155549675426,-0.913475364258275,0.576042487959842,-1.73472347597681e-18,0.796975520179905,-0.615052565873148,0,1.55633609313573,0,0,-0.657698009626874
LTC,0.216837069982988,0.0915311811471767,0,-0.0614253048055975,0.0383838070327612,0.0290378334487349,0,0.0342488977205937,0,0.401953112811071,-0.0104792121128062,0.0346480736903226,0.290004395568736,-0.101169348676486,0,0,0,0,0,0.0749973602468632
XEM,-0.265864227413276,0,0,0.192337444362332,-0.21725296933231,0.18252912276283,0,0,0.455593560259745,0,0,0.571018028893288,-0.435620219443777,-0.153014793765822,0.615299316039278,0,0.333469341719385,0,0,0.184174696326824
DASH,0,0,0,0.00754828426886917,0.0533406626858046,0.0575868703430267,0,0.072092244984935,0,0,0.0358918666775242,0.0530631593177098,0.248807590572626,0,0.120588852458738,0,0,0,0,0
ETC,0,0.0337053616344671,0.101733561276345,0.0180407601356375,0,2.16840434497101e-19,0.115192668541916,-0.0161763776351112,0.0275116249187363,0,0,0.121906118832053,0.154741001134947,0,0.00957028530555989,0,0,0,0,0
XMR,0,0,0,0.0639253879863134,0.17223108505698,-0.00531720410996126,0,0.031817614688824,0.595933636349476,-0.370976546868267,0,0,0,8.67361737988404e-19,0.343837063588313,0,0,0,0,0.013962296713227
EOS,0.0259779165432692,-0.657472830027749,0,0.0933006726395764,-0.115139484304791,0.181961957973825,0.219327276351744,-0.223514926955003,0,0.561686921517567,0,0,0.364465857101272,0,0.498867159005442,0,0,0,0,0.102814243286709
ZEC,0,0.534544869528121,-0.318280677088855,0.0100149390699484,-0.0681868293579125,-0.0501332814359715,-0.0288202769453737,0,0,0.130832092638489,0.373422624029475,0,0,0.0668221227098476,0.145195619774878,0,-0.51100740583169,0,0,0
BAT,-0.566291672162913,-1.55951051320756,3.11842877940732,0.0597016802512439,-0.702711586113622,0.580016843976008,0,-0.431793798016968,0,0,1.13610504518311,-0.321735444348595,-0.0879166562219207,0,0.386297251829766,0,1.40201784577654,0,0,1.38777878078145e-17
XLM,-0.193543921018689,0.17598327749609,0,6.93889390390723e-18,0,-0.132591676061434,-0.0254767400801513,0.0231748283967135,0,1.14630728157695,0.160484222086744,0.104677522453655,0.0201247507382814,0.120782181625544,0,0,0,0,0,-0.107422220764567
BV010082.Index,0,0,0,0.00491976566533818,-0.0586402603002057,0,0,-0.0230113519545369,-0.0115585251442091,0,0.177097888153336,-0.0891307026555645,0.00762526557294949,0.0225145150150785,0,0,-0.238341368843345,0,0,0.0074408807132872
CVIX.Index,-0.0468496992580934,0,0.272398582960035,0,0.0564208045933393,0.0189328798833172,0,0.0412199197893009,-0.203759672287727,0,0,0,-0.252412297780131,0.0568369941391017,0.0656053808403891,-0.463124654143281,0,0,0,0.0695578892296408
DXY.Curncy,0.038676360027718,-0.0647307279444744,0,0.00185150561738497,-0.0156728408709468,0.00317867001407339,0,0.00501766143983387,0,0,0.0406430461552675,-0.0312729939598693,0,0.0121205972270677,0.0159154289076504,0,-0.0720487933066711,0,0,-0.00044130214736159
SPX.Index,0,0,0,0.000640431058409998,0,7.76109389702101e-05,0,0,0,0,0,0,0,0,-0.00492437820903762,0,0,0,0,-0.0390039529317494
VIX.Index,0,0,0,0,0.377438719747736,-0.0877860705401441,1.04349141027139,0.320342612335894,-1.49139568628996,0,0,0,0,0.152139896122224,-0.136366975610092,0,0.995359424850534,0,0,0
