,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.345924536414667,0,0,0,0.146875046457686,0.0286377528077627,-0.0586567351542187,-0.0690975538422989,0.0924593054052075,-0.01120540002705,-0.0662684080058167,0.110416912974018,0.0878131286146972,0.112680351042375,0,0,0,0,0.0685223687675623
ETH,0.0962942466837918,0,0,0,0,0,0.128099871788167,0.0569031430440987,0.194864343066968,0.0890431192628105,0.123802016233447,0,-0.0708555959090207,0.193977826506433,0,0,0,0,0,0.0526653874451242
XRP,0,0,0,0.0560600713045097,-0.090869602857912,0,0.336605083320078,-0.0355678656905739,0.0656614814351055,0,0,0,0,0.227920742525355,0,0,0,0,0,0
BCH,0,0,0,0,0.0840950227071666,-0.0321437561667694,0.226470443093124,0,0.101423309076902,0.230293911028044,0.309721451817522,0,-0.182656519140863,0.359560134012439,-0.300863226185097,0,0.471988411524088,0,0,0
LTC,0,0,0,0.161742491305062,0,0,0.0774745206878113,0,-0.0435516530875987,0.558327507349281,0,0,-0.00361184717306893,0.17031354311539,0.115436710237735,0,0,0,0,0
DASH,0.836126480301584,0,0.147953045241187,0.0155483306968244,-0.207814047394036,0,0,-0.155928944127503,0,0,0,0.417901085528492,0.000129763473202302,0.334502401540775,-0.190636060138626,0,0,0,0,-0.342296884173087
XEM,1.21492515087536,0,0.175926893452576,0.448689879168755,0.48078986954961,0.0743854951168333,0,0.0745505454271298,-0.110893129972137,-0.569771177080759,-0.168576991424893,-0.106897992560562,0,0,0.00747734364536696,0,-0.204727121399753,0,0,-0.155477010363318
XMR,0,-0.0514097179490031,0.455324606474604,0.448468208856931,0,0,0,0,0.00473046330664811,-6.93889390390723e-18,0.0207562276214328,0.166314054751865,0,0,0,0,0,0,0,-0.266698762171641
MIOTA,0,0,-0.100494745385447,0.521161931817421,0,-0.506725856409982,0,0.119335277849402,0,0,-0.336482110695279,0.261830824419068,0.73375338162082,0,0,0,0,0,0,0.62682509542228
ETC,0.853870100694051,0,0,0,0.863387553871629,0.346518041375935,-0.717850527314303,0,-0.104005385977917,0,-0.0503877816442954,-0.366636079598582,-0.081289343396909,0.648339097478322,-0.135731109412694,0,0,0,0,0
NEO,-1.07277270428632,0.865441790792737,0.343786186486218,0.519182794669325,0.802536802373144,-0.389167109646373,-0.489094966467339,0,0.0348537166520498,-0.51619321187283,0,0.362654733930345,0.142358889167802,0,0,0,0,0,0,-0.587061233420388
ZEC,0,0.323207605173777,0,0.438304563041101,0,0.881808735602278,0,0.122871064413127,-0.118215151370144,-0.0625513291612689,0,0,-0.242277168978532,0,0.219843220899698,1.85372200708849,-0.587902740366532,0,0,0.189181539327445
EOS,0,0,0,0,0,0,0,0.20868804323126,0.329813414697731,0,0.377330553317902,0,0,0,0.403339829245045,0,0,0,0,0
XLM,0,0,0.310031814552258,0.321724597246255,-0.167938257753867,0.0144548734592929,0,0.0892457289503878,0.0294157326324571,0.214551315572886,0,0.200440007475411,0,0,0.173053199194288,0,0,0,0,0
BAT,0,0,0.577636019583905,-0.580073615939192,0.607025290657622,-0.386614998968303,0.0960145857647899,0,0,0,-0.310850214100773,0.53067356835431,0.31210849828998,0.00289569995280356,0,0,0.360601489938841,0,0,0
BV010082.Index,0,0,0,-0.0456179557589636,0,-0.096480422398067,1.73472347597681e-18,0,0.0343296709818509,-0.0160771941956125,0.0107628017596107,0.0759955419473461,0.0588953364146713,0,0,0,-0.01323939832906,0,0,-0.15425748605401
CVIX.Index,0,0,0,0.0427856849583945,0,0,0,-0.00469190982136208,-0.0301241504932174,0,0.054420632621071,0,-0.0930440111575613,0,0.07075387620392,0,0,0,0,0.0820906328174429
DXY.Curncy,0,0,0,0.00787890019780231,0.000512226013058002,-0.0236751798327256,0,-0.0140237037857094,0.0246445389472815,-0.00113785842388354,0.0121815039188309,0.00710094229596988,0,0,-0.0150869000667959,0,0,0,0,-0.0330545405387115
SPX.Index,0,0,0.00229939005607965,0,0,0.00322847545923763,0,-0.00860673043867701,0,1.0842021724855e-19,0.000814994043764075,0,0.000207341839357672,0,0.00191647017485484,0,0,0,0,-0.0401129441428902
VIX.Index,0,0.377938875845132,-0.0322514302529042,0,0,-0.461719010690727,-0.00239348673885283,0,0.0420521129553746,-0.202820572641233,-0.0185817568748606,0.210403429155218,-0.203207714148794,0.253915249111481,0,-1.86606616507463,0.184438927232265,0,0,0
