,BTC,ETH,BCH,XRP,DASH,LTC,XMR,NEO,MIOTA,XEM,ETC,ZEC,ADA,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.178253402217755,0,-0.00525954519479525,0.24655931209016,0,-0.136802434352165,-0.383309963345069,-0.209498453170405,0.190895605100784,0,0.0834316288791544,0.24770351467665,0,0,0,0,0,0.0630824086869059
ETH,0,0,-0.061357581013431,0,0,-0.0977724705970601,6.93889390390723e-18,0.00860308819697627,0.167683840787477,0.00658765875746342,0.116674992719616,0.175274519670232,0.136241091950867,0.0595402019496193,-0.1098892294566,0,0,0,0,-0.138327262934028
BCH,-1.03764788095711,-0.746032309360044,0,0,-0.0736370903777161,0.117584080465201,-0.277539267649196,-0.37531927485375,0.752389818417152,0,0.331125931027573,0,0,0.42793108053475,-0.717445657678924,3.26546066133814,0,0,0,-0.501514777171301
XRP,-0.0712437967229346,0,-0.00831977418258665,0,-0.142527211256569,0.335878918850005,0.16137973885521,0.192385415478539,0,0.0153108892832028,-0.024895039288158,0,-0.0292184566814967,5.42101086242752e-20,-0.0900274517735027,0,0.233168622084294,0,0,0.0235509318374766
DASH,0,0,0,-0.0414993560971982,0,0.269298194892305,0,0.249525941582728,0.207897140229524,0,0.0138959667614164,0,-0.0441981707369831,0,0,0,0,-2.2344273739789,0,-0.155992314112207
LTC,0.199036676125866,0,-0.0382051831073266,0.299896462483391,0.0220071961107454,0,-0.0373739307296855,-0.26927254923403,0.111094686526679,0.140877383160052,0.123160693317007,0.174384174445824,0.0835444843729068,0.0193040261302082,0,0,-0.279289425401136,0,0,0
XMR,0,0,-0.122031334910971,0,0.173873964871196,-0.180099822433903,0,-3.46944695195361e-18,0.269889775403268,0.358851668165129,0,0,0.0226237430047132,0.142906469741458,-0.0703773298160216,0,0,0,0,-0.186835082188627
NEO,-0.836774028023813,0,-0.321764936281324,0,-0.156377383007661,-0.325029941210075,0,0,0,0,0.181394326467067,0.297639550995093,0.168621938963588,0.339273949369979,-0.117937086791793,0,0,0,0,0
MIOTA,-0.25752275090538,1.02175634882712,0.313784848569632,0.477787099069173,0.144768005090409,0,0.246492671950345,0,0,0,0,-0.0607614406442753,0.0708501078108857,0,0.324563709771313,0,-0.892838637052104,0,0,0.390417979514902
XEM,0,1.16169948334707,0.155358251232041,0.970622764857132,-0.0136816381247335,-0.31953563756546,0.0686835572424325,0.108019845796792,0,0,-0.235882036572462,0,0.051427678021347,-0.144089342268659,0.188005961176724,0,-0.318680113414393,0,0,-0.212729368831086
ETC,0,0,0.298973571169282,0,-0.477926876829854,0.306748471526031,0.358399266635181,0,0.0497950776827868,0,0,0,0.0691118252740236,-0.0545603805639681,0,0,0,0,0,0.263652994428652
ZEC,-0.174704198060125,0.40507443030273,-0.0765462520921061,0.0112789502039872,0.33772952326686,0.537612093568448,0.0135993671214725,0,0,0,0.0657485203003893,0,0,0,0,0,0,0,0,0.121105431661597
ADA,0.195094331614919,1.44035912926482,-0.0751285771302719,0,-0.118828230292952,0.700538881732467,0,0.319579520387723,0.220254430970487,0,-0.125769204547115,0,0,-0.409809681210915,0,0,0,0,0,0
EOS,1.38783676559697,0,0,0,0.345128973210503,0,-0.63779490794141,0.123227507504357,0.912941198583308,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0,-0.29179646954711,0,-0.363458285427022,0,0,0,0.704962143035979,0.418223476767548,-0.101151486796749,0.0717832071983534,-0.358641206549616,-0.0239855910645649,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0920108768579429,0.440366582047146,0.182441018549751,-0.337643636065131,-0.0588757688150728,-0.186834247923292,-0.199650911092265,0,0.115464494590459,0,0.109259348484681,0.0127674454744444,0.226320010148912,-0.914031912021216,0,0,0,0.0595126806024635
DXY.Curncy,0,0,-0.00339573258465595,0.0282465907887339,-0.00203821422644351,-0.0082872665030332,0,0,0.012354348188561,0.0222672392460881,-0.00874982516410811,0,-0.0134166202762198,0,-0.00486220778485675,0,0,0,0,-0.0139907486038179
SPX.Index,0,0,0,0,0.00932589520794947,0.012196637580318,-0.00334257157279913,-0.0122457563028038,0.0202364465713351,0.00419196587780695,-0.00135831650168449,-0.0193678510948485,-0.000454970365433922,0,0,0,-0.0317569439903974,0,0,-0.0492197896568505
VIX.Index,0,-0.789743901186569,-0.0379620075613376,0,-0.117206651594345,0,0,-1.73472347597681e-18,0.628670032478347,-0.369009557908586,-0.0113482681171136,0.707446895604478,-0.140601693102723,0,0.2079127483833,0,0.494613767362632,0,0,0
