,BTC,ETH,XRP,BCH,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.557937858039607,-0.0555290976406236,0,-0.207153011856569,-0.052973361192578,-0.0221363512000171,0,0.0244503965527351,0.402346933331282,0,-0.34869113409721,-0.277832348699259,0.703515925624631,0,0,0,0,0,0.0988621890539618
ETH,0.0141102911650724,0,0,0,0.29607680005873,-0.020880235984905,0,0.251628792806907,-0.0290154463903583,0.0862192554476954,0.322323126278859,-0.166738848856845,0.0935944278396426,0,0.0163006758885905,0,0,0,0,0
XRP,0,0.928941862038324,0,0.15953083149875,0,0.136915433661187,-0.127010819751081,0,0,0,0.0982246396771292,0,0.0377242734430974,-0.263191464956056,0,0,0,0,0,0
BCH,-0.0035391398075006,0,-0.0751798744881725,0,0,-0.0617068188584836,0,0.909176695718297,0.108725173311401,-6.93889390390723e-18,0,0.394007541035099,0,-0.17233203299201,0,0,0,0,0,0
LTC,0.0801333775603385,0.905985041430581,8.67361737988404e-19,0,0,0,0.0311483523031457,0,0.245506136549248,0,-0.133834833779992,-0.123943547096518,-0.165391769029645,0,0,0,0,0,0,0
ADA,-0.0075275885757715,0,0.0564134723136499,0.113509712317272,-0.16130289617592,0,0,0.124820615868497,0.0211364924506234,0,0.334221853825869,0,0.251856575580138,0.586051319949462,-0.478140117639865,0,0,0,0,-1.4995630752846
MIOTA,0.189409542487535,0,0.0697649005229154,0,0.250383698894636,-0.149623374750742,0,0,0.0650906932088771,-0.273488449628774,-0.145534047650677,0,0,0,1.10973957216861,0,0,0,0,0
DASH,0.152835289583473,0,0,0.153768145448988,0.220975910159246,0.112224497415663,0.0382644193660422,0,-0.0107792236832529,0.193282826261052,-0.0873232148666879,0.241888677097546,0.0320154688730161,-0.167937931680435,0,0,0,0,0,0
XEM,0.61793599387636,-1.29044101564556,0.0518838194682732,-0.173253421634671,-0.154999545299129,-0.768854490915257,0,1.79159995616206,0,-1.71936673623941,1.26247034674539,0,0.254438841889763,1.72623969451583,0,2.72680970615577,10.0418622948297,0,0,0
XMR,0.232629427393666,0,0,0.341688138052932,0,0,-0.0414978446249263,0.556393466345771,-0.0227058905646438,0,-0.129772345790776,0,0,0.0456319116500777,0,0,0,0,0,0
EOS,0.0410826361902934,0.774040914893709,-0.187667460528997,0.0402239714168807,0,0.236496887919775,0,-1.1742534817472,0.0354866738078453,0,0,1.22398160789774,-0.130058060904062,-1.38777878078145e-17,0.0503563754630827,0,0,0,0,0
BTG,0,0,0.0403062558595038,0.2696108749225,-0.0889335269679704,-0.0554737619242495,0.156284724600527,0.103363786854743,0,0.0931751560982863,0.170986346793839,0,0,0.300289845864067,0.0633285073845962,0,0,0,0,0
NEO,0.0429670111621484,0.376141366464484,0.0817012773130556,0,0.0508335845536224,0,-0.363464239074842,-0.393403173987004,0,0.474542554128929,0,0,0,-0.152937107312244,0.915317145342689,0,0,0,0,0
XLM,-0.189582621685373,0,0.100776209996744,0,0.0774649253700896,0.387825251361219,0.159018081163977,-0.100580805081744,-0.0248429022890896,0.236188160871203,-0.105001838311855,0,0.215551051211476,0,0,0,0,0,0,0
ETC,0.141850323604985,0.432890310085477,0.0437048161279841,-0.134156938163716,-0.248038914240319,-3.46944695195361e-18,0,0.0998483967423767,0.11314269109832,0,6.93889390390723e-18,0.644013861120975,0.102854947733759,-0.102315633456745,0,0,-0.767422149900774,0,0,-0.802611427727025
BV010082.Index,-0.0455504516482174,0,-3.46944695195361e-18,0,0.0157081461120512,-0.0363695827702361,0,0,0,0,0.0169815064212599,0,-0.00191674464963467,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0251634569644669,-0.0462639510464252,-0.0528126267912061,0.0155720715407392,0.0489260150249329,0.0914240587096236,0.0194247324872637,0.0246002747941676,-0.0187580849743002,0,-0.0140482533792712,-0.0375203045856134,-0.0968949209140504,-0.236168916370172,0,0,0,-0.0803115208267314
DXY.Curncy,0,0,-0.00307697797103619,-0.00453625763990925,0.00572029378391101,-0.00481969215576003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,-0.0035835033771982,0,-0.000268304129015953,0.0133207668829632,0.00354587508544656,0.00464103028425009,0.00389840552173821,0,-0.00318926553342747,0,0.00728514915944406,-0.00463128305974373,-0.00125723632331936,-0.00409271894397311,-0.0198384194225885,0,0,0,0,-0.0652932578464565
VIX.Index,0.132580029109499,-0.512956005438545,0.0478588731044989,0.110172551921703,-0.0621173334664519,-0.316395399003347,-0.0847578323496232,0.11392097395986,-0.0416879613557164,-0.139783854991913,0.269078301469412,0,0.201385282305111,0.394345506009276,-0.0686158150736715,0,0.138881186127791,0,0,0
