,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.228972268282032,0.0714996171295315,0.144832929297537,0,0.250163356728242,-0.0517540988220342,0.0186354761700127,0.0970360653958749,0,0,0,0,0,0,0,0,0,-0.0123940269791474
ETH,0,0,0.00585781211170466,0,0.0624585560720818,0.0573865549743208,0.131033662686484,0.212006209553145,0,0.256879122489428,0,0,0,0.0549741946350448,0.128037392188831,0,0,0,0,0
XRP,0.270622414187311,0,0,0,0.0201108297027234,0.148597830252914,0,0,0.150727716673276,0,0.127670455490066,0,0,0,0.113242711305749,0,0,0,0,0.0295479904966697
BCH,0,0,0,0,0.242696287747178,0,0.621278039803743,0,0,0,0,0,0,0.0357814129934488,0.0845120750619141,0,0,0,0,-0.101039904887939
LTC,0,0,0,0.0448584130422005,0,0,0,0,0,0,0.569498408495476,-0.0649627092146325,0,0.213835087386399,0,0,0,0,0,0
ADA,0,0.192388641284172,0.0834014543327738,-0.129834451964161,0,0,0,0.160703740829643,0,0.318634634487138,0,0,0,-0.0166108147052783,0.211067655020548,0,-0.119689625927793,0,0,0.0221333941910178
NEO,0.384651497406571,0.688817429252597,-0.124616775508784,0.156093335308084,-0.0314288024595311,-0.602394763780969,0,-0.0938125013350095,0,0,-0.137659147936071,0.0563112183511602,0.843061608406771,0.0461156764306047,-0.0358544252654006,0,0,0,0,-0.0174300026902442
XLM,-0.433212679618414,0,0,0,-0.0461922722058274,0.102575232166182,0,0,0,0,0.466048641332342,0.0669973749116028,0.337292997735605,6.93889390390723e-18,0.239467339971052,0,-0.279112692204134,0,0,-0.0321072436464484
EOS,-6.93889390390723e-18,0,0.212871482591059,0,0.112765266834699,-0.373519213667073,0.187502062249739,0.0360738217124039,0,0,0,0.207468997743352,0.163816731801151,0.26691762776609,0.060573271235233,0,-0.387648916551191,0,0,-1.73472347597681e-18
DASH,0.160844089347733,0,0,0.182858214677093,-0.0100708137236042,0.302162918417739,0,0.329666477650469,0,0,0,0.396600350088526,0,0,-0.192730169570158,0,0.631192290784747,0,0,0.0132559792835416
MIOTA,0,0,-5.42101086242752e-20,0.0561363958285497,0.183191939929435,0,0,0.213079440696932,0.195098802912616,0.324373842987094,0,0,0,0.0715342981707556,0.078045748453204,0,0,0,0,-0.027971669945257
XMR,0.714376033903322,0,0.29374715080162,0.0848864824283171,0.0660837534998165,0,0,0,0,0.326233341856873,0,0,0,0,-0.180868294560809,1.4553069322462,0,0,0,0.131308947249417
XEM,-0.0503991045057441,0,0.163617568406692,-0.0270970321585406,-0.0269839586581656,0.484990912585185,0.565234391403293,0,0,0,0,-6.93889390390723e-18,0,-0.348746411892579,0.186983443242727,0,0,0,0,0.100696982365574
ETC,-0.179730977679637,0,0.664890540054298,0.174978097765064,-0.164741550124476,0.803133646657532,1.33603092522307,0.140684958311914,0.909270910302421,-1.14391009373745,0,0.169486194063279,-1.72751544602042,0,0,0,0,0,0,0.158593909400072
TRX,0,0,0,0,0,0.462519246834274,0,0,0,0.155114612585715,0,0,0.508546284288163,0.00904267108203938,0,0,0,0,0,0
BV010082.Index,-0.0482326728230387,0,-0.0632298611630431,0.0668215616191409,-1.0842021724855e-19,0,-0.0828418965705038,0,0.0129498655567569,0,-0.0487550860338912,0.183594059257538,0,0,0,0,0,0,0,-0.0445624766180394
CVIX.Index,0.0108420391650761,-0.322051221571349,-0.0521305378721718,-0.126668129763546,0.138160179956163,-0.117546676172506,0.107976018860554,0,0,0.353351010752329,-0.13211895985979,-0.189379526139598,0,-0.0619513366386584,0.282028026083167,0,0,0,0,0.0138801335457618
DXY.Curncy,-0.0249319840759142,0,0.0278633922881369,0.0198957550172835,-0.0361432476792747,0,-0.0444369340473521,0,-0.0564692932007632,0.0673826097873385,0.0369277011451223,0,0.0110099142505547,0.0285667874194845,-0.0303730667453678,0,0,0,-0.0596831702600568,0.0121034849454526
SPX.Index,0.0878973668296546,-0.0901904701870191,0,0,0.000229580744200773,0,0.00408854836090145,0.0698533789049357,-0.0187792674737126,0,0,0.00974548047213214,0.0624975605407644,0.0269574759000505,-0.132874190330141,0,0,0,0,-0.0601145625569866
VIX.Index,-0.019215169073303,0,-0.300318529984282,0.215674322231643,0.598886278619099,-0.384088568216342,0,0,-1.63409118914777,0,-1.31093475877852,0.408747763828634,1.60839982165499,0.82319684988205,0,-1.27041405461108,0,0,-7.44023571563353,0
