,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.15623853076783,0.168891158992675,-0.0260331623484505,0.157859371488851,-0.0569527335560031,0,0,0.150706900950052,0.1632082318936,0.267778917358673,0.0116936729019212,0.0518448921109157,0,0,-0.135381127882975,0,0,0.0261218165708237
ETH,0,0,0.306913178757913,0.0162231580702103,0.695885335162759,0.0572726884002439,0,0,-0.548634761861896,-0.037043499862039,0.250982781982027,0.14000177511754,0.090463168921027,0.115551617130758,-0.0208653096009252,0,0,0,0,-0.0135205889518871
XRP,0,0.280356072258621,0,0,0,0,0,0,0.239568650791253,0.114016569512561,0.0633142741118811,0,-0.274093455978814,0.00148774012594319,0.296139236407434,0,-0.394099383418355,0,0,-0.0558156006193235
BCH,0,0,0,0,0.717023905904955,0,0,0,0,1.38777878078145e-17,0,0.0907170306618686,0.130519213853687,-0.0193616059517075,0.0863085438803135,0,0,0,0,0
LTC,0.12773863566769,0,0,0.126236159238033,0,0.128885771497772,0,0,0,-3.46944695195361e-18,0.215577442374347,0.278072982038092,-0.130615127156371,0.0135330099247711,0,0,0,0,0,0.125430477399889
EOS,1.16086782771479,0,0.213987449135113,0,0,0,0,-0.383155981023005,0,0,0,0,0,0.149499253407812,0,0,0,0,0,-0.161036388785485
ADA,0,0.478797944027853,0,-0.335788443465161,0,0.542271568395971,0,0,0,0.174658909136061,0.487401844169768,-0.385947478017147,0.380600797451369,0.431742379442883,-0.170214202574518,1.64571627610937,0.534238577791106,0,0.554080861106599,-0.0810372526173344
XLM,0,0,0,0,0,0,0,0,0.725228307741329,0.00488000170255801,0,0.0302631468435659,0,0.164269116619248,0,0,0,0,0,0
NEO,-0.22277344759101,0,0.0763210192973447,0.125134160279401,0.33945255329556,0.0479623501306399,0,0.699542722653853,0,0.0519790438601194,0,0,0,-0.135175830184496,0.0718632266148512,0,-0.310606440037132,0,0,0
MIOTA,0.24059601236498,0,0,0,0.198687250847033,0,0,2.77555756156289e-17,0.399191621124977,0,0,0,0.226375198273328,0.0632215114475519,0,0,0,0,0,0.0448262887511996
XMR,1.05625860185868,0.616244755445745,0,0,0.174930532547715,-0.2246396481635,0.155015710171278,0.299736011237627,0.457601714889263,-0.0596745298696454,0,-0.328524907168506,-0.185536628455997,-0.310161446920708,-0.268904408557542,0,-0.20740958933711,0,0,0.0282043406995794
DASH,0,0.909746381426235,0,0,0,-0.0104940027912294,0,0,0,0.14217978360694,0,0,0.122876264947238,-0.0160804410077666,0,0,0.0351681342356706,0,0,0.101490244717394
TRX,0.992750883585995,-0.23222545202368,0,0.410953179747172,0,-0.21984178214588,0.62503507650609,0,0,0.371484813676608,-0.937695302896004,0.538441564947135,0,-0.260677093036357,0,0,0,0,0,0.337620319960174
XEM,1.28906344623353,0.578311858275967,-0.021705680127235,-0.340827507544237,0.618569767403319,-0.586857519535811,0.412774083404906,0.994302604594539,0,0,-1.67038343281887,0,0,0,0.121895951347701,0,-2.29006699850266,0,0,-0.0374069685822259
ETC,0,0,0.952960269935692,0.289444700497786,0,0.0352836133165275,0,0,0.335874787785284,0.0810576724484128,-0.602293535718417,0,0.0248481843185227,-0.00560200939189519,0,0,0.240600494065257,0,0,0.058491727153509
BV010082.Index,0,0,0,0,0,-0.0619005620018986,0.156256125425365,1.73472347597681e-18,0,0.0443801891014421,-0.13295523095802,0.228273639994053,-0.149688612544052,-0.0958528671715565,0,0,0,0,0,-0.00459575562878837
CVIX.Index,0,0,-0.250027942203691,-0.0618663497703073,0.105525146858074,-0.150805687864638,0.101814309580393,0.169408719451129,0.136979883572299,0,-0.343630932541997,0.182992340872365,0.060277459452206,-0.315803926625542,0.269166222437165,-0.445817940268523,0,0,0,-0.0585065392303833
DXY.Curncy,0,0,0.0622050410371854,0,0,-0.00147116819725931,0,0,-0.0402023533913366,0.0229518217921069,-0.0238637443828421,0.0564911391730693,-0.0308534502139006,-0.0104876079660072,-0.00456180071476051,0.0233068675485388,0,0,0,0.00965540661879133
SPX.Index,0.0808706479269261,0,-0.0902616035460622,0,0,0,0.00269660220901637,0,0.0477933388614604,0,0,0,-0.0505416653746609,0.00987483454763092,0.00563944335127702,0,0,0,0,-0.0778600446389422
VIX.Index,0.0251056576980121,0,-0.496613651778084,0.171609448799261,-0.243601616951764,0.0665507850863736,0,0.624100534260009,0,0,0.06616621186826,-0.0282086628463059,-0.116707920593567,0,0,0,0,0,-5.15043260428611,0
