,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,NEO,TRX,MIOTA,XMR,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.121744135700916,0.05349117737033,-0.0440116882651855,0.0516042354620104,0.0368528500748711,0,0.00937268336560666,-0.0108154298058607,0.196140801687296,0.207041523360551,0,0,0,0,0,0,0,0,0
ETH,0.639139454737033,0,0.078656478684233,0,0,0,0.211382309257429,0,0,0,0.111681345510241,-0.0770875835601069,-0.0444374301431085,0.0132996837062436,0.177546491346285,0,0,0,0,0
XRP,0,0.486822812197667,0,0.247972530960615,0.17056322407845,0.0645354695348772,0.20331844822051,0.246231288098446,0.0712533086096264,-0.237274454148489,0,0.600182843455145,-0.708256672744842,0.0880037129489348,0,0,0,0,0,0.0686773792461179
BCH,0,0,0,0,-0.0494528009751141,0.0283708011333834,0,0,0,-0.121535900922751,0.0223560374701082,0,0.749306646711596,0,0,0,0,0,0,0.0297326080847562
EOS,0,0.66294335967004,0.236168852997036,-0.354485693142424,0,0.0531009901251267,0,0,0.0753013073748716,0.825143239992555,-0.721798904995999,0,0,-0.161384930101462,0.16991148268536,0,0,0,0,-0.267380862819865
ADA,0,0,0.220103714225455,0,0.152542353613231,0,0,0.0717283505500237,0.038603818949223,0.0636907101076407,0.253473495420873,0,0,0.321827681569516,0,0,0,0,0,0.403583638781591
LTC,0,0.0175515092691797,0.212340227349108,0,-0.0133855745054925,0.0364139290254756,0,-0.0959112312943339,0.0935422407972229,0.0831881672482319,0,-0.000813613937368343,0,0.113925068516908,0.392116545940738,0,0,0,0,0.0651627646800421
XLM,0,0,0.140737228123704,0,0.0632587099517504,0.175357087621476,0,0,0,0,0.0479442691316457,0,0,0.402333595240987,0.163802809858081,0,0,0,0,0
NEO,0,0,0,-0.15080333500812,0.0485773189769878,0.0627911807663909,0.102126002621576,0,0,0.26624308277409,0.413235951979256,0,0,0,0.300957424104591,0,0,0,0,0.181973635648414
TRX,0.902938500282808,0.319589204356773,-0.464162869400026,0.292496506718054,0,0.0721107173413633,0.485733408099617,0,-0.0722468155430066,0,-1.13440049224619,0.326037064553891,0,0.939839225748958,0.18464648222915,-0.514109128449898,0,0,-1.08104746167878,0.167092428937402
MIOTA,0.426871190299974,0,0,0.362810655073842,0.00220361573238451,0.0529183180180902,0,0,0.0282400362856365,-0.400819558803875,0,0,0,0.485991856610726,0.269724363971978,-0.228768712934806,0,0,0,0.13084441673958
XMR,0,0,0.247783650563328,0,0,0,0,0,0,0,0.368388226339765,0,0,0,0.0581064210004355,0,0,0,0,0
DASH,0,0,0,0.299455542463353,0,0.0442565525786602,0.00256055978773661,0,0.025783909829604,0.178318926986165,0.0828383354908302,0,0,0.273732927645174,0.0522855895419829,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.305107723370972,0,0,0.407405300358023,0,0,0,0,0,0,0,0,0
ETC,-0.288899835132597,0.509889907815155,-0.233026059397696,0.193244665793321,0.0799050631511671,0.0862566011210891,0.558167721439153,0,0,0,0.0781540720283389,0,0.0806112962194142,0.0273211676609869,0,0,0.162384049834408,0,0,-0.099939414796854
BV010082.Index,0,0,0.0201070032038458,-0.00827936321944972,0.0188381493701281,0,0.0793664529454005,0,-0.0171838822307067,-0.0158800163101883,-0.0171821790984817,0,0,0,0,0,0,0,0,-0.0161817512868656
CVIX.Index,0,0,0,0.0106643112525046,0,-0.139532260977605,0,0,0.058396577920027,0,0.0695785735147255,0,0,0,0,0,0,0,0,0.0782684019271554
DXY.Curncy,-0.0147628421161258,0,0.02236414850868,0.0203826628385213,-1.55578751436515e-05,0.000494178782244507,-0.046501843400314,0,0.00547846451889534,0.014275429284429,0,0.0500364932468567,-0.0648627245274669,0.00824278336775622,0,0,0.272485183554815,0,0,-0.0139246108954913
SPX.Index,0,0.019492597184473,0,0.00141243741834192,0.0114766707484861,-0.0024787159471386,0,0.0435038595082535,0.00750061283138015,-0.0631874869163348,-0.0884469648477493,-0.013411432989999,0.082034455346815,0,0.0143052249929023,0,0,0,0,-0.0769822161370796
VIX.Index,-1.23723176286071,0.392095899031596,0,0.277045352616452,0.170562398197989,0.155637046832165,0.759819669356018,-0.0269863424614558,0.0454901709315364,0,0.31847505887808,-0.248342477169447,0.278386963980111,-0.40376950837982,-0.669640276181192,0,1.12221413701437,0,-3.97418019820955,0
