,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.240957686115452,0,0,0.0595074048138155,0.192711848696278,0.0670296841730405,-0.12158533401806,0.0893140632190489,0.149196173927729,-0.109566095269831,0,0.00653030810554685,0.128829774372972,0,0,0,0,0,0.0582996780203673
ETH,0.303014868518867,0,0,0.22820602686477,-0.0959380185103228,0,0,0.148998935263514,-0.0602584410833092,0.330236221316839,0,0.181138209470813,0.139716688168306,0,-0.0949619896740054,0.17492721634052,0.297089277467935,-0.315240692286812,0,0.083583342709361
XRP,0,0,0,0.494737622220138,-0.085339194044652,0.14579969239561,0,0.218732102555298,0.0438066722129551,0,-0.178164888794648,0,-0.13177738934333,-0.0784554793429588,0.374828481587212,0,0,0,0,-0.00903540105563317
BCH,0,0,0.57162861012297,0,0.277714491120124,0,-0.357053528184605,0.383012912856181,-0.0321696618940516,0,0,0.223686137932425,0.0656818222486146,-0.0116469462299142,0,-0.250241203339584,0.0282042101176406,0,0,-0.13048444762223
EOS,0,0,0,0,0,0,0,0,1.11022302462516e-16,0.380994637896801,0,0,0,0.191704983167603,0.774448920640736,0,0,0,0,0
LTC,0,0,0.335602995383352,0,0,0,0,0.0356175581748164,0,0,0,0.328938717591884,0.0456249450237659,0,0.229985104429089,0,0,0,0,-0.00813813787254848
XLM,0,0.726784521814335,0,0,0.0968929198555593,0,0,0.261291874759199,0.127598276079383,0,0.196092964712874,0,-0.243838469345567,-0.0111286813920649,-0.305051539028355,-0.811583499531756,0.0203347253175724,0,0,-0.295286913848861
ADA,-0.378967549025591,0.410239312402281,-0.544780755615453,0.360129465365148,-4.33680868994202e-19,0,0.552626418955007,0,0.275608004017249,0.045920925781965,0,0,-0.0433889847187752,0.0294644249402884,0,0,-0.365779114056224,0,0,0
MIOTA,1.82126421146198,-0.237933322382105,0.573748858169172,-0.634734296386662,-0.0861333891452528,-0.687786045967791,0,1.11872467027377,0,-0.569591095892013,0.871026794318676,0,0,-0.266902144664677,0,0,0.292375707027502,0,0,-0.247663340371819
TRX,0,1.04834070349919,0,-0.416940576675119,0.501464431582417,-0.664632159094899,0,0,-0.223173432677735,0,-0.0214514206222253,0.956742203641306,0,-0.0594862042139094,0,-0.597763273155618,0.444641038856291,0,0,-0.109717220445906
NEO,0,0,0,-0.15458931670206,0,0.545533249922737,0,0.290484172350329,0.0400794811509683,-0.198336664132771,0,0.0670679845174154,0.19794273749021,-0.0557408746443638,0.364500165435391,0,0.298924361740603,0,0,-0.0361638997244977
DASH,0,0.0742687410802895,0,0.218538875474257,-0.327053554896421,0.61624047563199,0.193308358574812,-0.171369691675874,0,0,0.561110495713331,0,0,-0.10230399361333,0,0,0,0,0,-0.0452047933192401
XMR,0,0.513896866566681,0,-5.55111512312578e-17,0.260543602881868,0,0,0,0,-3.46944695195361e-18,0.147995972000147,0,0,-0.0295997430409583,0,0.0775224499994889,0,0,0,0.0841284593490729
BNB,3.49183807428734,0.862789300112557,-0.99134028964638,0,-0.949234625396219,-2.21392424528216,0.275381098378073,0.336057294932899,0,-3.46944695195361e-18,0,0,0,0,0.624930386744763,-6.93889390390723e-18,-0.142051213732292,0,0,-0.0281923131918508
XEM,0,0,0.231003483390797,0,0,0,0,0,-0.167320938522056,0.183836281289951,0.656670749082141,0,0,0.0754985180463275,0,0,0,0,0,0
BV010082.Index,-0.0647954143058758,0.279441047254482,0,0,0,-0.014968783214233,0,0,0.0632259441991876,0,0,-0.150639190156044,0,-0.107828560779177,-0.132109299904706,0,-0.241572970995202,-1.01045575319828,0,-0.31103595631402
CVIX.Index,0,0,0,0,-0.0103208116261087,-0.103256121472013,0,-0.0606730231518465,0.186062482902278,0,0,-0.0723478793361705,4.33680868994202e-19,-0.0669780843221627,0.0325930087716951,-0.0510133825562943,0,0,0,0
DXY.Curncy,0.0190770412522139,-0.114035047885988,-0.00720264310339315,0.0416056117884604,0,0,-0.00550907984769111,0.0722890837172044,-0.0328349186361937,0.0745775446255373,0,0.0185465544066058,-0.0311009957901535,-0.00332720367824345,-0.0558973910102292,-0.0412680750204132,0,0,0,0.00196678878565718
SPX.Index,0,0.00883751768682125,0,0.00492323139541543,0,0,0,0.0500770331147849,-0.0216980260375288,0,0,-0.0478419736762799,0,0,-0.00831547495868845,0.00521978297709976,-0.0179923468507576,-0.0495050816199505,0,-0.0567835161030286
VIX.Index,0,1.0079623153431,0,0,-0.126651523826557,0,-0.364213809016012,0.346065791981332,0.115105769478234,-0.0313288346405978,0.0883649126994603,-1.0917471651482,0,-0.270939199061055,0,-1.97647141315767,-0.607914546631494,-2.17874016211503,-3.69008073017481,0
