,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.127135769550619,0.26065054768116,0.312806717214242,-0.0683230943272995,-0.0983335804121526,-0.13328263661704,-0.0463853203601277,-0.145749561368241,0,0.0663556855250567,0.144807930801187,0.219015029179701,0.130496997881498,0,-0.231822430264387,0,0,0,-4.33680868994202e-19
ETH,0.775415507511829,0,0,-2.77555756156289e-17,0.0459044360023945,0,0.0208198682716732,0.0421615311883008,0,0.257729349771417,0.0157510393375452,-0.197077858388622,0,0.108571765445424,0.0747820247819445,0,0.239784327224823,0,0,0
XRP,0,0,0,0,0,0.187420888703824,0,-0.241977962702049,0.00800416944165704,0.922020826511214,0,-1.73472347597681e-18,-0.152488587573304,0.0338166944193938,0.173782101754627,0,0.00689428371289084,0,0,0.0633913524890884
BCH,0.40983368322885,0.257854979410465,-0.0311637335658277,0,-0.185106351778325,0.452105408872163,-0.181760842064033,0.227345712688606,0.0701399181397418,0,0,0.0238163260258071,0.379016467265893,-0.155508659319561,-0.10216936656192,0,-0.00766902432979234,0,0,-0.104910612733911
EOS,-0.154915750910779,0.97868181161034,0,-1.38776913986135,0,0,-1.09759860721761,0.848426881016781,0.257260210834781,0,-0.0491663666395458,0.239724784519084,1.6380896186358,-0.202495074499506,0,0,-0.169238049096073,0,0,-0.273282193434348
LTC,0,-0.353269253213887,0.768906700434762,0.527218864577188,0.129939952014768,0,0,0,0,-0.186439175874307,0.0327329973132312,0,-0.15465801821833,0.115705594846562,0.00780457733087407,0,0,0,0,-0.0471144688789275
XLM,0,0,0,0,0,0,0,0.26949285687964,0.090142877142549,0,0.0615441693499223,0,0.511523042082834,0,0,0,0,0,0,0
ADA,0,0,0,0.289251564056998,0.0437457265687463,0,0,0,0.0786194524644964,0,0.0318896597603967,0.0192235100559611,0,0,0.447731389167166,0,0,0,0,-0.0301573203117489
MIOTA,0,0,0.50719926664186,0.969423230824343,0,0,-0.392860516752423,0,0,0.752985655214295,0.167679954627644,-0.0873818611292095,-0.0149128397448648,-0.3469795811047,0,0,0,0,0,0.249151170489025
TRX,-0.0874371771194341,0,0.569093729660889,0,5.42101086242752e-20,0,-0.0813582728117443,0.346287290868154,0,0,0.0966678679608683,0.0331672228955286,0.026095766182488,0,-0.105182812111399,0,0,0,0,-0.155674980433727
NEO,0,0,0,0,0.0404302431473018,0,0,0,0.555855355907754,0,0,0,0,0,0.386384430760317,0,0,0,0,0.0556213892231509
XMR,0.546431340683076,0,0,0.373009058279092,0,0.960997325328625,0.490185877531589,0,0.0189399756684006,-0.370113489521061,0,0,-0.209875290849226,-0.26644739787008,0,0.479344702281616,0.073593941979974,0,0,0.166183119984015
DASH,0,-0.32269898479087,-0.621190038720634,0.910422421653656,0.280390224256069,0,0.429022295955669,-0.277386545545301,-0.225802524964614,0,0.0502609428998339,0,0,0.0492636980999829,0.288143071321613,0,0,0,0,0.0633295841533695
ETC,1.06210057167573,0.19975865813085,0.613882166858076,0,0,0,0.0382182744081083,0.10166389451619,0,0,-0.325142404070354,0,0,0,0,0,0.25379503132573,0,0,0.048354030111438
XEM,0,1.12452323040594,0.894488700487975,-0.415590950341851,0,0,0.427461285890166,0.916774368731806,0.265009428519874,-2.55054917961021,0.0734622870953303,0.0159403526406327,0,0.226929219265435,0,0,0,0,0,-0.195901270972239
BV010082.Index,0,0,0,0,-0.0367483343932232,-0.0126635055548434,0,0,0,-0.0206375885005708,0.0136228108018927,0.0547807420836468,0,0,0.0106909696957804,0,-0.278904468787549,0,0,-0.0234903818373347
CVIX.Index,0,0.311137292863325,0,-0.297811002187144,-0.200897207573394,0,-0.103696791012813,0,0.0822823264709378,0.171085642825661,0,0.27602895317782,0,0.0252612328174003,-0.00957010714957568,0,0,1.66999824957303,0,0.101952184042625
DXY.Curncy,-0.209417273383959,-0.0226631861028174,-0.0124324240254543,-0.017951054733788,0,0,0.00427512620484387,-0.0042092325322802,0,0,0,0.00837142971615942,0.0135623301559627,0.0554868585502748,0,0,0.139360718201296,0,0,-0.0230841183163034
SPX.Index,0,0,0,0,-0.0168776146291473,0,0,0,-0.0433715238180924,0,0.00932130352426769,0,0.030313123634322,-2.16840434497101e-19,0.00687695840390405,0,0,0,0,-0.0809700475082051
VIX.Index,0,0,0,-0.0958725294624668,0,0,0,0,-6.93889390390723e-18,-1.78967932255457,0.404608263871998,0.067010187174729,0,-0.107395657602761,0.429919442713653,0,0.868040649373148,0,0,0
