,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,XMR,NEO,ETC,DASH,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.727522618679262,2.77555756156289e-17,0,0.0878208237510101,0.320592053058085,0.0719049839962784,0.0734632596700981,0,0.687773971108772,0,0.0799512378513152,0,0,0,0.317084052524787,0,0,0.139328529815074
ETH,0,0,-0.0785180460277613,0.203474743898086,0.187713266771818,-0.0451585463227346,0.163734608116614,0,-0.0899210001355774,-0.0553344112784435,-0.159484557780299,0.451652627502678,0.224013241357623,0,0,0,0,0,0,-0.00988431212609652
XRP,0,-0.0439859858854436,0,-3.46944695195361e-18,3.46944695195361e-18,-0.0637941480276649,0,0.147510265304467,0,-0.324862807275687,0.0982134615470215,0.902243220330356,0.00474026441205166,-0.0161336604690451,0,0,-0.0751854048275495,0,-0.514428401766109,-0.119165650392449
BCH,0,0.342641860643274,-0.121085739901049,0,-0.420115566924164,-0.0914599908382418,0,0.239864820679017,-0.0152487251519659,0.371730776010256,0.559981644182814,0,0.21183264585206,0,-0.0824393339813022,0,0,0,0,0.0345776489756611
EOS,0,0,0,0,0,0.0286962191878096,0.297357224837963,0.143395994575651,0,0.386794733855102,0.0467523280613848,0,0,0,0.275790822565778,0,0,0,0,-0.150549661151137
XLM,0.249192563038557,0,0.431564675525084,0,0,0,0,0.248243299982159,-0.0103551637706103,0,0.37026334007272,0,0,0,0,0,0,0,0,0
LTC,0.185577005829358,0.444362114726618,0.0273026302954977,0.0637785054755518,0.113807558950608,-0.0210879303836018,0,0,0.181772237895887,0,0.107480371480012,0,0,0,-0.143605310828345,0,0,0,0,0.0356197473766543
ADA,-0.443356555648951,-0.6496116208952,0.279997696403104,0.646298278636282,0.0682708173074147,0.300161894275647,0,0,-0.394192790956276,0.272542368669152,-0.0771513484174333,0,0.310228079477245,0.618681824078248,0.229196664730163,0,0.617802581237847,0,0,-0.0291055012242762
MIOTA,-0.0456307054837778,0,0.586007360899815,0,-0.385197057748203,0.404229829716063,1.04215729397579,-0.532811749590764,0,0.203252699122175,-0.293884398585807,0,0,0.44380567336479,0.259010798119473,-0.600256332690462,0,0,0,0.08469217827082
TRX,-6.93889390390723e-18,0.193939957345705,-0.366450415927769,0.203971265273585,0.433184637018276,-0.0489515040153137,-0.000555631631830715,0,0,0,0,0.524160194028924,-0.0704547627196029,0,0.129365223212694,0.29337130428936,0,0,0,0.0091921895074258
XMR,0.657366586259601,0,0.0706493769099173,0.330659157116773,0,0.0438871164330975,0,-0.0298001528933829,0,-0.209017262499115,0,0.276340319600537,0,2.16840434497101e-19,0.0913410051148346,0,0,0,0,-0.0682843688942492
NEO,0,0.0660785652090088,0.433283771128191,0,0,-0.0625630248080293,0,-0.0121637621226645,8.67361737988404e-19,0.215005863502518,0.13396000499225,0,0,0.367799233917391,0.0783530456412329,0,0,0,0,0
ETC,0,0.325842087177155,0,0,0,0,0,0.233409135946851,0,0.140218834000745,0,0,0,0,0.0804764000115837,0,0,0,0,0.0777749095747338
DASH,0,0.486340608293787,-0.240318676915345,0,0,-0.0972742875939043,0,0.0833246671918289,0.0978694124097997,-0.0883364230636817,-6.93889390390723e-18,0.669413269201742,-0.0380670906704397,0,-0.209985502912535,0.200781819018749,0,0,0,0
BNB,-1.03062857303949,0,0,0,0.499080192372467,0.0428553086162599,-0.122056282199846,0.455071898384632,0.347606435868542,-0.187264610181612,0.762652274754706,0,0,-0.729887034805949,0,0.332798598147576,0,0,0,0.542075547737982
BV010082.Index,0,0,0,0,0,0.0204448395568732,0,0.0340275204349467,0,0,0,-0.0298327078340137,0.00116457037034813,0,0,0,-0.222920387359408,0,0,-0.0209073176254549
CVIX.Index,0.119284892741199,0,0,0,0,-0.0567424174305918,0,0.0302720974470762,-0.102747004169356,0,-0.12052483223498,0,0,0,-0.0499196223468617,0,0,0,0,0.0377908413721371
DXY.Curncy,0.0786105795191275,-0.0272050433930471,0.162983480730139,-0.0752508186199228,-0.0983438679059078,-0.00599105180596051,0.0468183493176763,0.00963869263034665,-0.0294256084878557,0.0604181174809467,0,-0.0989573998013481,0,0.0443825129118852,0.054355611215453,0.0118520886465466,0.218383982941983,0,0,-0.0517143919841202
SPX.Index,-0.0491399139943871,0,0,0,0,0,0,0.0192608544098248,0,0,0,0,0,0,-0.0269169161573918,0,0,0,0,-0.0491801083965772
VIX.Index,1.52747271679795,0,0,0.835142544008264,0,0,0,-0.335551625150918,-0.178214282675088,-0.28895315263219,-1.40688801129544,0.531104715281723,-0.38933773911232,-0.368341872951465,0.353809473035709,-1.19048994702088,0,-0.535564616896859,0,0
