,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.125983983337546,0,0,0,0.57559314951992,-0.0951156485003955,0.355077157192831,0.0187926721443824,0,-0.0973735078437482,0,0,0,0,0,0,0,0.0547710859183671
ETH,0.0530706333361591,0,0.02341815848202,0.13184513721786,0,-0.370135164239259,0.23763408534101,0,0.0362883541837009,0,-0.274251884449247,0.169279286254447,0.139589699939925,0.456215080514982,0.0765242816108972,-0.282256056394762,-0.105575983240593,0,0,0
XRP,0,0,0,0,0,0,0,0.0825524938279047,0,0.382893764286609,0,0.152061466593032,0,0,0.278200142551021,0,0,0,0,0
BCH,0,0.0708775770126699,0,0,0.159084630523523,-0.180475692178873,0.524403329955941,0.30763163400851,0.315584351000399,0,0,-0.105844852664416,0,0.0601228748589176,-0.0589282027795973,0,0,0,0,0.0357494050665139
EOS,0,0,0.310055285140803,0.463767669674555,0,0.268044928195672,0,0,0,0,0,0.0166763723357447,0,0.258770007534118,-0.233322932276069,0,0,0,0,-0.200511437117537
XLM,0,-0.994914630087978,0.256726170272992,0,0,0,0.369956862072862,0,0.300779275591698,0.164379212872828,0.0943935140343048,0.158346687517489,0,0.0555008971319105,-0.0648300333400311,0,0,0,0,0.0251924700736067
LTC,0.394312948647251,0.564639228115588,0.151608651874424,0.156561250956458,0,0,0,0,0,0.123585882195265,0,0.00469543456055257,-0.0484300680912235,-0.338064528993355,0.0237822354876434,0,-0.0376373890123626,0,0,0.0718005028390121
ADA,-0.480025566090206,0,0,1.10087006845348,-0.18697273140191,0.110574357580038,0,0,0.0442354333251381,0,0,0,0.00329886751508743,0.0841402420515629,0.0819733675362087,0,0.236943796973786,0,0,-0.11416388051186
XMR,0.933562330322379,0,0,-8.67361737988404e-19,0,0.116663486556188,0,0.0880264478276562,0,0,0.0890562199588639,0.120844164853537,0,0.0203941458412629,0,0,0,0,0,-0.0183190606169668
MIOTA,0.200659799372995,0,0.678354265530277,0,-0.513491252697113,0.315558186422246,0,-0.484437381268442,0,0,1.14111822387838,-0.133067311968048,0,0,0,0,0,0,0,-0.032913898455799
TRX,0,0,0,0,0,0.113186538744726,-0.129569109365301,0,0.0907999740444094,-0.0285832102718916,0,-0.0388479142784347,0.339728439569382,0.611742200268569,0.0769115723872769,0,-0.159157958353202,0,0,0.0343747454029372
ETC,0,0,-0.140904036490673,0,0.355687724432575,0.0599462970553285,0,0,0,0.53827063501309,0,0,0,-0.296587241348619,0,0,0,0,0,0.0180721894678875
DASH,0,0,0,0,0,0,0,0,0,0,0.441104464791403,0,0,0.0772866022063226,0.283707159597042,0,0,0,0,0
NEO,0,0.0730808308471961,0,0,0.372582365696217,-0.193764043071114,0,0.19527491531377,0,0.165406084498637,0.550240616320503,-0.035204222371795,-0.102890939048044,0,0,0,0,0,0,0.0158319903423311
BNB,0,1.19193336018117,0,0,0.104989904250428,0,-0.356368278959518,0.47841885319257,0,0,1.38777878078145e-17,-0.188312500723452,0,-0.183970274624738,0,0,0.468259117805713,0,0,-0.115765468339659
BV010082.Index,0,0,-0.0172585637442616,-0.325503386205704,0.00214465103903424,0.0301010052720712,0,0,-0.0697766825434087,-0.0593945212850339,0,-0.0268580390316297,0.178652760564349,0.211043064949363,0.088362660290404,0,-0.0614149089616893,0,0,-0.0275265117116671
CVIX.Index,0,0,0.0901909534138296,-0.109702336052586,3.46944695195361e-18,0.0487580213459486,0,0.234441508414312,-0.135007994532063,0,-0.2778888379631,0.093226128336525,0.285509038736917,0,0,0,0,1.27819376800458,0,0.114981575281482
DXY.Curncy,0,0,0.0265066258438332,-0.0487129029641484,0,-0.0119817376601397,0,0,0.0369080644086657,0.0211768158574793,0,0.00328555046308083,-0.0127532203199856,0,-0.034655461317579,0,0.161933534833039,0,0,-0.0162996583734427
SPX.Index,-0.032917413319692,0,0,0,0.0236132608184012,-0.00151221040920878,0,-0.0118160903164364,0,-0.00379939593666149,0,-0.0139543972881191,0.0135264999017749,0.000592523879623322,-0.00595595376512793,0,0.0274173365781206,0,0,-0.0597602467546986
VIX.Index,0,0,1.38777878078145e-17,0.918309726271932,-0.591268957548195,0,0.227084351938405,-0.248100326840927,0,-0.130641394094842,0,0,-0.455265229000745,0,0.558257668067373,-0.00906882613621639,0.231304158833314,0,-7.94625573681278,0
