,BTC,XRP,ETH,EOS,BCH,LTC,TRX,XLM,BSV,ADA,BNB,XMR,MIOTA,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.031534716587758,0,0,0,0,0,0.179461594632934,0,0,0.0511742839271051,0.300485925399739,0,0,0,0,0,0
XRP,0,0,0.20184840392884,0,-0.133628434899857,0.345043231053971,-0.0446752130495739,0.250754856628065,0,0,0.0985659894440686,0.0656094792093692,0,0,0,0,0.0602965599169136,0,0,0.0185798439131426
ETH,0.0577203971605103,0.28018284890294,0,0.529985999482006,0.0961300683040849,0.0829365641181627,6.93889390390723e-18,0,0.0499116367176979,0.163150890367268,0.0393314414809957,-0.0687957962202695,-0.445755910089435,0,0.214144998468322,0.545869364238293,0,0,0,-0.0206139701165942
EOS,0,-0.17171357324498,0.386162355194217,0,0.38129307679823,0,0.0938604911243403,0,0,0.131952912553572,0.0525401127922231,0.1400743025457,0,0,0,-0.249230125961741,-0.392474066934562,0,0,0.00649402005201935
BCH,0,0.0967530058770139,0.0905621698494662,0.337051035569251,0,0.00999063573299065,0,0.128505778564087,0.414844597421888,0,0,0,0,0,0,0,0,0,0,0.132266751407597
LTC,0,0,0,0.252458596008195,0.314489258442419,0,0.202699040257877,0,0.0448765329252475,0.0688960944103941,-0.326398036241723,0,0,0.379648357405834,0,0,0.631518150068208,0,0,-0.0116217524099731
TRX,0,0,0,0.404240622006982,0,0.486487379240819,0,-0.366255537773093,-0.269607510928594,0,0.571983803368094,0,0,0,0,0,0,0,0,0.133161389084023
XLM,0,0,0,-0.584873762036584,0.535932278407549,0.142717318513217,-0.14731344348438,0,0,0.424971307876473,0.267023274494579,0.0691273298190991,0,0,0,0,0,0,0,-0.054075755078923
BSV,0,0.19466623242848,-0.369877090865088,0,0.445634715292905,0,3.46944695195361e-18,0,0,0.13581788219887,0.180915545078188,0.239911147561537,0,0.22023738129679,0,-0.329355787637117,0,0,0,0
ADA,0,0,0.717456020599445,0,0,0.140609842321332,0,0,0.0126294916531223,0,0,0,0.190508932248403,0.0882978864748293,0,0,0,0,0,-0.019484002815761
BNB,0,-0.221061414049441,0,-0.618283807830016,-0.0402355674465553,0,0.399073300244175,0.998325870169903,0.263794460260587,0.398622084275164,0,0,0,0,0,0,0,0,0,0
XMR,0,0.31760012070293,0,0,-0.306198869853826,0,0.279817810653343,0,0.208447250645683,0,0.0470637073091084,0,-0.287653507699317,0.694419101943738,0.0200282159797607,0,0,4.33898619772604,0,0
MIOTA,0,0.294385187490123,0,0.623588833188485,0.0539397966468983,-0.381218923539141,-0.0328375543086778,0,0.144200262005845,0.0715500893302481,0,0,0,0.0676801965560809,0.0266477456017947,0.750115046179954,-0.112973344277004,0,0,0
DASH,0,-0.00338826087998665,0,0.339330398498102,0,0,-0.233792186161502,0,0,0.109321199684074,0,0,0.198933333859342,0,0.389247471741664,0,0,0,0,0
NEO,0.645428662768186,-0.248932344112051,0.342445601545096,0,0.0587434396960481,0,0.0866376355674382,0,-0.146591833813891,0,-0.143909191562038,0.217664111947516,0.561291792438267,0,0,0,0.416454292302381,0,0,0
BV010082.Index,0,-0.0636402020216562,0,0,0.0987851760392918,-0.00677614657844706,-0.0746995899563643,0,-0.123427324344019,0,0,-0.101398729383164,0.0455522048251897,0,0.249587806257789,0,0,0,0,-0.0590878581551521
CVIX.Index,0,0.213035899021801,0.133883293316695,0,-0.337084886871797,0.207515521539028,1.73472347597681e-18,-0.0875870780243803,0.37758964678521,0,0.108333076358064,-0.392751379629828,-0.612709059533161,0,0.318347955761537,0,0,0,0,0.127922633209093
DXY.Curncy,0,-0.0230031294542588,0.056092616620844,0,0,-0.0256423030878263,-0.0719850247075298,0.0273881178329297,0,0.00893178794823395,0.0128678541609931,0.0637358298901578,0,-0.070609662776664,0.0543542736211826,-0.0365701757015691,0,0,0,0.0137727893610243
SPX.Index,0,0.0196775551252157,0,0,0.0145730968165733,-0.0635186942211285,0.00977778043182161,0.00627655656477252,-0.0307420474569921,0,0.0276670171219222,0,0,0,0,0,0,0,0,-0.0805929576906941
VIX.Index,0,-0.219895807871887,-0.564019984443622,0,1.44957696870305,-0.922672135043894,-0.197628474224424,-0.438451085769081,-1.05573281657634,1.19499046813167,0.256440241386987,0.325836070653009,0,-0.227229167524448,0,0,1.03427502272085,0,-7.02341668748474,0
