,BTC,ETH,XRP,LTC,BCH,BNB,EOS,BSV,TRX,XLM,ADA,XMR,LEO,DASH,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.487537738180608,0.474158881161394,-0.463242616164726,0,-0.155760775052887,-0.466228534903907,0.0469494276593855,-0.179395769776195,0.422168365185336,0,0,0,1.01763619907814,0.0627995674169014,-0.0265472051071244,-0.4803390169828,0,0,0
ETH,0.20132820827761,0,-0.114071085093174,0.217706972128047,0.549339359604224,0,0,0,0,0.0749114738919811,0,3.46944695195361e-18,-0.153134807713511,0,0.0480995994420702,0,-0.0466862375624749,0,0,-0.0407984404378808
XRP,0.264634793040067,-0.185107566004229,0,0.168639640895612,0,0,0.374532859306199,-0.231161846826397,0.0601627814007047,0.142453091845148,0.207244628687121,0,0.175992879473886,0.0768751148939625,-0.019167667298154,0.227216400044073,0,0,0,0.134108412874244
LTC,0.0926053903428468,0.0346244012692058,0,0,0,0,0.443581901181002,0,0,0.217875746678182,3.46944695195361e-18,0,0.320386392652308,0,0,0,0,0,0,-0.000649485720119192
BCH,0,0.562799346339051,0,0,0,0.097949441432133,0,0.441496840304124,-0.137111150591188,0.229589030199695,0,-0.147644453439322,0.227913061133582,0.127766044249353,-0.0652185141344055,0,0,0,0,0.0840288118387132
BNB,-0.241459461541034,0,-0.447780286715081,-0.102033961265707,0.0610082716630077,0,0,0,-0.101361738713328,0.291100703673031,1.02479433668481,0.0587271099787344,0.330586960111292,0,0,0,-0.214376754527917,0,0,0
EOS,-0.053609701235236,0,0.683496271994881,0.174072361911516,0,-0.150287144409302,0,0.318695444024582,0.211514202440673,0,0,0,0,0,-0.0501833100641942,-0.143518407602137,-0.049256626543199,0,0,-0.0750362221238976
BSV,0,-0.722421939650345,0,0.189539061900312,1.29772936209579,-0.139088045945766,-0.404360313084419,0,0.224027113096279,-0.121739508907372,0,0.498151829182211,0,0,0.178809198120561,-1.38777878078145e-17,-0.719504165464475,0,0,0
TRX,0,0,0,0,0.226244518580221,0,1.38777878078145e-17,0.543125566540654,0,0.264222483921193,0,0.141219708211784,0.0804325878925384,-0.272809086757242,0.0188849962151409,0,0,0,0,0
XLM,0.000435076114392585,0,0.41067786075158,0,0,0,0,0,0,0,0.520847030107915,0.0526875491123085,0,0,-0.0132478652459458,0,0,0,0,0
ADA,0,0.156580125326602,0.223264363803707,0.111736413258166,1.73472347597681e-18,0,0.0418865450266627,0,0.024127112773186,0.329222381316278,0,0.0303979901683662,0,0,0.0115046082109222,0,0,0,0,0.0699534481864192
XMR,0,0,0,-0.312869262214229,0,0.187015763742006,0,0,0.839670832246176,0.22880479968469,0,0,0.522278222340737,0,-0.202776897303016,0,0,0,0,-0.174801478839171
LEO,1.73472347597681e-18,-3.46944695195361e-18,0,0,0.278136763630848,-0.325483593410762,0,0,0,-0.153001706631393,0,0.330546326402108,0,0,0.1804164302404,0,0,0,0,-0.196187485414141
DASH,0.342620487828425,-0.058617880378986,0.00666480149437112,0.233035649065449,0.447392586532771,0,-0.00532956885196269,0,-0.211013846187566,-0.266651978171783,-0.404396205899393,0.542593359423785,0,0,0.116734068304062,0,0,0,0,-0.064140527058667
LINK,-0.778128797608994,0.89268337192215,-0.371980111188222,0,-0.234891366385767,0,0,0,0.606425804852033,1.94751247137872,0,-1.4501713907901,1.18473227744598,0,0,0.0646905697528229,0.253512151343204,0,0,0.094108787937278
BV010082.Index,0,-0.0977264090637081,0,-0.213199166891397,-0.0740218622657456,0.418238809308826,0,0,0.267545262329614,-0.175635606827091,0,0,-0.420662833832137,0,0.101048841294053,0,0,0,0,0.310335986743032
CVIX.Index,-0.203299326980075,0,0,0,0,0,-0.205067009170461,-0.693202980251502,0,0,0.329931593504763,0.243439904224256,-0.301972260482412,0.490874923844442,0.262535504095055,0,0,0,0,0.055342007255915
DXY.Curncy,0,0,0.00652972220121285,0.0215459582478982,0,-0.00793806050552011,-0.0275703218189626,0.0115598253836242,0,0,0,0.00188066135358732,0.00302565314894831,0,-0.00915377667727273,0.0626308701701244,0,0,0,0.00542120714966297
SPX.Index,-0.0293282631327413,-0.0294479142841247,0,0.0211279174627311,0,0,0,-0.00614374821679096,0,0.0279129473802103,-0.0119077651041378,0.00341531590750082,0.00705415849711337,0.0430837443973731,0,0,0,0,0,-0.0496812458845203
VIX.Index,-0.520674018274355,0.694166726190693,1.92795641078799,-0.552483831985841,0.0648663323068592,-0.183405178064876,-1.00282580064549,-0.0544705276695498,0,-0.377800517812676,0,0,0,0,0.128125821565566,0.619957658758841,1.11635415331938,0,0,0
