,BTC,ETH,XRP,LTC,BCH,BNB,EOS,BSV,XLM,ADA,TRX,XMR,LEO,DASH,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.24319279034594,-0.0944263695506338,-0.00585261253115128,0.0990110614784317,0,-0.0321045597185721,0.0640937719231456,-0.0326217101950236,0.34432543890545,0.263452070717741,0,-0.431809678120627,0,0,0.0589377156833898
ETH,0,0,0,0.33807488743613,0.282665274952986,0.339136948176415,0.0379788917862363,0.0859256843858443,0,0.0857468594536688,-0.192244173266976,0,-0.263459485444082,0.21271185765289,0,0.0723868253158994,-0.282995071549142,0,0,-0.168776171691513
XRP,0,0,0,0.200843926612322,0.285348676857772,0,0.0829155330670062,0.0985300867048607,0.0655971342776009,0.312404899318044,0,0,0,-0.0851498772020678,-0.167708251952853,0,0,0,0,0
LTC,0,0,0.414254026717107,0,0,0,0.291660758902588,-0.0854051879034793,0,0.119072098519799,0,3.46944695195361e-18,0,0.0793655787783933,0.160880442594414,0,0,0,0,0.00733535878934546
BCH,-0.255633311552406,1.58120863548828,0,-0.231732805494965,0,-0.619249961571217,-0.215820189042048,0.074050710118706,0.908216290232351,-0.173876649552787,0,-0.543068008165074,0.664672064310048,0.205131575984487,0,0.265020299253231,0,0,0,0.393951878814192
BNB,0,0.187170439213917,0,0.165204051952871,-0.141025082749667,0,-0.152995858190516,0.180538210412867,0.124973052518305,0,-6.93889390390723e-18,0.104494031871071,0,0.16346289031745,0,0.104010760106346,0.0750198194364382,0,0,0.0396440138599323
EOS,0,0.199710035672831,0.786780862133063,0,0,0,0,0.101038909714735,0,0.00374987069579238,0,0.0136103132833044,0,0.276032941744721,0,0,0,0,0,0.0481553600709534
BSV,0,0,0,0,0.469878489876466,0,0,0,0,0,0.310008608535717,0,0,0,0.248311417818848,0,0,0,0,0
XLM,0.123301392643489,0,0,0,0,0,0,0,0,0.623246127044934,0,0,-0.094313671978622,-0.099230480173412,0.0750487798388058,0,0,0,0,0
ADA,0,0,0.485722205078062,0,0.0252693582697298,0.392914559419641,-1.73472347597681e-18,-0.0344497071479363,0.111967326741707,0,0.0799197472485483,0.141704153505208,0,0,0,0,0,0,0,-6.93889390390723e-18
TRX,0.241827189271922,-0.953647275249246,0,0.703742359907579,-0.0721282448285074,-0.146872483366209,0,0.378284288643814,-0.76005474552965,0.891522744110276,0,1.11449063600329,-1.4683032739415,-0.146308106153531,0,0,0,0,0,-0.116483997699901
XMR,0,0,-0.175895693616103,-0.185040219890929,0,0.510032918325184,-0.135050857342214,-0.102025643035325,0.276543549853871,0,0.305725955471647,0,1.04772017699135,0,0.237033822151279,0,0,0,0,0.0160180584670444
LEO,0,-0.774406255721364,0,0.311742920218149,0.0872965279281537,0.171098576983425,0.205029524613801,0.130736205766482,-0.458664169010103,0.335037512838026,-0.307373845072521,0.509486063968671,0,0.0307405804222926,-0.0163428356528273,0,-0.146328605397797,0,0,-0.126971246446156
DASH,0.564520464846021,0.218904749834504,-0.664862454484873,-0.170554538813107,-0.23176413160198,0,0.0599846439012361,0.217805218958882,-0.346747652069365,0.705350115912727,-2.77555756156289e-17,0.0904022399143799,0.042657554436686,0,0.157298805149475,-0.257782061010618,0.226985129844291,0,0,0
NEO,0.373003455405084,0,0,0.308792860364902,0,-0.322989318243257,0,0.189879314847246,0.0637148022395848,0.287074377131948,0.10995429033951,0.115055696861969,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0.605234161463506,0,-0.169516338151778,0.0985005075398686,0.394723691448189,-0.0631793385821984,-0.155553528900278,0.19728516326071,-0.157323547339603,0,0,0,-0.293142796687694,0,-0.169651079749669,0,0,0.309159817211432
CVIX.Index,-1.66520682275777,0,0.248718482333275,0,0,0.4839375363935,-0.268119666207997,0.0144758611317102,0.287647770177897,0.0289384272899987,-0.145250961236822,6.93889390390723e-18,-0.00680057066786384,0.701309325349028,0.349634847739019,-0.0614325624151569,0,0,0,0
DXY.Curncy,0,0.0100236582569826,0.0272136752069046,0,-0.00859437979185539,0,-0.0174902590839414,0.0171878662632979,-0.0271828773625077,0.00311648849302422,-0.008836097607429,0.00623502674036019,0,-0.0228259922451799,0.0152865152785469,0.0582169186861421,0,0,0,-0.0043463145336754
SPX.Index,0.00628106953397703,0,0.00233431429661666,-0.0237952378799408,0.0132436496053688,0.0275445072381024,-2.16840434497101e-19,-0.0135150324973113,0.00768030153646932,-0.0255287873638976,0.0113123103662544,0,-0.0193751963255697,0,4.33680868994202e-19,0,0.0183745214499967,0,0,-0.0681605066544156
VIX.Index,0.030003695605962,-0.387416628696311,6.93889390390723e-18,0,0.267730124850242,0,-0.190793785156121,-0.148227121810427,-0.0333445100013486,0.111656654138008,0.204771465642667,0,-0.269906293805023,0,0.169159013092335,0.343512014593437,-0.194380246436114,0,-7.1010070137153,0
