,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,ADA,TRX,XMR,LEO,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0838920081762791,0,0.369915570623478,0,0,0.221969033359495,0,-5.93001476885347e-05,0,0.211296670230615,-0.0771870401774116,0.0592458470761832,0,0,0,0,0,0,0
ETH,0.318599073332725,0,0,0,0,0.0926446028966636,0,0.0477710272263314,-0.0659530827406228,0.211608892458875,0,0.0673513554419824,0.130646237084445,0,0,-0.1362902950001,0,0,0,0.00627436671448596
XRP,0.383524989011666,-0.30128705776963,0,0,0,0.153108717578537,3.46944695195361e-18,0.310108412399614,0.138829097756917,-0.0968833543643099,0.292062037452266,0.0957477571794289,-0.210551731707523,0.0806655900226541,-0.152005083562573,-0.108760357103583,-0.195089175257773,0,0,0.0437435779284523
BCH,0.147325489488418,0.456066897574214,0,0,0,0,0.0294603035402525,0,0,0,0.0728906068832703,0.0722503883929355,0.131973627447085,0,0,0,0,0,0,-0.0227699635178711
LTC,0,0.0615295055583488,-1.73472347597681e-18,0,0,0.409382880258629,0,0.242460447735485,-0.0322288606690973,-0.281852054809543,0.227889278956571,0.268871041159394,-0.136075841463011,0,-0.000353346287942088,-0.182303515056183,0.125196879429857,0,0,0.0235542671000739
EOS,0,0,0,0,0.378090880714784,0,0,0,0,0.352294661510727,0.191527012267589,0.116936958765368,0.0249768824312542,0,0.00427219094577515,0,0,0,0,0
BNB,0,0,0,0.296459892187149,0.172114882769546,0,0,0,0.0791909167202681,0,0,0.125904641442541,0.205380931534832,0,-0.0568365554141597,0,0,0,0,-0.057654723628986
BSV,0,0,0.598444202608692,1.12914054745033,0.525441920495359,-0.258136437993339,-0.697010662971556,0,-0.280185518048653,0.820379199112731,0,-0.408620654129662,-0.0685527655344982,0,0.133306027423096,-0.240461467253398,0,0,0,-0.0360318726323087
XTZ,0,0,1.83716939176551,0,-0.362363795783247,-0.420347573453124,0,-0.955437085646997,0,1.66177305039874,0.39048534667259,-0.524479311479745,0,0,0.158428205773354,0.25176929932793,0,0,0,-0.0545750802377936
XLM,0,0.430167663152539,0,0,0,-0.0800496882807961,0.17517217745565,0.308088902842414,0.0234380504540809,0,0,0.0416077923025037,0,0.344932742081431,0.0701440615317574,0,0,0,0,0.0592286658124236
ADA,0,-0.141491696815893,0.612257821493039,0,0.156700903795635,0,0.151690972760353,0,0,0.0586950231597705,0,0.0367933025118244,0.1837204057136,0,0.211748919261036,0,0.0558152990481855,0,0,0.0159194155099842
TRX,0,0,0,0,1.17312574039304,0.306647572672091,0,0,8.67361737988404e-19,0.19325224933779,-0.544477870489402,0,0,-0.0137267357359448,-0.146601980618228,0.630530897302232,-0.514793753552657,0,0,-0.069481925241966
XMR,0,0,0,0,0,0,0.595365263249422,0,0.00644859619799935,0,0,0,0,0,0,-0.202506281627446,0,0,0,-0.033270215079557
LEO,-0.297854697292062,0,0.170015967559296,-0.0584707636286948,0,0,0.292661662798427,-0.0788173401185127,0.0596030328629678,0.124398656158753,0,0,-0.0263118044032606,0,-0.133085225274263,0,-0.216472980776758,0,0,0
ATOM,0,0,-1.05856989064555,0,0.708936527439522,1.3746304718371,-0.856033759507555,0,0.494196630804857,-0.422751801771342,0.762289450206604,-0.461254152994093,-0.1552300370623,-0.488549939346166,0,0,-1.43089733056233,0,0,0.0425679614400348
BV010082.Index,0,-0.368405984712692,0.242658037562745,0.75758310427836,-0.86567263317862,0.212735449325239,-0.40396726809324,0.0116305693754016,0.0135215111308453,0,0,0.461075482175125,-0.144663753998314,-8.67361737988404e-19,0.0742555696672764,0,0.418379013734136,0,0.405334787301934,0
CVIX.Index,0,0,-0.47735474953755,0,0.336040757936521,0.529788211873528,0,0,0.223395994314896,0,-0.127839208577993,-0.106019730766121,0,-0.889951234332405,-0.390358618539241,0.592582007705075,0,0,0,0.0768758849683376
DXY.Curncy,-0.0327280325615963,0.0380653465243588,-0.0324066819108314,0,0.0561979587801204,-0.0386978646357806,-0.00919581995556358,0,-0.0164126388275676,0.0394478753340443,0.0604625570754766,-0.0121485737333767,-0.021463871184434,0,-0.0222963131643518,0.0648885549358975,-8.67361737988404e-19,0,0,-0.00882855913125821
SPX.Index,0,0.0539029374593891,0,0,0,0.00828526547918784,0,0.00592523483131524,0,0,0,0,0.00372633825790524,0,-0.0250338129473738,0.0917906276623822,-0.0166099023375809,0,0,-0.0402923998775033
VIX.Index,0,0,5.55111512312578e-17,-1.13491159844657,0,0,0,0,-0.0750517569739213,0,0,0,0.866258275041381,0,1.38777878078145e-17,0,1.13990139114683,0,-4.74350264524676,0
