,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XMR,XLM,TRX,ADA,XTZ,LEO,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.143010162894772,0.00969828701713133,0.240103243024153,0,0.0337944082274865,0,-0.116793049320176,0.205788033829897,0,0,0,0.00972958714920995,0,0,0,0,-0.0773905211130483
ETH,0.102238013590445,0,0,0.129136170220475,0.266382529639619,0.0392433104474787,0.101739729706206,0,0,0.0677133669988027,0,0.262626777620835,0,0,0,0.265625239675271,0.249417244395811,0,0,0.0120263837401611
XRP,0,0.214877125735369,0,0,0,0,0,0,0.271557744657563,0.459870592635841,-0.0542379616514284,0.0922168703633205,0.0765924378269932,-0.119751603149663,0,0,0.294817199473497,0,0,0.181647503888879
BCH,0,0,0.178732442889515,0,0.25649359211085,0.227588932787667,0,0.29227723699261,0,0.386783823365688,0,-0.275551347327734,-0.140897783223429,-0.0569684990560293,8.67361737988404e-19,0,0.176601875549697,0,0,-0.020917225268674
LTC,0,0.241244750656519,0,0.0544595559726011,0,0.572920701066722,0,0,0.0141472621137578,-0.169367354298321,0.238669759455384,0.111986281982774,0.0179972578439176,0,0,0,0,0,0,0
EOS,0,0,0,0.139994399500181,0.0512095922766277,0,0.915482208546725,-0.0136537630364617,-8.67361737988404e-19,-0.100220444361115,-0.118034548826098,0,-0.00971785608943468,-0.110892439627307,0.175125128197135,0,-0.0898718832596181,0,0,-0.0851486391717958
BNB,0,0,-4.33680868994202e-19,0.00628704044119867,0.184792372878731,0.322655557054521,0,0.135355712548132,0,0.150117417505329,0.143282611437216,0,0,0.00602285738611081,0,0,0.0975870041323555,0,0,0.0645498385932197
BSV,0,0,-0.499275419008447,1.16789308735396,-0.0492529331764364,0,0,0,0.174502499807135,-0.447621329697673,-0.286897241621456,0.829826385039089,0,0,0,0,-0.204973551525138,0,0,0.467149682991504
XMR,0,0.884637874807128,0,0.156503668738965,0,0,0,0.0313432038120167,0,-0.222983934271325,0,-0.0570835419136878,0.096068559479951,0,0,-0.629845854228109,0.0576807801277978,0,0,-0.161668197997674
XLM,0,0.587170708447662,0.452793077902314,0.274254681963105,-0.50608510421465,0,0.00819751333170902,0,-0.24476211996434,0,0.204142171149699,0,0.0448924864584991,0.133870933702985,0.0951280356022774,0,-0.476629240403431,0,0,3.46944695195361e-18
TRX,0.200923013829237,0,0.0473456988726013,0,0,0,0.657817324023571,-0.0864133446702511,0,0.0812486350187162,0,0,0,0.645874403153569,0,0,0,0,0,0.059116971122385
ADA,0,0.472748879453101,0.155693567371859,-0.421770580873632,0,0,0,0.221944998233432,-0.0414169609640435,0,0.239190771840254,0,0,0.233657054781036,0.246359987584292,0,-0.10935679467301,0,0,-0.152090659607481
XTZ,0,0,0,0.234096091228692,0,0.0280583760702684,0,0.408252929234872,0,0,0,0,0,0,0.263818185832308,0,0,0,0,0
LEO,0.530872307100444,0,-0.0903075241088387,-0.0486937039197316,0,-0.482154336142601,0,0,0,0.400352392731163,0.07821138849139,0.291048720398816,-0.0378590661954944,0,-0.155421263404028,-0.585200066330631,0,0,0,-0.201318600962248
ATOM,1.57504651483362,-1.12386820219464,0,0,0,0.657814929855555,0,-0.439450953928278,0.305530784985233,0.577508606562524,-0.595434962611426,1.00359877614155,0.105018653343169,-0.658824197529533,0,0.410297806528099,0,0,0,0.147233063009688
BV010082.Index,0.0469479100412789,0.406887186644024,0,-0.133295540908231,-0.262719932590159,0.0786143881129,0,-0.0510420459854876,-0.0984274999117966,0,0.133924640197356,-0.224304260168517,-0.00048197045354733,-0.0829351873834612,0.0570981834008478,0,-0.145073494631302,0,0,-0.187361580686752
CVIX.Index,0,0.724688078513999,0.14839927658463,0.182258410261157,-0.060366700581995,-1.85763708797624,1.96614102309301,0,-0.324806049549693,-0.847738414228385,-0.127672322618992,-0.715155978394027,0.0306674289289079,0,0.662452079773413,-0.156725144589648,0,0,0,-0.519634504265299
DXY.Curncy,0.0886019853169098,0,0,0.0183457847979719,-0.132427137885956,0.0637907617737857,0,0,0.023403386673628,0,0,-0.0105102624749402,0,0,0.00807294362859134,0.0292630457093351,-0.059199930506906,0,0,0
SPX.Index,0,-0.0438044479649402,0,0.0426901719329752,0.0214313586397541,0.0752031754072751,0,-0.00535332984889727,-0.0714582260194484,-0.0200184050034893,0.0075805578785302,0,0.00269722010882272,0,-0.033169087387187,0,0.0120029071492463,0,0,-0.0691907581368936
VIX.Index,0.240049174066884,0,0.890650201528029,0,-0.90909333126266,0,1.49251073784671,0.0252345140495042,-0.927723380877622,-0.596394488496623,0,-0.354252366299949,-0.142545803677378,-0.219277781639197,-1.38777878078145e-17,-1.55456495057351,0,0,-2.31067772300662,0
