,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XLM,XMR,TRX,ETC,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.210251050628402,-0.0551667551122416,0,0.205407073437409,0.0309686793321723,0,0,0,0.145954427050515,0,0,0,0,0.00438549846979451
ETH,0,0,0.330113291733055,0.133452901757225,-0.0552396235969839,0.207584993135449,0,0,0.267129965380697,0.209894709960161,0,-0.317255427021521,0,0,0.177837322864379,0,-0.231236402655793,0,0,0.0293615043446909
XRP,0,0.267017370904007,0,0,0,0.0534014777622376,0,-0.0841914084418578,0.141292709920585,0,0.417357431224639,0,0.152822511574272,-0.0277581520078505,-0.0991880988385204,0,0,0,0,0.0535520379687651
BCH,0,0.0743248495168216,0,0,0,0.161518363195305,0,0,0.0254712985926881,0,0.0479189784384168,0.249603635118431,0,0.219902145581135,0,0,0,0,0,0
BSV,0,0.892727066868894,0,0.30021203965372,0,-0.633379858149482,0.779008546336792,0,0.136222755747319,0,-0.934668603396509,0,-0.480915759056052,0.289776388339658,-0.110350296357231,0,-0.416310713685408,0,0,-0.0337565343397342
LTC,0,0.366561467693584,0,0,0,0,0,0,0,0.355328262617481,0,0.0535133247642937,0,0,0.0517899192543348,0,0,0,0,0
EOS,0.399182101808431,0,0.0793879583822803,0,0.338358941487104,0.123677450507568,0,0.136766133886432,-0.13769761056361,0.244816678108564,0,0,0,-0.0594308789773447,-0.0287539056574221,0,0,0,0,-0.0479489602800027
BNB,0,0.269230758307737,-0.589755648795442,0.081459385765896,-0.161523941894661,-0.175385033936575,0.425237278616633,0,0.177662883172576,0,0,0,0.501014329890491,-0.10503064665089,-0.192056357630486,0,-0.240399320757639,0,0,0.0275061070364241
XTZ,0,0,-0.26560447566415,-6.93889390390723e-18,0.0125634945770557,0,-6.93889390390723e-18,0.462405125061008,0,0.0234773722467994,0,1.25212101983625,0,-0.182759852072218,-0.321973074087246,0,0.310340295100203,0,0,-0.0709480559297834
ADA,0,0.0608506750162929,0,0,0,0.196862636882545,0.282360626156456,0,0.0473604269802597,0,0,0,0,0.233358461093817,0,0,0,0,0,-0.0910118165121452
XLM,0.755526592433439,0.749064294543305,0.947646708488901,-0.660468685124835,0,-1.38777878078145e-17,-0.403642964438424,0.30273200796173,0.149098068349081,-1.02492011642682,0,-0.140934044341878,0.152920739662416,0.831773498243567,0.0493844697000563,-0.923354992289546,0.320662825402787,0,0,-0.299362842437065
XMR,0,0,0.207785600605959,0,0,0.00617775028700137,0,0,0.259981918588042,0.184537761087546,0,0,0,0,0.22123245867861,0,0,0,0,0.0446219236879113
TRX,0,0.0107289792338546,0.229301504955483,0.209300820495142,0,0,0,0,0.0965968617529128,0,0,0,0,0.171210286439151,0,0,0,0,0,0
ETC,0,0,-0.413694631277885,0.639441742626505,0.0752302456707001,-0.460460903629268,-0.118615748160018,-0.306814164680052,-0.239529862252769,0.871095889493133,0,0.633372277646782,0,0,-0.101248209044126,0.130644969417199,-0.236188933858499,0,0,0.0909252772058502
LINK,0,0,0,0,0,0.337006937634302,0.077393733221815,0.297496709009333,0,0,0,0,0,0,0,0,0,0,0,0.0577072410178256
BV010082.Index,0,0,0.0669356361709614,0,0,-0.128840154469272,0,0.0601800615366463,0,0,0.0298013627222357,0,0.051726762122211,0.0851749718941507,-0.0713649782137138,0,-0.225336221976415,0,0,-0.0983425475588168
CVIX.Index,0,0,0,0,0,0,0,0,0.0926002454690016,0.0850835526340293,0,0,-0.570723006451107,0.0729398066182669,0,0,0,0,0,0
DXY.Curncy,0.0211938484702977,0,0.00990873414498794,-0.00456521292696473,0.0240545388030265,-0.0254006483863523,0,-0.0069699737065419,-0.0170641590820838,0,0,0.0115709403078303,0,-0.0196832899623207,0.00891230350128091,0.0120013349823909,-0.0431511293571033,0,0,-0.00642616648534347
SPX.Index,0.0298093333486104,0.0292953914463367,-0.0302027073468794,-0.00801566354845262,-0.0121066023460709,-0.0210598920914892,0,0,0,0,0.0107306303891177,-0.00905052903721793,0.0357207757569283,0,0.0113291569685204,0,-0.0284500736103487,0,0,-0.0798893506487973
VIX.Index,0,0.21582754809768,0,-0.184178673744609,0.0455428081136307,-0.206111195348941,0,0.239224329931865,-0.0804859915815089,0,0,0,1.06725269791458,0.00469024277179583,0,-1.30808307513479,0.871592924058489,0,-5.81868801784052,0
