,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,ADA,XMR,XLM,TRX,LINK,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0431071755892826,0,-0.07567181052464,0.239955867446574,0.311406090788083,-0.0869259961112909,0.0454365035781636,0,1.73472347597681e-18,0,-0.0431577746957734,0.0868056197663519,0,0,0,0,0,-0.0261744658562822
ETH,0.111752897557429,0,0.314107789079735,0,-0.016641164729139,0.0698954886394903,0.0341903063922174,0,0,0,0.113801757757431,0,0.232057983394274,0.182925457761547,0,0,0,0,0,-0.0318794694600375
XRP,0,0.190158123926847,0,-6.93889390390723e-18,0.0131906409330684,0.0356374539858438,0.105379335006098,0,0.154744421540483,0.10643784285757,0,0,0.125353913990036,0,0,0,0,0,0,0
BCH,0,0.053398078870152,0,0,0.112244571212446,0.276695191375132,0,0.0565528311851014,0.0343910625894966,0,0,0,0.140507016399858,0.0547613649533626,0.234158245578704,0,0,0,0,-0.00122640496953002
BSV,0,0,0,0.548691366945834,0,-0.208350138674819,0.0842511658738242,0.388993308399815,0,0,0,0.135906136132608,-0.190547573660633,0,0.377794567632716,0,0.157955554795289,0,0,0
LTC,0,0.393758757309607,0.0999179089439835,0,0,0,0.00802850771235236,0,0,0.209847318848547,0.0587645332320596,0,0,0.0645019757972471,0,0,0,0,0,0.0218581687679386
EOS,0.47020886260636,-0.0914680600455019,0,0,0.416720509910972,-0.141266026509935,0,0.195758394870622,-0.313116805332375,0.683004231983993,0,0.21353574247441,0.0530183462518714,0.0168423046232433,0,-0.196526866386508,0,0,0,0
BNB,0,0.210440123091907,-0.284311045129235,-0.0651113667859743,0,0.047184322322185,0,0,0.148681691804836,0,0,0,0.326587174919093,0,0.26852381259456,0.0302019521337268,0,0,0,-0.0922940873369105
XTZ,1.27147112443334,0,-0.0554331342733409,0,0.979515058433326,-1.365701914713,-1.79472572989521,0.0623418411527182,0,1.99376248060729,0.447015252813114,0,0.43897081711512,0.256292240181405,0,0,0,0,0,0.108016630500691
ADA,0,0,0.091622653591957,0.200448789030046,-0.0686788618106393,0,0.27097843452739,0,0.0668121296391188,0,0.0230593091614407,0.362275413905249,0.0124576860580119,0.0163264545579656,0,0,0,0,0,0.032159963049873
XMR,0,0,0,0,-0.0951153633351847,0.0881945086603991,0.0966413562986387,0,0.024520165890209,0.774708955089358,0,0,0,0.182449240719997,0,0,-0.189335300346418,0,0,0.0930157963055736
XLM,0,0,0,0,0.0251898104955287,0,0.183209984931813,0,0.19227872335065,0,0,0,0.357226137720121,0,0,0,0,0,0,0
TRX,0,0.0608343201183234,0.221312777737099,0.356136226130087,0,0.000410382605905882,0,0,0,0.29029076885598,0,0.0611153527695596,0,0,0.17699625765119,0,0,0,0,0.0837805335859746
LINK,0,-0.0976240839636641,-0.146955853119508,0.0234252372835176,0,0.44830527342921,0,-0.164757432013261,0.32719351304968,-0.691930887843697,0.291077705123479,0,0.606118045633573,0,-0.215979587736149,0,0.461390285626577,0,0,-0.215982981083868
ETC,0,0.176816045615703,0.346472377304881,0.560883230642999,0,0,0.326305907319251,0.108827784593494,0.044892389752755,0.0842716836517284,-0.261348015448771,-0.29934184482986,-0.0912278127760196,-0.102754718672199,0,0,0,0,0,0.166847650146471
BV010082.Index,0.144536920717663,0.159543841816491,-0.0129417165134137,0.102972110275416,0.0270578398380959,-0.160529951016226,-0.236496623620569,0.0634242762766034,0,0,0,0.13324193334296,0.0505779301513288,-0.0935528940338204,-0.00557521650750019,0,-0.0176312097868626,0,0,-0.114391954218143
CVIX.Index,-0.80735314767146,-0.0596267144592959,0,0.221893456201936,0.127407362323689,0,0,-0.0522666360056401,-0.0154368824503468,0,0.363538269582163,0,-0.316648269384748,0.0670380787925621,0,0,0,0,0,0.152216602667758
DXY.Curncy,0.0389590513899875,-0.0302104796802651,0,0,0.0337174742492751,-0.0508137204122468,-0.0279055778986084,-0.0190808464726284,-2.16840434497101e-19,0,0,0.0588069413642801,-0.00931195145796032,0.0166453350077536,-0.00069034006782839,0.0541275025526847,0,0,0,0
SPX.Index,0,0.0313133104570773,-0.0142519589079278,0,-0.00540019299366227,-0.014726770685698,-0.00227885167123235,0,0.00651367404928041,0,0,0,0,0,0,0.0533996329131503,0,0,0,-0.076049134338873
VIX.Index,0,0,-0.327252124147607,-0.405787620169911,-0.0792818571600788,0.581811650074798,-0.301101784997843,0.295398538583329,1.38777878078145e-17,0,0,0,0.238756044668742,-0.028516122273986,0.408988595080098,-1.47889719111698,0.116321131109286,0,-3.95068910425091,0
