,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,XMR,TRX,HT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0520793594848315,0,0,0,0,0.0606378243046868,0,0,0,0.157372869392651,0,0.208865462773168,0,0.0107807038888756,0,-0.00282983506099572,0,0,-0.0277717542244722
ETH,0.529721908459199,0,0.247525901260455,0,0.0444387348008872,-3.46944695195361e-18,0,0.0933575756475711,0,0,0,0,0.0778593304449762,0.137033353189168,0.0655755624160006,0.121603774179301,-0.0310695368869045,0,0,0
XRP,0,0.33242803212576,0,0,-0.0117923996359962,0.148862725385319,0,0,0.00804941461424191,0.060854926023228,0,0.283158057980292,0,0,0,-0.0785759249327913,0.023134794196342,0,0,0
BCH,0,8.67361737988404e-19,0.276978109168969,0,0.297337633003468,0.106576384030841,0.0654468291420826,0,-0.0390950264508528,0.0659842987401892,0,0.0499484184458481,0.224167301059608,0,1.73472347597681e-18,-0.00754374456094061,0,0,0,0
BSV,0,0,0,0.881599388746574,0,0,0.174117312925954,0,-0.0381615433948773,0,0,0,0,0,0,0,0.118093778645122,0,0,0
LTC,0,0.480472806637921,0,0,-0.0625957801874329,0,0,0,-0.155522135954243,-0.0440235700153999,0.0448107989506109,0,0.252268838674048,0.575477934916733,-0.0480118093414141,0,0.0666732587353238,0,0,-0.0658710434442653
EOS,0,0,0,0.216500265372899,0.0844252733524967,0,0,0.295941342813755,-0.287310901006644,0,0,0,0.0632679200686396,0.562296268072449,0,-0.128828362961783,0,0,0,-0.0414766954548091
BNB,-0.743254867551494,0.252868488859522,0,0.122950224442692,0.0706576175308417,0.0655246876641549,0.286273648098284,0,-0.0321759702182226,0.139876465298524,0.546161722369333,2.77555756156289e-17,0,-0.370045683267267,0.200336472345689,-0.170664330456473,-0.102037165820206,0,-0.287691668031441,-0.0994000159299407
XTZ,0,0,0,0,0.136430131569691,0,0,0,0,0.702512184350013,0,0,0.0910533787542008,0,-0.0863231003987373,-0.219063009480977,-0.424746778110872,0,0,0
LINK,0,0,0,0.0279800642244039,0.154855130944297,1.38777878078145e-17,0,0,0.51534536529862,0,0,-0.526077476480134,0.268063273659204,-3.46944695195361e-18,0.481534824406751,0.0582588236306951,-0.0704144520417428,0,0,0.0297997192077208
ADA,0.100173408337977,0.0486690545343957,0,0,-0.306955935202933,-0.0673697289247401,0,0.435209559889234,0.0793763217706854,-0.222530951712483,0,0.184986280836208,0,0.669888072255816,0,0.145599149436229,0.0586940426226306,0,0.653160579445416,0.0488668328946569
XLM,0,-0.150115599020224,0,0.313269746370266,0.0268389190142972,0,0.41403351014611,0,0.432204102049538,0,0,0,0,0,0,-0.00207658296191656,0.10398655477678,0,0,0.0335055710204842
XMR,0.56938482233077,0,0,0,-0.142000890561929,0.151590973050602,0.182295608471218,0,0.0498442029718483,0,0.14095218555329,0.257428934241498,0,0,-3.46944695195361e-18,-0.0155650533001862,0,0,0,0.043277813759581
TRX,0,-0.00284402905514066,0,0,0.127759836567476,0.361735581772735,0.303520506749147,0,-0.00382625618811624,0.202810991643219,0.288965813127306,0,-0.113784492398871,0,0.0236562930113445,0.00424199204706668,0,0,0,0.105486208554829
HT,0,0,0,0,0,0,0,0,0.429442537958721,0.0345958479016617,0,0.126507262521209,0.525198074544974,-0.243660643873577,0,0.0582678287017611,0.0703219185653391,0,0,-0.00277661753655603
BV010082.Index,0,0.360219453758134,0,-1.07882216175129,1.36107179166761,0.920637863591854,0,-2.00549285793615,-0.537514919299043,0.959349290551602,1.39817614007814,0,2.77555756156289e-17,-1.71278320374258,0.0890766292452393,0,-0.225320484041236,0,-1.41674140575817,-0.142321510620244
CVIX.Index,0,-0.811616106521151,0,0,0.231719813073035,0.170227959175417,0,0,-0.2299523744772,0.125955126120107,0.130100738736317,0,0,0,0.276994107788566,0.101883479545319,0,0,1.11987983056955,0.245280267136391
DXY.Curncy,0,-0.0337137197638323,-0.0855785193570809,-0.0670524686393999,0.0747039023319737,-0.00552074873954078,0,-0.0545584112580958,0.0370703597184148,-0.0278295433172396,0.086963527824247,0,0.0171064786645627,0,0.0321824333061046,0.0131149606172575,-0.0291291016343898,0,0,0.0012101021357787
SPX.Index,0,0,0,0,0,0.0886781646658953,0,0,-0.0462896462194605,-0.00894978135161372,0,0,0,0,0,0.0440278180382024,-0.0184222026906945,0,0,-0.13609548266396
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274672298746089,-0.157205825339782,0,-3.28639521871031,0
