,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00289927943267184,0,0,0,0,0,0.0993919735658535,0,0,0.00163131357768461,0,0.0399257079857211,0.271472043069621,0.306775126811268,0,0,0,0,0
INNBCL,0,0,33.0208808215302,0,0,-33.9377705535992,0,-18.236828364355,0,4.50274578485655,4.47642409682527,9.38634687547757,8.88178419700125e-16,0,0,0,0,0,0,0
ETH,0,0,0,0,0.318658367184575,0.0363126002853103,0,0.127605709228708,0.32203286320081,0.0736522360982551,0.00683698786438131,-0.0759937044276426,0,1.38777878078145e-17,0.145497402496063,0,0,0,0,0
XRP,0,0.000986688780289521,0.0205828294413423,0,0,0.229653879817483,0,0.0505332869658931,0,0.0760199137800218,-0.0123534886895223,0,0,0.19613294748085,0,0,0,0,0,0
BCH,0,0.00213629375993121,0.266894916102425,0,0,0.211438700856843,0,-0.0572795640926021,0,0.160402893599937,0.0159447491785394,0,0,0.230269386584885,0,0,0.0425403428089254,0,0,0.0987585876084331
BSV,0,-0.00840949236706807,0,0,0.585922884244617,0,0,0.441573031675829,0,0.120681181942075,0,0,0,0,0.005318986009582,0,0,0,0,0.0264299551304238
LTC,0,0.000962838955891651,0,0,0,0.0253177440605117,0,0.139187125535223,0.443324242004812,0.117585136246756,0.00466764717160898,0.0597340683908249,0,0.051840995287003,0.0942631667961598,0,0,0,0.330858897554418,0.0921072083692024
BNB,0.968904159070962,-0.00585852084047806,0.145349642552709,0.335606543133316,-0.137367933361519,0,0,0,0,-0.0986444659806941,0,-0.0143472624175371,0.120974724873243,0,0,0.114317331124327,0,0,0,0.134272606116157
EOS,0,0.00505462130460871,0.272057971333788,0,0,0,0.540281155623037,0.0917968244919003,0,-0.0920293443838268,0.00573118847365998,0.115872885089847,0,0,0.0725854951332998,-0.238751272508971,0,0,-0.134903833327302,0
XTZ,0,0,1.3150082429885,0,0.102075898073223,0.341746932383527,0.487323701349283,0,-0.761373309037103,0,-0.00638470231357297,0.156041172296434,0,-0.556901807874928,0,0,0.086609699810601,0,0,-0.0683477050357658
TAGZ5,0,-0.033016970193321,3.68583901127628,0,0,0,1.7218429798515,-5.7367793162594,0,0,0,0.902518007997111,0.554997625771245,0.298013539326311,0,0,0,0,0,0
XLM,0,0.00318245966957563,0,0,0,0.303311510949762,0,0.11243959058183,0,0.0298601958507029,0,0,0,0.236692121305749,0,0,0,0,0,0
LINK,0,-0.0102525407949361,0,0,0,0.860196533334089,0,-0.0945341114511424,0,0.41814720136901,-0.0221737697967034,0.0443034830816793,0,0,-0.447449642748244,0,0,0,0.440590450502148,0.161645987227149
ADA,0.469566045947415,-0.000569792361445368,0.0945404772791115,0,0,0,0.176722793521331,0.0378527542515172,0,0.104530363486239,-0.00625244319499876,0.0735103822619809,0,0,0.10017014361346,0,0.0230160082409457,0,0,0
XMR,0.705410475316154,0.000803569707767143,0,0,-0.266692265299041,0.214773819096668,0.0558250231303906,0.0642095388356698,0.27369962768111,0.0295305812994376,0.0122079206178599,0.0252631675007457,-0.181096469069639,0.0211665320583804,0,0,0,0,0,0.0488462802823902
BV010082.Index,0.057820393779025,-0.00196267900978716,0,0,0,-0.085385193388474,0.421415746627068,0.171504412310297,-0.730397101523657,0.0535394268180286,0.0150022557292555,0.00693704056911816,0.0683235135372583,0,0,0,-0.109964393085274,0,-0.146865006823694,-0.0167778254528885
CVIX.Index,0,-0.00940235773771747,0.422691879009389,0,0,-0.144784570155782,0,0.0475342044275398,0,0,-0.037478066678925,0.0305677595253527,-0.18309056418572,0,0,0,0,0,0,-0.0309944331131094
DXY.Curncy,0,-0.000748251635030319,0,0,0,-0.00589568525167149,0,0,0,0,0,0.0106863779581029,-0.0107690255200227,0,0,0,0.0686172567739467,0,0,0.0268368001214684
SPX.Index,0,-0.00256454066597564,-0.172055467974983,0,0,-0.121582283743878,0.476059032846755,-0.0485383094834311,0,-0.166441375762044,-0.0147749641313624,0.0299447291029991,0.126654866184624,0.018703930001888,0,0,-0.277475385713218,0,0,-0.22483351544946
VIX.Index,0.296726900917797,0.0154022637011483,-1.63841057484544,0,0.186600488854126,-0.0787165867410763,1.74344887126418,0,0,-0.660633884508065,-0.0179424387131543,0,0.499193928355045,0,0,0,0,0,-3.29209969684241,0
