,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,OKB,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0657887242751049,0.00430410939250158,0.182915024349624,0,-0.0159133183775213,0,0,0.0785106377678913,0,0.0419079535814325,0,0,0.0923027442304008,0,0,-0.0202585239238897,0,0,-0.119058713591732
ETH,0,0,0.902878797056894,-0.0241764895454282,0.269009274828423,-0.0584775591445525,0.114727889732711,0,0.184464486864171,0,0,0,0.111581209490933,-0.181323016746906,0,0,-0.132215261633399,0,0,0
XRP,0.220009602120954,0.269681097638978,0,0,0.0444517651818034,0,-0.0691973752091144,0,0,-0.0465717958781638,0.0668939442472679,0.312246393966109,0.0122648669987526,0.0396241271278666,0.0473834139293718,0,0,0,0,0.0249635002784872
BCH,0,0.147220081815632,0,0,0.0447353567246875,0.0856929549141458,0,0,0,0.356735149658726,-0.11656526171232,0.288619738252641,-0.153117929438997,-0.0982930673390641,0.298946159336386,0,0,0,0,0.00662688914144357
DOT,-1.23450234755655,1.23058444195874,0,0,0,0.167161649873185,0.133194753410752,0,0,0,-0.76843657002563,1.38777878078145e-17,0.417740879262422,0.847471767275775,-0.0291827174713876,0,-0.236847515096903,0,0.966483992703331,-0.254044811214749
BNB,-0.469016403240269,-0.194848941216045,0,-0.805512579457266,0.208614950336388,0,0.683716451261356,0.658628721128409,0,1.38777878078145e-17,0,0.343169774779224,-0.070219057541108,0.712252907100747,0,0,0,0,0,-0.113126454758512
LINK,0,0.500386639116488,0,-0.825308494680703,0.0908589881867144,0.235272790175665,0,0,0,0,0.886060246883161,0,-0.436527235695728,-0.367521071721888,0.300030298573539,0,0.3204629166211,0,0,0
CRO,0.335619774605433,0.324486965480991,0,0,0,0.33138786908841,-0.241737896340094,0,0,0.281685912699025,0,-0.183897464841515,-0.0752679690770704,-0.172576119590471,0,0,0,0,0,0
LTC,0,0.242596515097897,0,0.0525686563839708,-0.0704131314949967,0,-0.026701620274511,0.0869792178650032,0,0.343714926307905,0.358242167316154,0,0,-0.0579435312045384,0.0462412420974545,0,0,0,0,-0.0692619229461925
BSV,0,0,0,0.698979076446167,-0.0792675779438217,0.0946612282548035,0.0894487713806672,0.296612811029569,0,0,-0.353753684754153,0.125443691610771,0,0,0.0575355964080549,0,0.216704804312577,0,0,-0.0232385001220047
ADA,0,0,0.213619393931055,-0.0726996579768038,0,-0.265505708944932,0.270880737039472,0,0.687977779130386,-0.245367896494007,0,0.225657435355307,0.138757282643529,0.244702766080652,0.11085186965085,0,0.0869949347551677,0,0,-0.0953523298170784
EOS,-0.127393575845038,0,0.773871484464808,0.203343320089677,0,0.0990504434475862,0.0569270328464375,0,-0.125488131607194,0,-0.0566289108047234,0,-0.277413639197246,-0.192228401752627,0.132933814164113,0,0.0741269020073818,-2.14125865657492,-0.976188900326937,-0.139347978470011
TRX,0.32102653917722,0,0,-1.18362771294892,0.381483820739541,0.26294800851934,-0.777576115896115,0,0,0.253466865808007,1.85000594380725,-0.56666964312716,0,-0.793383211482111,0,0,1.54542350159806,0,0,0.389303100514849
OKB,0.497174534475865,0,0,0,0.0713067810462364,0.438298866352613,0,0,0,-0.25948114961959,0,0,-0.223284998313738,0,0,0,0,0,0,0.164411052807301
XMR,0,-0.448990362731816,0,0.648462809715092,-0.0371942576349496,0.119752896096664,-0.0144317636616598,-0.186046939872904,-0.00529579450652544,0.139185880222054,0.755264405517812,-0.2783049007946,0.16899052052956,0,0,0,0,0,0,0
BV010082.Index,0,-0.0544010049483033,-0.0181119505224302,0,0,0,0.0127677464069363,-0.0119227329762755,0.00879638062086836,0,0.0266263870030933,0,0,2.16840434497101e-19,0.0397557179486975,0,-0.0141140832356112,0,0.0392833742355626,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0.246039687504439,-0.017176578075936,0,0,0,-0.0408104039455278,0,0,0,0,0.0489513867897607
DXY.Curncy,0,0,0,0,-0.0143830982072178,0.0126335553618656,0,-0.00858130916700795,0.0379157926351482,0.0018719898588344,-4.33680868994202e-19,0,0.00652072059161713,0.0147251095696055,-0.0338546139106864,0,0,0,0,0.0111026086806726
SPX.Index,0.12775175105347,-0.216179716044987,0,-0.134252030075802,0.16698325149546,-0.112002832374495,0.0925790963079413,-0.1080323263883,0.276900135826763,0,-0.0367967365494084,-0.148450123030299,-0.0944929376953823,0,-0.0176372678612689,0.0740892526374825,-0.0291593907340229,0,0,-0.154640797189533
VIX.Index,0,0,0,-0.149146911848834,0,-0.283808582068354,0,-0.477275337694512,-0.313713712517529,0,0,-0.546847992178335,-0.114837457153709,0.138938191944161,0.82015073266257,0,-0.0403556361503096,0,-1.313421550622,0
