,BTC,ETH,BNB,XRP,DOT,ADA,UNI,LTC,LINK,THETA,BCH,FIL,XLM,WBTC,VET,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0867786174538847,0.0176069647221871,0,0.00903986283428892,0.0559177240110427,0,0,-0.0700604593885322,0.000865583741016574,0.0305963204203911,0.0143551437297898,2.16840434497101e-19,0.815578593351143,0.0107254963729393,0,0,0,0,-8.67361737988404e-19
ETH,0,0,0,-0.0106117381556884,0.0874461495462944,-0.12021474183907,-0.00719233256010196,0,0.441359810809459,0.0137277779271268,0,0.0565332311162011,-0.0260966860076522,0.484099199875672,0,0,0,0,0,0
BNB,0,0,0,0.0259970287880675,-0.215523918946063,0,0.398344189132584,0.61753314962123,-0.292810560464954,-0.0330895484224628,0,0.111366700656837,6.93889390390723e-18,0,0.221048434080708,0,0,0,0,0.0781698548726815
XRP,-0.754041377938605,-0.733117998065782,-0.0634802698623798,0,0,0,0,0,0.122154046343419,0.14077546947789,1.98370935101587,0.0825533945604679,0.30401367336284,0,0.561611830828866,0,0,0,0,0.275394750667137
DOT,-2.77555756156289e-17,0.778114497116034,-0.177302128006389,-0.0325684018737045,0,0,0.580628167204878,0,-0.359239849945937,-0.0223385655253373,0,0.101661782281613,0.400639003417268,0,-0.0573068406301803,0,0,0,0,0
ADA,0,-0.0632360282389449,0.382122760803264,-0.0737140589245659,0,0,0,0,0.792097425143676,0.198556007701141,0,0,-0.360571092905132,0,-0.207831367117606,0,0,0,0,0.0381156041435268
UNI,0,-0.0695372148948424,0.129447035352785,0.108765919525039,0.647615393734916,0.192640442900336,0,0.587659206443694,0,0.0833902325148328,-0.684282117906369,-0.0889428161939011,-0.142827157072664,0.265680173772664,0.140857585557654,0,0,0,0.317769239830165,-0.226526855124283
LTC,0,0.365066961375415,0,-0.0376569535759964,-0.266202367557026,-0.0124613519900538,0.318985710560731,0,0,-0.121754754072459,0.476198801444642,-0.0228588779447885,0.200216415369108,0,-0.0732330125784623,0,0.232463068971074,0,0,0.0903623929227423
LINK,-0.26914826818626,0.680879859807361,0,0.0645305299986242,-0.0219945795569946,0.171485655588627,0,0.781887040955198,0,0.0767498834300619,-0.2781731625158,-0.0203432918110863,0,0,0.102024736993397,0,0,0,0,-0.0816595974484818
THETA,1.8069843695865,0,-0.416098886699089,0.392589175228874,-1.17020279696748,0.000552239727717061,1.42009747919673,-2.60801809373493,1.02358679494034,0,1.22033638418745,-0.262784990441097,-0.272683346927118,0,-0.742261870317084,0,1.01047191985075,0,0,0
BCH,0,0.288437446968804,0.0800982313494464,0.014354485792783,0.0480701797209662,-0.0854976630585669,0,0.373704207167473,0.172848242573602,0.093304462317573,0,0.0745410278505613,0.249692453241163,-0.244645943260796,0,0,0,0,0,0
FIL,0,0,1.24496362199589,0.143183366243018,0.576735873088522,0,-0.801942836496754,-0.939316436506525,0.188180889118885,-0.0492384797522148,0,0,0,0,-0.862965433831732,0,0,0,0,0.625849590970493
XLM,0,0,0.0508302352279407,0.278271943990381,0.350747186341091,0,-0.209874957983439,0,-0.52204560219277,0.0690023969510324,1.0117997670642,0,0,0.014089179761301,0.0969788501901756,0,-0.511704686726341,0,0,0.0567958480406975
WBTC,0.867680870729558,0.0132851027498688,0.0116570493925592,-0.0136141685999528,0,0.0248331793723329,0,0,0.00603045869419185,-0.00408956608311039,0.0277823031953555,0.00261728267265648,0,0,0,0,0,0,0,0.0181075499325256
VET,0,-0.0576098733260062,0.167018789324528,0.170756103425842,0,0,0,0,0.33721851489003,-0.235075183213072,0,-0.189328157596273,0.108320481297537,0,0,0,1.14883820575848,0,0,0.0503233844591488
BV010082.Index,0,0,0.0206437574987881,-0.0125675598496771,0.0304001682437952,-0.00520754759514572,0,0,0,0.00403413435196105,-0.0139790504091958,-8.67361737988404e-19,0,0,-0.00346461916768788,0,-0.0350887242003219,0,0,0.00916948098410896
CVIX.Index,0,-0.225117823309361,-0.129998226393594,-0.0359603047000541,0.0382062906885609,0.0699596901514964,-0.164139853316156,0.516714210878477,0,0.0397132370529528,0,0,-0.168097123722806,0.000284423030664623,0.0863888019738585,0,0,0,-0.0944375346026469,0
DXY.Curncy,0,0,-4.33680868994202e-19,-0.0024589066747433,-0.0252888061958128,0,-0.00296281752739899,0,0,0.00999711920150044,0,0.0127079421990513,0.000479697717940304,0,-0.0194605820336531,0,0,0,0,0.0232954009073309
SPX.Index,0,-0.0246473627797534,-0.084155801627976,0.0172745713392053,-0.0496655579975471,0.0493011094689752,0.0852072351396054,0,-0.0415383733420281,-0.0245494172403368,0.0691060392273281,0.0182757120012463,0.0106286247626442,0,0.018609640376665,0,-0.172159733286054,0,0,-0.0169597027886232
VIX.Index,0,-0.427298932615025,1.38777878078145e-17,0.118228164871657,0.72306343731441,0.541287275873945,-0.611908257061924,0,-0.262901345803722,0.0258859183880563,0,-0.128879844875735,0,0,0.494805446450274,0,0.663822413792243,0,-3.66257415731851,0
