,BTC,ETH,BNB,XRP,DOGE,ADA,DOT,UNI,LTC,BCH,LINK,VET,XLM,SOL,THETA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00166140376513696,0.0589762263485349,0.0252998933870703,0.331582859496624,0,0,0.15815217732912,0,-0.0542622218958787,-0.0375793539850938,0.249456964410638,0.0357236745266884,-6.93889390390723e-18,0,0,0,0,0
ETH,0,0,0,0.000733616351544009,0.00456489543927283,0,0,0.338091014342817,0,0,0.373125994038451,-0.0461407779560225,0,0.00665232614693598,0,0,0,0,0,0
BNB,0,0,0,-0.0735942734230016,0.0519699851635753,0.0929366016461587,0,-0.0327334837290568,-1.0025869778023,-0.39419850320672,0.394584553030922,-0.131015185548304,0,-0.329835527071117,0.868911866642682,0,1.1350182133485,0,0,0.508488826892026
XRP,0.949218674500148,0,-0.232926281404249,0,-0.113210120786036,0,0,-0.376490090242719,0,0,0.64858584393407,0.0410887108790083,0.44183349737022,-0.0287008254169511,0,0,0,0,0,-0.0854472265797376
DOGE,11.9940278804527,0.0156505637917029,-3.56465111545709,-3.57725407616982,0,-1.43669798956705,-2.83519189816666,0.736518655735063,0,-1.48638383526356,2.51579348516158,1.40235827281393,-0.990675596498039,0.0497193518288826,2.36832563400387,0,5.14238147388073,-16.0632325058847,0,0
ADA,0.0363769572228948,0.280093062234303,0,0.228103363634489,-0.0322080284610447,0,0,0,1.38777878078145e-17,0.0288132150113386,0,0.101845099162568,0.103866576851377,-0.0391548845145629,0,0,0,0,0,0
DOT,0,0,0.0226346805727913,0,-0.0183284547691258,0,0,0.22520582064724,0.382976217998106,-0.12674207503634,0.0867446154843003,0,0.344285328115107,-0.0128523859907186,0.132174598278296,0,0,0,0,0
UNI,0,0.0816133088173093,0,-3.46944695195361e-18,-0.0554173289768722,0,0,0,0.0891994219853606,0,0,-0.043692519953382,0,0.0371612456261304,0.361041525843281,0,0,0,0,0.0416271692058467
LTC,0.503147784327205,0.413982256019423,-0.212243861606677,0,0.0234150314841182,-0.490693374816359,0.222602342246204,-0.00827418363511104,0,0.281091810086793,0.114036330911793,-0.0757678146890455,0,-0.125721889189248,0.107489638093913,0,0,0,0,0.0647726894071922
BCH,0,0.0508181874433987,-0.395230305008345,-0.113978027066199,0.0503876892888843,0.40407207329751,-0.745615746278669,0.120195504595879,0.602578564314212,0,0,0.238723389850357,0,-0.0464196888980795,0.593811346456458,0,0,0,0,0
LINK,0,0.488523789494682,0.179177162943174,0.202506240921438,-0.0216391366705887,0,0,0,0,0.105954193590427,0,0.210698242162752,0,0.164146342435098,0.0369454387090213,0,0,0,0,0
VET,0,-0.90254113752397,0,-6.93889390390723e-18,0.118583527699145,0,-0.538136743118655,-0.12602122832398,0,0,0.940822753340636,0,0,-0.180764039019461,0.86134234111352,0,0,0,0,-0.0797048792053032
XLM,0.650124562926453,0,0.0606631070946506,0.147059582880943,-0.0589288251425656,0.384158013553081,0.128775358016475,0,-0.00816394805746431,0.117446840471384,-0.214058626433465,0.15198180444997,0,0.104372985031149,0,0,0,0,0,-0.121048800408354
SOL,0.0777062805506195,0.163797245367614,-0.263299762862788,0.0920468006003461,0,0,-0.327725269090869,0,0,0,0,-0.285612775116856,0,0,0,0,0,0,0,0
THETA,0,0.110228764449517,0.500089214746283,0.234441803956771,0.0118432705613356,0,0.222601291248555,0.213018758164816,0.247455922299268,0,0,0.0455624005340376,0.0721908792373439,0.176086071444112,0,0,0,0,0,-0.356303396953741
BV010082.Index,0,-0.0355659510873234,0.0279922747129052,0,-0.00605717747714396,-0.0199591975713583,-0.0689094002231189,0,0.131302773134271,-0.0339107108219177,0.001637040360116,0.0124344821502242,0,0.0184379292162518,0.0115124497729824,0,-0.196273598087336,0,0,-0.0217575242355761
CVIX.Index,0,0,0.153856835758346,-0.00249769377171102,0.0318375199094466,0,0,-0.0162423160598681,0,0,0,0,0,0.0160875901819439,-0.0785499071423705,0,0,0,0,0
DXY.Curncy,0,-0.042903097780424,0.000509772609682728,-0.035585949042672,-0.00607604766961493,0,0,0.00304847557820021,0.0477476775473079,0,0.0253346930539628,-4.21785279611958e-05,0.047822370560617,0.0172965133542572,0,0,0,0,0,0.0274673159149299
SPX.Index,0,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.00861314613186992,-0.00958477377399731,0.0136512119531653,0,0,0,0,0,0,0,-0.0895851176270096
VIX.Index,0,-0.0362545213292682,0.362578375659898,0,0.0306667906290023,-0.448448832115241,0.715068045289956,0.0158211946096375,0.00176589707479881,0.314495629012073,0,0.076966950314996,0,0.139526892194249,-0.58387221879453,0,0,0,-3.44396654188053,0
